,Index Name,ind_close_all_30012026.csv,ind_close_all_29012026.csv,ind_close_all_28012026.csv,ind_close_all_27012026.csv,ind_close_all_23012026.csv,ind_close_all_22012026.csv,ind_close_all_21012026.csv,ind_close_all_20012026.csv,ind_close_all_19012026.csv,ind_close_all_16012026.csv,ind_close_all_14012026.csv,ind_close_all_13012026.csv,ind_close_all_12012026.csv,ind_close_all_09012026.csv,ind_close_all_08012026.csv,ind_close_all_07012026.csv,ind_close_all_06012026.csv,ind_close_all_05012026.csv,ind_close_all_02012026.csv,ind_close_all_01012026.csv
49,Nifty Private Bank,-.63,1.03,.56,1,-1.08,.51,-.85,-.96,-.04,.45,-.03,.03,.21,-.95,-.37,0,-.02,-.06,.4,.23
50,Nifty Smallcap 250,.85,-.06,1.92,.2,-1.95,.9,-.75,-2.68,-1.13,-.47,.48,.64,-.67,-1.7,-1.94,.15,-.31,.28,.77,-.1
51,Nifty Smallcap 50,.17,-.18,1.85,.71,-1.92,.68,-1.3,-2.78,-.93,-.17,.86,.87,-.72,-1.98,-1.94,.79,.12,.46,.63,-.04
52,Nifty MidSmallcap 400,.31,.05,1.72,.42,-1.8,1.11,-.92,-2.55,-.67,-.13,.3,.13,-.34,-1.16,-1.9,.33,-.24,.03,.88,.24
53,Nifty Midcap 150,.03,.11,1.62,.53,-1.72,1.22,-1.01,-2.49,-.44,.04,.21,-.14,-.17,-.88,-1.88,.43,-.2,-.1,.94,.41
54,Nifty Midcap Select,-.18,.32,1.86,.55,-1.94,1.3,-1.15,-2.54,-.31,-.06,.42,-.35,.15,-.6,-2.09,.69,-.08,-.11,1.01,.48
55,NIFTY LargeMidcap 250,-.21,.2,1.27,.53,-1.42,.92,-.66,-2.01,-.42,.08,.03,-.18,.11,-.84,-1.54,.16,-.19,-.18,.85,.27
56,NIFTY SME EMERGE,.08,-.54,.99,-.99,-1.22,1.38,-1.41,-3,-1.61,.37,-.09,.12,-1,-1.67,-1.76,-.14,-.23,-1.01,.21,.27
57,Nifty Oil & Gas,-.53,.78,3.4,.62,-1.19,.36,.27,-1.66,-1.56,.28,.54,-.34,.54,.4,-2.84,-.66,-1.75,-1.02,.88,.01
58,Nifty Financial Services 25/50,-.85,.49,1.06,.96,-1.13,.61,-.99,-1.21,-.39,.03,-.47,.32,.64,-1.18,-.78,-.24,.64,-.13,1.08,.24
59,Nifty Healthcare Index,.75,-.96,-.2,-.04,-.83,1.18,-.6,-2.14,-.61,-1.15,-.25,-.17,-.38,-.92,-1.38,.44,1.85,-.32,.78,-.19
60,Nifty500 Multicap 50:25:25,-.02,.16,1.34,.45,-1.47,.84,-.59,-2.05,-.59,-.05,.1,.01,-.01,-1.04,-1.55,.09,-.22,-.08,.8,.14
61,Nifty Microcap 250,1.81,-.38,2.02,.14,-2.14,1.56,-.82,-2.67,-1.34,-.39,-.05,.35,-.84,-1.74,-1.91,.02,-.67,.27,.91,.21
62,Nifty Total Market,-.17,.21,1.18,.49,-1.34,.79,-.5,-1.86,-.51,.02,-.02,-.11,.15,-.93,-1.42,.03,-.22,-.15,.8,.16
63,Nifty India Digital,-.57,-.27,1.12,-.01,-1.78,.21,.08,-2.26,-.5,1.03,-.44,.45,-.23,-.37,-1.56,1.02,-.3,-.96,.38,.66
64,Nifty Mobility,.11,.02,1.26,.03,-2.29,.52,.36,-2.53,-.16,-.61,-.29,-.2,-.03,-1.01,-1.05,-.36,-.66,-.05,.7,.96
65,Nifty India Defence,1.43,-1.21,6.95,1.53,-1.8,2.67,-1.24,-2.78,-.25,-.53,.13,-1.09,.21,-.38,-.66,.65,-.3,2.04,.77,-.26
66,Nifty Financial Services Ex-Bank,-.98,.1,1.98,.34,-1.91,1.02,-.9,-2.51,.12,.31,.38,-.11,.41,-1.41,-1.43,-.18,.44,-.15,1.18,.13
67,Nifty Housing,-.67,1.18,.79,1.34,-1.7,.91,-.52,-2.08,-.46,-.13,.27,-.55,.53,-1.05,-1.62,-.25,.05,.31,1.16,.84
68,Nifty Transportation & Logistics,.34,-.14,1.2,-.47,-2.29,.5,.38,-2.69,-.06,-.82,-.27,-.05,-.08,-1.15,-.75,-.46,-.33,.08,.79,.99
69,Nifty MidSmall Financial Services,-1.18,.43,1.84,.97,-2.22,1.41,-1.19,-2.4,-.44,1.45,1.46,-.12,.48,-.97,-1.8,.3,.25,.24,1.02,.07
70,Nifty MidSmall Healthcare,1.21,-.51,.2,-.49,-1.46,1.1,-1.05,-1.94,-.99,-1.04,.59,.14,-.86,-1.05,-1.66,1.18,1.13,-.25,.9,-.05
71,Nifty MidSmall IT & Telecom,.66,-.6,.61,.46,-1.73,.86,-1.15,-2.34,-.66,1.06,-.7,.14,-.53,-.28,-1.46,2.37,-.01,-.72,.34,.88
72,Nifty MidSmall India Consumption,.66,-.12,.68,-.37,-1.38,.05,-.7,-2.94,-.69,-.75,-.44,-.31,-.45,-1.25,-1.67,.16,-.07,.34,1.01,.68
73,Nifty REITs & InvITs,-.03,1,-.64,-.56,.06,-.02,-.34,.01,-1.29,.96,.03,.78,-.01,-.23,-.77,.7,.09,.45,.54,.49
74,Nifty Consumer Durables,1.08,-.44,.64,-.59,-.82,-.87,-1.66,-2.8,-.57,-1.11,-.57,-.89,-.26,-1.14,-.78,1.69,.12,1.12,1.17,.15
75,Nifty Non-Cyclical Consumer,.48,-.54,.05,-.56,-1.41,.2,.11,-2.14,.08,-.74,-.38,-.26,.64,-.83,-.87,.18,-.38,.25,-.02,-.75
76,Nifty India Manufacturing,-.5,.13,1.76,.48,-1.05,1.2,-.43,-2.22,-.2,-.67,.27,-.47,.26,-.72,-1.73,-.03,.01,.3,1.02,.34
77,NIFTY100 Alpha 30,-.07,-.68,1.21,.44,-1.73,.82,-.19,-1.96,.53,-.21,-.18,-.42,.28,-1,-.9,-.41,.05,.31,.7,.46
78,NIFTY500 Value 50,-2.07,1.38,2.65,1.51,-1.18,1.37,-.07,-2.12,-.64,.2,1.6,.35,.98,-.49,-2.41,-.37,.08,-.04,1.74,.48
79,Nifty100 Low Volatility 30,.35,-.57,-.01,.19,-.68,.83,-.42,-1.61,-.35,-.09,-.57,-.22,.49,-.66,-1.08,.07,.51,.15,.58,-.16
80,NIFTY Alpha Low-Volatility 30,.46,-.81,-.07,.47,-.98,.68,-.45,-1.6,.01,.12,-.58,-.26,.43,-.81,-1.01,-.14,.61,.47,.48,.09
81,NIFTY Quality Low-Volatility 30,.21,-.57,.1,-.02,-.63,1.1,-.59,-2.05,.19,-.17,-.77,-.13,.44,-.75,-1.09,-.04,.5,.26,.77,-.43
82,NIFTY Alpha Quality Low-Volatility 30,.29,-.62,.43,.12,-.94,1.18,-.5,-2,.24,-.37,-.52,-.13,.19,-.78,-1.14,.04,.55,.49,.87,-.44
