,Index Name,ind_close_all_29092023.csv,ind_close_all_28092023.csv,ind_close_all_27092023.csv,ind_close_all_26092023.csv,ind_close_all_25092023.csv,ind_close_all_22092023.csv,ind_close_all_21092023.csv,ind_close_all_20092023.csv,ind_close_all_18092023.csv,ind_close_all_15092023.csv,ind_close_all_14092023.csv,ind_close_all_13092023.csv,ind_close_all_12092023.csv,ind_close_all_11092023.csv,ind_close_all_08092023.csv,ind_close_all_07092023.csv,ind_close_all_06092023.csv,ind_close_all_05092023.csv,ind_close_all_04092023.csv,ind_close_all_01092023.csv
51,Nifty Smallcap 50,1.25,-.86,1.06,.72,.41,.1,-1.38,-.71,-.26,.51,1.18,.5,-4.27,1.38,.91,.61,-.09,.64,1.47,1.61
52,Nifty MidSmallcap 400,.91,-.85,.74,.11,.38,-.06,-.95,-.4,-.4,.17,1.03,.42,-3.28,1.04,.82,.61,.03,.94,.91,.77
53,Nifty Midcap 150,1.04,-1.14,.75,-.06,.53,-.1,-.86,-.31,-.36,.12,.93,.12,-2.97,1.07,.93,.64,.02,1.11,.84,.79
54,Nifty Midcap Select,1.01,-1.9,.44,-.42,1.43,-.2,-.81,.03,-.37,.59,1.19,.56,-2.49,.65,.81,-.02,.21,1.06,.32,.43
55,NIFTY LargeMidcap 250,.84,-1.09,.51,-.03,.26,-.2,-.83,-.7,-.31,.26,.6,.24,-1.72,1,.73,.61,.13,.69,.69,.86
56,NIFTY SME EMERGE,1.25,-.43,-.65,-1.28,-.79,.43,-.06,-.53,.2,.67,.66,1.01,-2.96,-.72,.17,.02,-.21,.38,.67,.04
57,Nifty Oil & Gas,1.18,-.86,.01,.16,-.25,-.39,-.49,-.92,.04,-.75,1.1,.96,-2.82,.55,1.12,.23,.77,.76,.37,1.56
58,Nifty Financial Services 25/50,.95,-.81,.37,-.44,.41,-.05,-1.35,-1.01,-.32,.62,.32,.2,-.85,.89,1.52,1.21,-.13,-.21,.16,.76
59,Nifty Healthcare Index,2.56,-.96,1.19,-.13,.14,-1.59,-.88,-.56,-.5,.31,.37,.22,-.15,.88,-.37,-.12,.92,1.55,.32,-.6
60,Nifty500 Multicap 50:25:25,.75,-.87,.51,.1,.14,-.17,-.9,-.76,-.35,.3,.68,.46,-1.97,.97,.64,.59,.14,.57,.74,.84
61,Nifty Microcap 250,.71,-.3,.72,.34,.42,.22,-.93,-.46,-.48,.6,1.17,1.33,-5.16,.76,.4,.67,-.2,.51,1.16,.6
62,Nifty Total Market,.71,-.96,.39,.03,.08,-.23,-.84,-.92,-.3,.36,.46,.41,-1.23,.94,.58,.59,.18,.42,.64,.88
63,Nifty India Digital,.19,-.96,.37,.2,-.48,-.21,-.52,-1,-1.04,1.41,.8,-.2,-1.03,.78,.45,.34,.57,.67,1.31,1.31
64,Nifty Mobility,.68,-1.02,.1,.35,-.03,-.2,-1.14,-.68,.3,1.01,1.11,-.53,-2.31,2.06,.88,.48,.14,.26,.37,1.33
65,Nifty India Defence,1.61,-1.09,-.21,2.36,-.56,-.66,-1.16,-.61,-.05,1.18,.72,.16,-6.38,.77,1.86,3.04,-.99,-.13,.45,1.82
66,Nifty Financial Services Ex-Bank,1.11,-1.3,.65,.02,1.19,.34,-.81,-.47,.4,.46,.48,-.03,-1.84,.87,1.74,.82,.17,.11,.08,.99
67,Nifty Housing,.95,-1.01,.27,.16,.4,-.19,-.68,-1.09,-.37,.13,.38,.34,-.89,.86,.78,1.04,-.05,.14,1.19,1.3
68,Nifty Transportation & Logistics,.63,-1.04,.22,.24,-.04,.08,-1.31,-.66,.4,1.09,.96,-.56,-2.1,1.9,.84,.43,.03,.12,.26,1.32
69,Nifty MidSmall Financial Services,1.32,-1.43,1.45,-.29,.84,.8,-.69,-.02,.22,.64,.77,.58,-3.77,1.01,2.2,1.02,-.63,.19,1.19,.6
70,Nifty MidSmall Healthcare,2.24,-.34,1.35,-.11,.43,-1.49,-1.08,-.62,-.76,.08,.68,.71,-.77,.58,-.26,.41,.5,1.68,.19,-.83
71,Nifty MidSmall IT & Telecom,.33,-.86,.7,.11,.1,-.06,-.65,-.88,-1.38,.67,1.24,0,-2.41,.74,.02,.05,.11,1.51,1.2,1.55
72,Nifty MidSmall India Consumption,.97,-1.04,.49,.51,1.06,-.83,-.85,-.63,-.52,.09,.47,-.59,-1.78,.66,.39,.67,.42,1.47,.19,.2
73,Nifty REITs & InvITs,-.23,-.35,-.19,-.28,-.22,.52,-.2,-.61,-.54,.14,-.3,.5,.03,-.51,.53,-.51,-.42,.08,.25,.57
74,Nifty Consumer Durables,.27,-1.12,-.02,-.13,.48,-.81,-.41,-.28,.61,.5,-.17,.59,-1.91,.18,1.38,.61,.59,.55,-.22,.2
75,Nifty Non-Cyclical Consumer,.4,-1.53,.31,.26,.36,-.24,-.19,-.69,.11,.09,-.01,.6,-.86,.71,.28,-.07,.95,.62,-.1,.43
76,Nifty India Manufacturing,1.27,-1.26,.4,.2,-.14,-.56,-.96,-.74,-.09,.44,.71,.01,-2.07,.94,.53,.29,.07,.47,.51,.95
77,NIFTY100 Alpha 30,1.22,-.88,.64,.29,-.07,.14,-.93,-.72,.25,.21,.37,.51,-1.06,.83,.63,.84,.18,.36,.59,.77
78,NIFTY500 Value 50,2.26,-1.05,.57,-.17,.27,.57,-.93,-.36,.73,-.3,1.39,1.66,-3.75,1.18,1.83,1.06,-.63,.6,2.23,2.12
79,Nifty100 Low Volatility 30,.86,-1.51,.28,.13,-.56,-.36,-.61,-.65,.31,.39,.11,.16,-.22,.74,.34,.36,.41,.34,.7,.44
80,NIFTY Alpha Low-Volatility 30,1.15,-1.21,.53,.13,.07,-.14,-.66,-.52,.42,.4,.11,.5,-.84,.74,.89,.34,.38,.51,.41,.34
81,NIFTY Quality Low-Volatility 30,.86,-2.07,.32,.11,-.34,-.1,-.53,-.57,.08,.73,.17,.02,-.48,.7,.43,.68,.66,.56,.57,.3
82,NIFTY Alpha Quality Low-Volatility 30,1.13,-1.79,.55,.24,-.33,.01,-.56,-.32,.54,.55,.08,.09,-1.54,.43,1.04,.69,.77,.69,.49,.22
83,NIFTY Alpha Quality Value Low-Volatility 30,1.17,-1.93,.81,.08,-.07,.01,-.47,-.42,.38,.56,.21,.13,-1.62,.6,1.43,1.04,.39,.51,.96,.31
84,NIFTY200 Quality 30,.78,-2.21,.36,.15,-.18,.07,-.41,-.41,.06,.78,.24,-.02,-.4,.59,.39,.85,.51,.75,.6,.4
85,NIFTY Midcap150 Quality 50,.67,-.96,.59,-.25,.1,-.34,-.81,-.22,-.43,-.22,.75,-.28,-2.24,.71,.44,.3,.33,1.34,.26,.47
86,Nifty200 Momentum 30,1.38,-1.37,1.24,0,.65,.01,-1.05,-.05,.18,.4,.69,.3,-2.51,.83,1.54,.52,.16,.47,.69,.5
87,Nifty100 ESG Sector Leaders,.51,-1.11,.37,-.16,.02,-.22,-.64,-.58,-.13,.36,.31,.17,.11,.84,.38,.51,.07,.28,.58,.94
88,Nifty200 Alpha 30,1.77,-1.64,1.62,-.2,.69,.6,-.99,-.14,.31,.05,.85,.84,-3.57,.89,1.84,.7,-.28,.19,1.25,1.3
89,Nifty Midcap150 Momentum 50,1.21,-1.3,1.31,.01,.94,.37,-.81,-.25,.13,-.32,.73,-.25,-2.99,1.02,1.57,.86,-.3,1.06,1.22,.66
