,SYMBOL,NAME OF COMPANY,cm01JUN2023bhav.csv
178,AVONMORE,Avonmore Capital & Management Services Limited,2.395672333848527
179,AVROIND,AVRO INDIA LIMITED,0.6276971361318141
180,AVTNPL,AVT Natural Products Limited,1.8338108882521427
181,AWHCL,Antony Waste Handling Cell Limited,0.7628990162617856
182,AWL,Adani Wilmar Limited,1.3643659711075415
183,AXISBANK,Axis Bank Limited,0.5301415532600997
184,AXISCADES,AXISCADES Technologies Limited,-0.8507670850767116
185,AXITA,Axita Cotton Limited,4.82529118136439
186,AYMSYNTEX,AYM Syntex Limited,4.085733422638977
187,BAFNAPH,Bafna Pharmaceuticals Limited,
188,BAGFILMS,B.A.G Films and Media Limited,1.2499999999999956
189,BAIDFIN,Baid Finserv Limited,-0.8108108108108031
190,BAJAJ-AUTO,Bajaj Auto Limited,1.673910425538919
191,BAJAJCON,Bajaj Consumer Care Limited,-0.6725854183481302
192,BAJAJELEC,Bajaj Electricals Limited,1.220258922323307
193,BAJAJFINSV,Bajaj Finserv Limited,-0.062024051548869
194,BAJAJHCARE,Bajaj Healthcare Limited,-0.8521303258145402
195,BAJAJHIND,Bajaj Hindusthan Sugar Limited,0.0
196,BAJAJHLDNG,Bajaj Holdings & Investment Limited,-3.741276548885728
197,BAJFINANCE,Bajaj Finance Limited,0.7246221306608817
198,BALAJITELE,Balaji Telefilms Limited,-0.22753128555176658
199,BALAMINES,Balaji Amines Limited,0.5558326801111796
200,BALAXI,BALAXI PHARMACEUTICALS LIMITED,-0.6267858788828631
201,BALKRISHNA,Balkrishna Paper Mills Limited,-1.9120458891013385
202,BALKRISIND,Balkrishna Industries Limited,0.5981176884510471
203,BALLARPUR,Ballarpur Industries Limited,
204,BALMLAWRIE,Balmer Lawrie & Company Limited,1.7607042817126872
205,BALPHARMA,Bal Pharma Limited,2.4698449167145387
206,BALRAMCHIN,Balrampur Chini Mills Limited,-0.5602240896358515
207,BANARBEADS,Banaras Beads Limited,-0.4263093788063268
208,BANARISUG,Bannari Amman Sugars Limited,0.4710001082758935
209,BANCOINDIA,Banco Products (I) Limited,3.295702840495249
210,BANDHANBNK,Bandhan Bank Limited,0.13059701492538162
211,BANG,Bang Overseas Limited,-1.1363636363636436
212,BANKA,Banka BioLoo Limited,-0.8934707903780146
213,BANKBARODA,Bank of Baroda,-0.08108108108108415
214,BANKINDIA,Bank of India,1.0169491525423728
215,BANSWRAS,Banswara Syntex Limited,3.74603174603175
216,BARBEQUE,Barbeque Nation Hospitality Limited,1.4019462312386608
217,BASF,BASF India Limited,-0.697201319349809
218,BASML,Bannari Amman Spinning Mills Limited,0.0
219,BATAINDIA,Bata India Limited,-0.3976896127260791
220,BAYERCROP,Bayer Cropscience Limited,1.5442280633299088
221,BBL,Bharat Bijlee Limited,0.9008564712071028
222,BBOX,Black Box Limited,-1.6985905312612897
223,BBTC,Bombay Burmah Trading Corporation Limited,-0.1356427378964894
224,BBTCL,B&B Triplewall Containers Limited,2.1412803532008806
225,BCG,Brightcom Group Limited,4.812834224598942
226,BCLIND,Bcl Industries Limited,1.840017628911407
227,BCONCEPTS,Brand Concepts Limited,3.9838443179731833
228,BDL,Bharat Dynamics Limited,0.8577263444520123
229,BEARDSELL,Beardsell Limited,18.681318681318672
230,BECTORFOOD,Mrs. Bectors Food Specialities Limited,3.059475141764479
231,BEDMUTHA,Bedmutha Industries Limited,0.36463081130354735
232,BEL,Bharat Electronics Limited,0.6687472135532768
233,BEML,BEML Limited,4.291531794925349
234,BEPL,Bhansali Engineering Polymers Limited,1.4805278403604838
235,BERGEPAINT,Berger Paints (I) Limited,0.007686985932808752
236,BESTAGRO,Best Agrolife Limited,-0.23859877446992375
237,BFINVEST,BF Investment Limited,0.6176084099868653
238,BFUTILITIE,BF Utilities Limited,-0.36136205698401985
239,BGLOBAL,Bharatiya Global Infomedia Limited,
240,BGRENERGY,BGR Energy Systems Limited,0.4916420845624385
241,BHAGCHEM,Bhagiradha Chemicals & Industries Limited,4.772351519776179
242,BHAGERIA,Bhageria Industries Limited,1.2885591565794432
243,BHAGYANGR,Bhagyanagar India Limited,-1.3725490196078487
244,BHANDARI,Bhandari Hosiery Exports Limited,-0.9999999999999963
245,BHARATFORG,Bharat Forge Limited,0.7266523442436498
246,BHARATGEAR,Bharat Gears Limited,0.7197290431837499
247,BHARATRAS,Bharat Rasayan Limited,-1.664747939893363
248,BHARATWIRE,Bharat Wire Ropes Limited,-0.1897018970189671
249,BHARTIARTL,Bharti Airtel Limited,-2.582656783150951
250,BHEL,Bharat Heavy Electricals Limited,0.12210012210011516
251,BIGBLOC,Bigbloc Construction Limited,0.09413241292752161
252,BIKAJI,Bikaji Foods International Limited,0.0
253,BIL,Bhartiya International Limited,3.079947575360412
254,BINANIIND,Binani Industries Limited,0.45558086560365113
255,BINDALAGRO,Oswal Chemicals & Fertilizers Limited,
256,BIOCON,Biocon Limited,0.040783034257758054
257,BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,-1.0089686098654773
258,BIRLACABLE,Birla Cable Limited,3.6760482481332604
259,BIRLACORPN,Birla Corporation Limited,2.274551779502275
260,BIRLAMONEY,Aditya Birla Money Limited,3.907815631262531
261,BIRLATYRE,Birla Tyres Limited,
262,BKMINDST,Bkm Industries Limited,
263,BLAL,BEML Land Assets Limited,2.9516704508595413
264,BLBLIMITED,BLB Limited,-0.5291005291005179
265,BLISSGVS,Bliss GVS Pharma Limited,-0.5498281786941659
266,BLKASHYAP,B. L. Kashyap and Sons Limited,-0.39473684210525944
267,BLS,BLS International Services Limited,0.4098360655737705
268,BLUECHIP,Blue Chip India Limited,
269,BLUECOAST,Blue Coast Hotels Limited,
270,BLUEDART,Blue Dart Express Limited,-0.3164048697439822
271,BLUESTARCO,Blue Star Limited,0.1456411679034544
272,BODALCHEM,Bodal Chemicals Limited,-0.3858024691358025
273,BOHRAIND,Bohra Industries Limited,4.33333333333334
274,BOMDYEING,Bombay Dyeing & Mfg Company Limited,0.6622516556291357
275,BOROLTD,Borosil Limited,-1.3218458633305716
276,BORORENEW,BOROSIL RENEWABLES LIMITED,-1.0446256757994927
277,BOSCHLTD,Bosch Limited,0.18095258611403536
278,BPCL,Bharat Petroleum Corporation Limited,0.28885832187070465
279,BPL,BPL Limited,0.9220452640402419
280,BRIGADE,Brigade Enterprises Limited,1.2531105581229922
281,BRITANNIA,Britannia Industries Limited,-0.468107492940814
282,BRNL,Bharat Road Network Limited,0.33222591362125536
283,BROOKS,Brooks Laboratories Limited,-1.7031630170316256
284,BSE,BSE Limited,2.3310023310023307
285,BSHSL,Bombay Super Hybrid Seeds Limited,
286,BSL,BSL Limited,1.666225866172958
287,BSOFT,BIRLASOFT LIMITED,0.10189228529840545
288,BTML,Bodhi Tree Multimedia Limited,0.31476235442241113
289,BURNPUR,Burnpur Cement Limited,-1.098901098901095
290,BUTTERFLY,Butterfly Gandhimathi Appliances Limited,0.2863278453829676
291,BVCL,Barak Valley Cements Limited,1.2311901504788039
292,BYKE,The Byke Hospitality Ltd,0.0
293,CALSOFT,California Software Company Limited,
294,CAMLINFINE,Camlin Fine Sciences Limited,1.6903914590747298
295,CAMPUS,Campus Activewear Limited,1.480019733596448
296,CAMS,Computer Age Management Services Limited,0.5886598403175483
297,CANBK,Canara Bank,-0.09686793671295169
298,CANFINHOME,Can Fin Homes Limited,2.9553167420814446
299,CANTABIL,Cantabil Retail India Limited,2.611352460972945
300,CAPACITE,Capacit'e Infraprojects Limited,2.219519610823962
301,CAPLIPOINT,Caplin Point Laboratories Limited,1.223916532905294
302,CAPTRUST,Capital Trust Limited,0.3576537911301859
303,CARBORUNIV,Carborundum Universal Limited,0.547802269466541
