,SYMBOL,NAME OF COMPANY,cm01NOV2023bhav.csv
258,BIRLACABLE,Birla Cable Limited,-0.0162654521795558
259,BIRLACORPN,Birla Corporation Limited,-1.0878102419101583
260,BIRLAMONEY,Aditya Birla Money Limited,-0.3508771929824504
261,BIRLATYRE,Birla Tyres Limited,
262,BKMINDST,Bkm Industries Limited,
263,BLAL,BEML Land Assets Limited,2.3017902813299194
264,BLBLIMITED,BLB Limited,-1.5837104072398251
265,BLISSGVS,Bliss GVS Pharma Limited,-0.11890606420926791
266,BLKASHYAP,B. L. Kashyap and Sons Limited,-1.322957198443582
267,BLS,BLS International Services Limited,-2.292263610315186
268,BLUECHIP,Blue Chip India Limited,
269,BLUECOAST,Blue Coast Hotels Limited,
270,BLUEDART,Blue Dart Express Limited,-2.6490972095568144
271,BLUESTARCO,Blue Star Limited,5.612389080427286
272,BODALCHEM,Bodal Chemicals Limited,-1.807228915662662
273,BOHRAIND,Bohra Industries Limited,
274,BOMDYEING,Bombay Dyeing & Mfg Company Limited,0.6257822277847309
275,BOROLTD,Borosil Limited,-0.4528985507246377
276,BORORENEW,BOROSIL RENEWABLES LIMITED,-0.03679627131116823
277,BOSCHLTD,Bosch Limited,-0.47581223539209794
278,BPCL,Bharat Petroleum Corporation Limited,2.190408017179664
279,BPL,BPL Limited,
280,BRIGADE,Brigade Enterprises Limited,1.0805101957916934
281,BRITANNIA,Britannia Industries Limited,-0.6596633909409199
282,BRNL,Bharat Road Network Limited,5.2697616060225885
283,BROOKS,Brooks Laboratories Limited,
284,BSE,BSE Limited,-3.6714975845410676
285,BSHSL,Bombay Super Hybrid Seeds Limited,-0.6841505131128849
286,BSL,BSL Limited,-0.5636978579481398
287,BSOFT,BIRLASOFT LIMITED,4.847986852917022
288,BTML,Bodhi Tree Multimedia Limited,-0.09545020680878503
289,BURNPUR,Burnpur Cement Limited,1.0204081632653024
290,BUTTERFLY,Butterfly Gandhimathi Appliances Limited,0.6311037405564685
291,BVCL,Barak Valley Cements Limited,
292,BYKE,The Byke Hospitality Ltd,
293,CALSOFT,California Software Company Limited,1.1278195488721696
294,CAMLINFINE,Camlin Fine Sciences Limited,-4.3417853421326855
295,CAMPUS,Campus Activewear Limited,0.41337842916195633
296,CAMS,Computer Age Management Services Limited,-0.41835417686590815
297,CANBK,Canara Bank,-0.2731885000650478
298,CANFINHOME,Can Fin Homes Limited,-0.6221756500098238
299,CANTABIL,Cantabil Retail India Limited,1.9419662971974367
300,CAPACITE,Capacit'e Infraprojects Limited,-0.743227043874376
301,CAPLIPOINT,Caplin Point Laboratories Limited,-0.47781569965870085
302,CAPTRUST,Capital Trust Limited,1.570964247020588
303,CARBORUNIV,Carborundum Universal Limited,-0.6810019124026264
304,CAREERP,Career Point Limited,-3.8811266356176537
305,CARERATING,CARE Ratings Limited,-6.431239015817218
306,CARTRADE,Cartrade Tech Limited,-1.2707141264769366
307,CARYSIL,CARYSIL LIMITED,2.8803309993634665
308,CASTROLIND,Castrol India Limited,-1.065001836210075
309,CCCL,Consolidated Construction Consortium Limited,
310,CCHHL,Country Club Hospitality & Holidays Limited,
311,CCL,CCL Products (India) Limited,3.253410149961882
312,CDSL,Central Depository Services (India) Limited,3.1315455138550217
313,CEATLTD,CEAT Limited,0.1327895285971821
314,CELEBRITY,Celebrity Fashions Limited,
315,CENTENKA,Century Enka Limited,1.2984130507157843
316,CENTEXT,Century Extrusions Limited,
317,CENTRALBK,Central Bank of India,-0.1157407407407506
318,CENTRUM,Centrum Capital Limited,1.6393442622950907
319,CENTUM,Centum Electronics Limited,
320,CENTURYPLY,Century Plyboards (India) Limited,-0.7432541606075332
321,CENTURYTEX,Century Textiles & Industries Limited,-0.2862947912818535
322,CERA,Cera Sanitaryware Limited,-3.8298775240767116
323,CEREBRAINT,Cerebra Integrated Technologies Limited,
324,CESC,CESC Limited,-0.7669616519174108
325,CGCL,Capri Global Capital Limited,0.5059132720105154
326,CGPOWER,CG Power and Industrial Solutions Limited,-1.8072289156626533
327,CHALET,Chalet Hotels Limited,1.9720624486442195
