,SYMBOL,NAME OF COMPANY,cm04DEC2023bhav.csv,cm01DEC2023bhav.csv
169,AUROPHARMA,Aurobindo Pharma Limited,0.8609431680773969,-0.748883874993995
170,AURUM,Aurum PropTech Limited,0.1899696048632219,-0.3030303030303073
171,AUSOMENT,Ausom Enterprise Limited,,
172,AUTOAXLES,Automotive Axles Limited,-0.19695690756012302,1.1272106461215199
173,AUTOIND,Autoline Industries Limited,11.764705882352944,
174,AVADHSUGAR,Avadh Sugar & Energy Limited,0.1549810923067386,-1.3575490735644864
175,AVALON,Avalon Technologies Limited,0.49372963365261185,0.41646008924145217
176,AVANTIFEED,Avanti Feeds Limited,-0.5428607499053235,1.0718387137935406
177,AVG,AVG Logistics Limited,1.0434782608695687,2.1974470835353084
178,AVONMORE,Avonmore Capital & Management Services Limited,0.06289308176100272,4.467805519053885
179,AVROIND,AVRO INDIA LIMITED,-0.33301617507135517,-0.23730422401518747
180,AVTNPL,AVT Natural Products Limited,-0.11331444759206154,-0.9539842873176144
181,AWHCL,Antony Waste Handling Cell Limited,-2.741395065488882,-2.204349121239206
182,AWL,Adani Wilmar Limited,1.763409257898604,-0.11742257448993904
183,AXISBANK,Axis Bank Limited,1.896528312135049,2.8298813125436433
184,AXISCADES,AXISCADES Technologies Limited,-0.32582134129786733,1.478692138133738
185,AXITA,Axita Cotton Limited,1.8209408194233514,2.8081123244929977
186,AYMSYNTEX,AYM Syntex Limited,3.2210834553440746,0.14662756598239635
187,BAFNAPH,Bafna Pharmaceuticals Limited,,
188,BAGFILMS,B.A.G Films and Media Limited,,
189,BAIDFIN,Baid Finserv Limited,,
190,BAJAJ-AUTO,Bajaj Auto Limited,2.574408084617223,-0.7306400899754537
191,BAJAJCON,Bajaj Consumer Care Limited,1.9408711351839236,0.2261931689662972
192,BAJAJELEC,Bajaj Electricals Limited,1.208262308232234,0.18584559746847243
193,BAJAJFINSV,Bajaj Finserv Limited,0.6109315222871351,0.7439498057962382
194,BAJAJHCARE,Bajaj Healthcare Limited,-1.1031797534068788,-0.7471338400102995
195,BAJAJHIND,Bajaj Hindusthan Sugar Limited,6.389776357827465,-0.9493670886075972
196,BAJAJHLDNG,Bajaj Holdings & Investment Limited,7.051098474000739,-0.31538451081416413
197,BAJFINANCE,Bajaj Finance Limited,2.0428826272324554,1.9299625100043631
198,BALAJITELE,Balaji Telefilms Limited,-0.35945363048166784,0.0
199,BALAMINES,Balaji Amines Limited,0.21311394161669,0.044625148750500346
200,BALAXI,BALAXI PHARMACEUTICALS LIMITED,1.2950859356088031,-1.2313209802749499
201,BALKRISHNA,Balkrishna Paper Mills Limited,-0.3210272873194153,1.6313213703099512
202,BALKRISIND,Balkrishna Industries Limited,0.04297378599055998,-0.6481912746468046
203,BALLARPUR,Ballarpur Industries Limited,,
204,BALMLAWRIE,Balmer Lawrie & Company Limited,1.2399256044637321,2.902711323763963
205,BALPHARMA,Bal Pharma Limited,-0.095192765349828,-2.415234556432892
