,SYMBOL,NAME OF COMPANY,cm01APR2024bhav.csv
226,BCLIND,Bcl Industries Limited,6.4946619217081825
227,BCONCEPTS,Brand Concepts Limited,
228,BDL,Bharat Dynamics Limited,1.255779439465723
229,BEARDSELL,Beardsell Limited,3.93811533052041
230,BECTORFOOD,Mrs. Bectors Food Specialities Limited,0.45752220328338644
231,BEDMUTHA,Bedmutha Industries Limited,
232,BEL,Bharat Electronics Limited,4.764267990074439
233,BEML,BEML Limited,1.6490247196657977
234,BEPL,Bhansali Engineering Polymers Limited,4.700615556799108
235,BERGEPAINT,Berger Paints (I) Limited,-1.1517319605618899
236,BESTAGRO,Best Agrolife Limited,
237,BFINVEST,BF Investment Limited,4.890468870099932
238,BFUTILITIE,BF Utilities Limited,5.971502590673579
239,BGLOBAL,Bharatiya Global Infomedia Limited,
240,BGRENERGY,BGR Energy Systems Limited,
241,BHAGCHEM,Bhagiradha Chemicals & Industries Limited,1.799925391693597
242,BHAGERIA,Bhageria Industries Limited,5.20869265263885
243,BHAGYANGR,Bhagyanagar India Limited,19.999999999999993
244,BHANDARI,Bhandari Hosiery Exports Limited,4.7297297297297245
245,BHARATFORG,Bharat Forge Limited,1.6820113314447593
246,BHARATGEAR,Bharat Gears Limited,6.762092793682141
247,BHARATRAS,Bharat Rasayan Limited,1.6261121298059587
248,BHARATWIRE,Bharat Wire Ropes Limited,
249,BHARTIARTL,Bharti Airtel Limited,-0.9156763796190787
250,BHEL,Bharat Heavy Electricals Limited,2.608168216740796
251,BIGBLOC,Bigbloc Construction Limited,9.169980119284302
252,BIKAJI,Bikaji Foods International Limited,1.13161382403915
253,BIL,Bhartiya International Limited,19.992310649750095
254,BINANIIND,Binani Industries Limited,
255,BINDALAGRO,Oswal Chemicals & Fertilizers Limited,
256,BIOCON,Biocon Limited,2.101078932424763
257,BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,12.376237623762364
258,BIRLACABLE,Birla Cable Limited,10.516973596627476
259,BIRLACORPN,Birla Corporation Limited,3.8947812039053202
260,BIRLAMONEY,Aditya Birla Money Limited,
261,BIRLATYRE,Birla Tyres Limited,
262,BKMINDST,Bkm Industries Limited,
263,BLAL,BEML Land Assets Limited,3.5714285714285787
264,BLBLIMITED,BLB Limited,
265,BLISSGVS,Bliss GVS Pharma Limited,2.835622507753658
266,BLKASHYAP,B. L. Kashyap and Sons Limited,2.769679300291554
267,BLS,BLS International Services Limited,4.810612114431821
268,BLUECHIP,Blue Chip India Limited,
269,BLUECOAST,Blue Coast Hotels Limited,
270,BLUEDART,Blue Dart Express Limited,-0.6985826211402069
271,BLUESTARCO,Blue Star Limited,0.25123655491874425
272,BODALCHEM,Bodal Chemicals Limited,7.556160653505782
273,BOHRAIND,Bohra Industries Limited,
274,BOMDYEING,Bombay Dyeing & Mfg Company Limited,2.148499210110588
275,BOROLTD,Borosil Limited,3.8488453463960814
276,BORORENEW,BOROSIL RENEWABLES LIMITED,9.191361125062784
277,BOSCHLTD,Bosch Limited,0.8357946542440721
278,BPCL,Bharat Petroleum Corporation Limited,-0.28220451527223306
279,BPL,BPL Limited,4.960091220068408
280,BRIGADE,Brigade Enterprises Limited,2.271998289318935
281,BRITANNIA,Britannia Industries Limited,-0.32680071264953287
282,BRNL,Bharat Road Network Limited,
283,BROOKS,Brooks Laboratories Limited,
284,BSE,BSE Limited,7.7109583051790604
285,BSHSL,Bombay Super Hybrid Seeds Limited,6.699640287769787
286,BSL,BSL Limited,13.184079601990042
287,BSOFT,BIRLASOFT LIMITED,2.6617250673854445
288,BTML,Bodhi Tree Multimedia Limited,5.28660528660529
289,BURNPUR,Burnpur Cement Limited,4.464285714285714
290,BUTTERFLY,Butterfly Gandhimathi Appliances Limited,4.043515302444447
291,BVCL,Barak Valley Cements Limited,
292,BYKE,The Byke Hospitality Ltd,4.97237569060774
293,CALSOFT,California Software Company Limited,4.626334519572944
294,CAMLINFINE,Camlin Fine Sciences Limited,7.955182072829126
295,CAMPUS,Campus Activewear Limited,5.780885780885783
296,CAMS,Computer Age Management Services Limited,2.6254865981856437
297,CANBK,Canara Bank,1.376817829790896
298,CANFINHOME,Can Fin Homes Limited,5.219470084334943
299,CANTABIL,Cantabil Retail India Limited,3.5440613026819814
300,CAPACITE,Capacit'e Infraprojects Limited,0.5346572465151718
301,CAPLIPOINT,Caplin Point Laboratories Limited,4.287832135933408
302,CAPTRUST,Capital Trust Limited,9.322033898305081
303,CARBORUNIV,Carborundum Universal Limited,2.3652777230259785
304,CAREERP,Career Point Limited,
305,CARERATING,CARE Ratings Limited,4.573878863676953
306,CARTRADE,Cartrade Tech Limited,10.822035890604196
307,CARYSIL,CARYSIL LIMITED,2.4237486633738943
308,CASTROLIND,Castrol India Limited,8.308685130411412
309,CCCL,Consolidated Construction Consortium Limited,
310,CCHHL,Country Club Hospitality & Holidays Limited,
311,CCL,CCL Products (India) Limited,0.2899539484905416
312,CDSL,Central Depository Services (India) Limited,7.345424807967523
313,CEATLTD,CEAT Limited,-1.097897405308689
314,CELEBRITY,Celebrity Fashions Limited,5.50724637681159
315,CENTENKA,Century Enka Limited,2.8596294914832776
316,CENTEXT,Century Extrusions Limited,
317,CENTRALBK,Central Bank of India,5.936454849498335
318,CENTRUM,Centrum Capital Limited,10.683012259194397
319,CENTUM,Centum Electronics Limited,4.932442464736448
320,CENTURYPLY,Century Plyboards (India) Limited,1.5155066010468006
321,CENTURYTEX,Century Textiles & Industries Limited,4.991103748696233
322,CERA,Cera Sanitaryware Limited,2.4769627718392924
323,CEREBRAINT,Cerebra Integrated Technologies Limited,
324,CESC,CESC Limited,3.16481709823263
325,CGCL,Capri Global Capital Limited,-1.0779029887310088
326,CGPOWER,CG Power and Industrial Solutions Limited,-4.92697356258088
327,CHALET,Chalet Hotels Limited,2.049133929582251
328,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,4.51754385964912
329,CHEMBOND,Chembond Chemicals Ltd,2.2291666666666643
330,CHEMCON,Chemcon Speciality Chemicals Limited,6.839826839826844
331,CHEMFAB,Chemfab Alkalis Limited,3.1202085249923193
332,CHEMPLASTS,Chemplast Sanmar Limited,2.2777777777777777
333,CHENNPETRO,Chennai Petroleum Corporation Limited,4.13542126157918
334,CHEVIOT,Cheviot Company Limited,2.2706449428355175
335,CHOICEIN,Choice International Limited,2.4140453547915226
336,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,2.490057063807728
337,CHOLAHLDNG,Cholamandalam Financial Holdings Limited,2.7575348627980287
338,CIGNITITEC,Cigniti Technologies Limited,-0.5727376861397481
339,CINELINE,Cineline India Limited,3.3237587197373917
340,CINEVISTA,Cinevista Limited,4.931506849315061
341,CIPLA,Cipla Limited,0.11356424730285215
342,CLEAN,Clean Science and Technology Limited,1.3766126302328343
343,CLEDUCATE,CL Educate Limited,-0.700525394045544
344,CLSEL,Chaman Lal Setia Exports Limited,8.523704249570127
345,CMICABLES,CMI Limited,
346,CMSINFO,CMS Info Systems Limited,-0.39677460642517715
347,COALINDIA,Coal India Limited,1.8313752591568735
348,COASTCORP,Coastal Corporation Limited,4.6018071023324305
349,COCHINSHIP,Cochin Shipyard Limited,11.069052534985088
350,COFFEEDAY,Coffee Day Enterprises Limited,8.257804632426993
351,COFORGE,Coforge Limited,-0.3343964961062733
352,COLPAL,Colgate Palmolive (India) Limited,0.21583928274945705
353,COMPINFO,Compuage Infocom Limited,
354,COMPUSOFT,Compucom Software Limited,9.850107066381144
355,CONCOR,Container Corporation of India Limited,2.28432150549824
356,CONFIPET,Confidence Petroleum India Limited,7.495538370017843
357,CONSOFINVT,Consolidated Finvest & Holdings Limited,7.266591676040497
358,CONTROLPR,Control Print Limited,-0.4947034467924959
359,CORALFINAC,Coral India Finance & Housing Limited,
360,CORDSCABLE,Cords Cable Industries Limited,
361,COROMANDEL,Coromandel International Limited,3.664945816473661
362,COSMOFIRST,COSMO FIRST LIMITED,5.6515227159261014
363,COUNCODOS,Country Condo's Limited,4.1666666666666705
364,CRAFTSMAN,Craftsman Automation Limited,1.151822753713892
365,CREATIVE,Creative Newtech Limited,3.7962248263279865
366,CREATIVEYE,Creative Eye Limited,
367,CREDITACC,CREDITACCESS GRAMEEN LIMITED,-2.268627723047041
368,CREST,Crest Ventures Limited,3.9226150767178085
369,CRISIL,CRISIL Limited,-2.202052091554861
370,CROMPTON,Crompton Greaves Consumer Electricals Limited,0.9906542056074682
371,CROWN,Crown Lifters Limited,
372,CSBBANK,CSB Bank Limited,3.7376586741889986
373,CSLFINANCE,CSL Finance Limited,-3.028715154055763
374,CTE,Cambridge Technology Enterprises Limited,
375,CUB,City Union Bank Limited,3.4776174620791624
376,CUBEXTUB,Cubex Tubings Limited,
377,CUMMINSIND,Cummins India Limited,-0.09480249480249178
