,Index Name,ind_close_all_22102024.csv,ind_close_all_21102024.csv,ind_close_all_18102024.csv,ind_close_all_17102024.csv,ind_close_all_16102024.csv,ind_close_all_15102024.csv,ind_close_all_14102024.csv,ind_close_all_11102024.csv,ind_close_all_10102024.csv,ind_close_all_09102024.csv,ind_close_all_08102024.csv,ind_close_all_07102024.csv,ind_close_all_04102024.csv,ind_close_all_03102024.csv,ind_close_all_01102024.csv
74,Nifty Consumer Durables,-2.38,-.63,.32,-2.2,-.15,.43,.65,.41,-.23,.61,.78,-1.91,-1.05,-1.59,.36
75,Nifty Non-Cyclical Consumer,-1.13,-.86,-.45,-1.83,-.56,.41,-.05,.46,-.65,.04,1.5,-.98,-1.43,-1.91,-.12
76,Nifty India Manufacturing,-2.35,-.9,.69,-2.11,-.24,-.4,.11,.19,-.07,1.06,1.48,-1.35,-1.11,-2.13,.18
77,NIFTY100 Alpha 30,-2.39,-.72,.15,-2.82,-.65,-.04,.34,.58,-.4,.82,3.09,-1.91,-.8,-2.4,-.04
78,NIFTY500 Value 50,-2.89,-1.39,.95,-1.37,.02,-.26,.25,.55,.24,.09,.82,-2.91,-.64,-1.87,.13
79,Nifty100 Low Volatility 30,-.98,-.47,-.02,-1.56,-.17,-.17,.53,.02,-.48,-.04,.5,-.56,-1.08,-2.06,-.1
80,NIFTY Alpha Low-Volatility 30,-1.29,-.85,.62,-2.16,-.21,-.07,.09,.13,-.62,.23,1.13,-1.12,-.93,-1.86,-.03
81,NIFTY Quality Low-Volatility 30,-1.19,-.62,-.29,-1.87,-.26,-.16,.34,.11,-.47,-.21,.78,-.65,-1.33,-1.86,.01
82,NIFTY Alpha Quality Low-Volatility 30,-1.62,-.98,.13,-2.32,-.16,.02,.19,.11,-.47,.24,1.57,-1.12,-1.19,-1.87,.16
83,NIFTY Alpha Quality Value Low-Volatility 30,-1.6,-.79,.03,-1.8,.02,-.21,.54,.2,-.39,.12,1.45,-1.25,-1.05,-1.61,.25
84,NIFTY200 Quality 30,-1.42,-.82,-.85,-1.67,-.22,.04,.39,.54,-.52,.17,1.21,-.61,-1.14,-1.84,.17
85,NIFTY Midcap150 Quality 50,-2.04,-1.71,-.17,-1.37,.24,.4,.23,.28,-.17,1.18,1.38,-1.36,-.95,-1.67,.69
86,Nifty200 Momentum 30,-2.7,-1.18,.75,-2.62,-.48,.01,.48,.18,.2,1.03,3.13,-1.92,-1.17,-2.38,.39
87,Nifty100 ESG Sector Leaders,-1.35,-.33,.34,-.96,-.4,-.18,.53,-.1,-.17,.17,1.16,-.95,-.97,-2.21,0
88,Nifty200 Alpha 30,-2.28,-1.66,.61,-2.32,-.29,.26,.53,.67,-.53,1.21,2.93,-1.62,-1.09,-2.51,.28
89,Nifty Midcap150 Momentum 50,-3.05,-1.59,.31,-2.1,-.36,.27,1.01,.44,-.07,1.35,2.62,-2.35,-.2,-2.36,.39
90,Nifty Smallcap250 Quality 50,-3.31,-1.86,-.32,-1.38,-.16,1.04,.17,.75,-.04,1.75,2.1,-2.88,-.75,-2.21,.89
91,NIFTY100 ESG,-1.47,-.59,.19,-1.12,-.42,-.2,.55,.07,-.31,.47,1.06,-1.07,-.86,-2.12,.05
92,NIFTY100 Enhanced ESG,-1.47,-.59,.18,-1.12,-.42,-.2,.55,.07,-.31,.47,1.06,-1.07,-.86,-2.12,.05
93,NIFTY50 Equal Weight,-1.58,-.84,.54,-1.28,-.39,-.44,.44,.1,-.14,.16,.75,-1.05,-.95,-2.06,-.04
94,Nifty 50 Futures Index,-1.01,-.64,.42,-.82,-.28,-.41,.69,-.27,.14,-.19,.58,-.75,-1.18,-1.9,-.08
95,Nifty 50 Arbitrage,-.14,.25,.01,-.04,-.04,.09,0,.09,-.04,.05,.19,-.07,.17,-.13,.02
96,Nifty Aditya Birla Group,,,,,,,,,,,,,,,
97,Nifty 8-13 yr G-Sec,.05,-.14,-.15,-.05,-.04,.11,.06,-.08,-.05,.29,.28,-.09,-.38,-.29,.17
98,Nifty 4-8 yr G-Sec Index,0,-.1,-.1,-.03,.02,.02,.05,-.02,-.04,.25,.15,-.04,-.24,-.14,.06
99,Nifty 11-15 yr G-Sec Index,.07,-.09,-.15,-.07,-.08,.1,.08,-.13,-.03,.37,.28,-.1,-.56,-.27,.22
100,Nifty 15 yr and above G-Sec Index,.08,.01,-.25,-.2,.02,.11,.16,-.08,-.1,.27,.33,-.04,-.71,-.38,.32
101,Nifty Composite G-sec Index,.05,-.11,-.16,-.08,-.02,.09,.08,-.07,-.05,.29,.27,-.07,-.43,-.28,.17
102,Nifty 10 yr Benchmark G-Sec,.03,-.1,-.13,-.06,-.02,.08,.02,-.04,-.04,.3,.29,-.09,-.33,-.28,.14
103,Nifty 10 yr Benchmark G-Sec (Clean Price),.01,-.12,-.15,-.07,-.04,.06,0,-.06,-.06,.28,.27,-.11,-.36,-.31,.13
104,Nifty 1D Rate Index,.02,.05,.02,.02,.02,.02,.05,.02,.02,.02,.02,.05,.02,.03,.02
105,Nifty50 USD,,-.29,.42,-.98,-.3,-.25,.67,-.25,.05,-.12,.9,-.88,-.94,-2.29,-.07
