,SYMBOL,NAME OF COMPANY,cm02JUL2024bhav.csv,cm01JUL2024bhav.csv
154,ASTEC,Astec LifeSciences Limited,2.9123361122332705,4.614261564469029
155,ASTERDM,Aster DM Healthcare Limited,-0.22818026240730502,1.1394778595124897
156,ASTRAL,Astral Limited,1.6231104009419048,-0.11130712365591779
157,ASTRAMICRO,Astra Microwave Products Limited,-1.869400859613687,1.7171451145641246
158,ASTRAZEN,AstraZeneca Pharma India Limited,-0.4614133324991398,2.2821261448626107
159,ASTRON,Astron Paper & Board Mill Limited,,
160,ATALREAL,Atal Realtech Limited,,
161,ATAM,Atam Valves Limited,,
162,ATFL,Agro Tech Foods Limited,7.811019358332196,2.940356744704574
163,ATGL,Adani Total Gas Limited,1.863633804402913,-0.8872767857142907
164,ATLANTA,Atlanta  Limited,,
165,ATUL,Atul Limited,-0.34830514262298534,1.6907168763021865
166,ATULAUTO,Atul Auto Limited,6.3077434363576,19.99521454777477
167,AUBANK,AU Small Finance Bank Limited,-0.08162053869556551,0.2678372144929794
168,AURIONPRO,Aurionpro Solutions Limited,0.3680450313920696,1.561125769569038
169,AUROPHARMA,Aurobindo Pharma Limited,0.10315233536887275,0.3477972838688346
170,AURUM,Aurum PropTech Limited,1.4093654608040447,-0.5875516528925597
171,AUSOMENT,Ausom Enterprise Limited,,
172,AUTOAXLES,Automotive Axles Limited,4.236076885165097,1.4297140571885576
173,AUTOIND,Autoline Industries Limited,-1.48918655990422,7.583930440383224
174,AVADHSUGAR,Avadh Sugar & Energy Limited,0.9676129548180655,-1.7983351656981381
175,AVALON,Avalon Technologies Limited,-0.7243719053731766,0.7948243992606201
176,AVANTIFEED,Avanti Feeds Limited,-1.331719128329298,3.6733327754999663
177,AVG,AVG Logistics Limited,-2.4530587522713576,1.1332312404287925
178,AVONMORE,Avonmore Capital & Management Services Limited,,
179,AVROIND,AVRO INDIA LIMITED,2.394793926247293,-0.2596278667243593
180,AVTNPL,AVT Natural Products Limited,2.302290779325429,1.6855905419641783
181,AWHCL,Antony Waste Handling Cell Limited,-0.7704446300937486,5.318212924039494
182,AWL,Adani Wilmar Limited,0.9470835838845391,0.15055706112616682
183,AXISBANK,Axis Bank Limited,-0.6735874474998018,-0.2647698083382659
184,AXISCADES,AXISCADES Technologies Limited,-2.508389261744974,13.903487816531296
185,AXITA,Axita Cotton Limited,0.6973500697350002,1.5580736543909437
