,Index Name,ind_close_all_30052024.csv,ind_close_all_29052024.csv,ind_close_all_28052024.csv,ind_close_all_27052024.csv,ind_close_all_24052024.csv,ind_close_all_23052024.csv,ind_close_all_22052024.csv,ind_close_all_21052024.csv,ind_close_all_18052024.csv,ind_close_all_17052024.csv,ind_close_all_16052024.csv,ind_close_all_15052024.csv,ind_close_all_14052024.csv,ind_close_all_13052024.csv,ind_close_all_10052024.csv,ind_close_all_09052024.csv,ind_close_all_08052024.csv,ind_close_all_07052024.csv,ind_close_all_06052024.csv,ind_close_all_03052024.csv,ind_close_all_02052024.csv
44,NIFTY100 Quality 30,-1.38,-.43,-.06,-.05,.07,.95,.96,.53,.65,-.03,1.17,-.39,.61,.51,.7,-1.42,.23,.41,.17,-.33,.48
45,Nifty Mahindra Group,,,,,,,,,,,,,,,,,,,,,
46,Nifty 50 Futures TR Index,-1.04,-.79,-.19,-.08,.09,1.54,.25,.33,.22,.22,.76,-.08,.5,.33,.31,-1.4,.07,-.73,-.05,-.85,.28
47,Nifty Tata Group,,,,,,,,,,,,,,,,,,,,,
48,Nifty Tata Group 25% Cap,,,,,,,,,,,,,,,,,,,,,
49,Nifty Private Bank,.32,-1.36,-.31,.54,.41,2,-.41,-.59,.16,.24,.67,-.33,.18,.86,.18,-1.43,-.81,-1.45,.43,-.73,-.26
50,Nifty Smallcap 250,-1.48,.08,-1.02,.44,-.13,.24,-.13,-.43,.9,1.59,.74,.76,1.76,-.36,.66,-2.65,.49,-1.78,-1.12,-.35,.09
51,Nifty Smallcap 50,-1.41,-.13,-.38,.89,.06,.13,-.25,-.85,.67,1.41,1.01,.56,1.71,-.22,.97,-3,.14,-1.77,-1.1,-.43,.06
52,Nifty MidSmallcap 400,-1.27,-.15,-.86,.4,-.08,.4,.14,.05,.67,1.24,.89,.87,1.23,.2,.86,-2.07,.51,-1.83,-.69,-.35,.31
53,Nifty Midcap 150,-1.16,-.28,-.77,.37,-.05,.48,.29,.31,.54,1.05,.97,.94,.94,.51,.98,-1.74,.52,-1.86,-.46,-.36,.44
54,Nifty Midcap Select,-1.62,-.49,-.77,1.87,.33,.57,.14,.02,.32,.22,.98,.31,.33,2.01,1.15,-1.58,.76,-1.82,-.17,-.59,.63
55,NIFTY LargeMidcap 250,-1.05,-.52,-.57,.15,-.03,.96,.28,.29,.41,.75,.94,.51,.82,.36,.75,-1.68,.4,-1.36,-.41,-.51,.44
56,NIFTY SME EMERGE,-.29,.37,-1.89,-.8,-.73,-.77,.29,.58,1,.33,.54,.81,.66,-.07,.23,-1.13,.89,-.65,-.43,1.4,.73
57,Nifty Oil & Gas,-1.25,-1.01,-1.02,-.55,.51,1.2,.19,.59,.47,.97,.22,.59,1.56,-.75,1.22,-3.15,1.7,-1.88,-1.75,-.98,.83
58,Nifty Financial Services 25/50,-.77,-1.76,.33,.57,.51,1.67,-.61,-.27,.08,.29,1.36,-.17,0,.66,.35,-1.95,-.24,-1.05,-.88,-.24,.77
59,Nifty Healthcare Index,-1.85,.43,.43,0,-.6,-.79,.54,.43,.59,-.13,.9,.26,-.28,1.58,1.02,-2.07,-.01,-1.98,.64,.08,.46
60,Nifty500 Multicap 50:25:25,-1.13,-.43,-.64,.17,-.05,.9,.17,.1,.51,.89,.88,.47,1.03,.14,.67,-1.92,.39,-1.34,-.58,-.51,.35
61,Nifty Microcap 250,-1.61,.26,-1.04,-.87,-.43,-.11,.17,-.17,.68,1.14,.61,1.15,2.11,-.27,1.06,-2.62,.77,-1.51,-1.37,-.63,.26
62,Nifty Total Market,-1.04,-.58,-.51,.01,-.04,1.14,.23,.19,.39,.66,.89,.31,.89,.19,.63,-1.77,.35,-1.11,-.48,-.59,.41
63,Nifty India Digital,-1.45,-.94,-1.28,.03,-.55,.52,.34,-.32,.33,.6,1.6,.69,.13,-.1,.19,-.75,.13,-.66,-.36,-.8,.41
64,Nifty Mobility,-.92,-.39,-.69,.1,-.23,2.01,-.1,.07,.26,1.26,.61,.3,1.17,-.86,1.18,-.3,1.55,-1.64,-.49,-.69,1.24
65,Nifty India Defence,-1.25,1.74,-2.78,-.38,2.5,3.45,2.25,3.47,3.56,4.47,3.49,.44,4.1,-.86,.94,-1.42,1.89,-2.76,-1.99,-.11,-.13
66,Nifty Financial Services Ex-Bank,-2.05,-1.57,.08,.28,.24,.92,-.63,-.62,.3,.26,1.34,.47,.36,.29,.93,-2.73,-.07,-1.48,-1.82,-.08,1.5
67,Nifty Housing,-.81,-.79,-.45,.07,.17,1.41,.22,.86,.24,.88,.68,.22,1.36,.69,.59,-2.39,.08,-1.72,-.56,-.77,.53
68,Nifty Transportation & Logistics,-1.17,-.31,-.58,.01,-.27,2.1,-.09,-.21,.2,1.65,.71,.21,1.18,-1.22,1.06,.15,1.38,-1.66,-.2,-.72,1.22
69,Nifty MidSmall Financial Services,-1.54,-.65,-.7,.46,0,.44,-.51,-.85,.48,.25,.62,1.11,.6,.25,.97,-2.12,-.31,-2.66,-1.57,-.79,.89
70,Nifty MidSmall Healthcare,-1.71,-.21,.28,.32,-.65,-.68,.07,-.19,.79,.41,.74,.08,-.05,.94,1.3,-1.66,.28,-2.2,.78,.33,-.36
71,Nifty MidSmall IT & Telecom,-1.81,-.6,-1.22,1.49,.58,1.23,.34,-.49,.31,.13,1.13,.68,1.64,.36,-.3,-1.59,-.45,-.57,-.77,-1.6,.09
72,Nifty MidSmall India Consumption,-.56,-.46,-.55,.67,-.53,-.22,1.02,-.06,.63,1.49,1.25,.42,.63,.51,.58,-1.93,.02,-1.77,.44,-.27,-.38
73,Nifty REITs & InvITs,.26,.73,-.23,-.24,.6,.28,-1.65,-1.12,1.6,-.7,.08,-.1,.05,-.91,.38,0,.5,.64,-1.87,-.08,-.34
74,Nifty Consumer Durables,-1.67,-.02,-.37,.26,-.13,.99,-.17,.22,.48,2.78,1.72,.49,.89,-.41,1.06,-1.23,-.06,-.89,-2.55,-.43,-.01
