,Index Name,ind_close_all_25092024.csv,ind_close_all_24092024.csv,ind_close_all_23092024.csv,ind_close_all_20092024.csv,ind_close_all_19092024.csv,ind_close_all_18092024.csv,ind_close_all_17092024.csv,ind_close_all_16092024.csv,ind_close_all_13092024.csv,ind_close_all_12092024.csv,ind_close_all_11092024.csv,ind_close_all_10092024.csv,ind_close_all_09092024.csv,ind_close_all_06092024.csv,ind_close_all_05092024.csv,ind_close_all_04092024.csv,ind_close_all_03092024.csv,ind_close_all_02092024.csv
57,Nifty Oil & Gas,.01,.38,1.89,.7,-1.34,-1.02,.13,.11,-.67,1.61,-1.92,-.24,-1.37,-2.16,-.38,-.4,-.52,.22
58,Nifty Financial Services 25/50,.34,-.53,.81,1.38,.08,1.35,-.13,-.22,.06,1.54,-.27,-.9,.51,-1.35,.17,-.37,1.08,.66
59,Nifty Healthcare Index,-.07,-.04,.29,.99,-.19,-1.31,-.02,.22,-.17,1.3,-.15,1.02,-.3,-.34,-.09,.82,-.06,-.71
60,Nifty500 Multicap 50:25:25,-.19,.03,.78,1.35,-.4,-.36,-.05,.19,.3,1.39,-.5,.78,-.11,-1.19,.26,-.07,.22,.03
61,Nifty Microcap 250,-.17,.15,.83,1.62,-1.28,-.47,.37,.42,1.2,.75,-1.07,1.72,-.7,-1.18,.62,.27,.5,-.81
62,Nifty Total Market,-.08,.05,.77,1.43,-.23,-.3,.02,.18,.13,1.57,-.5,.64,.07,-1.2,.08,-.15,.13,.08
63,Nifty India Digital,-1.14,-.21,.39,1.55,-.58,-1.82,-.21,.13,-.07,1.89,.15,1.64,-.13,-1.12,.82,-.64,-.14,-.48
64,Nifty Mobility,-.45,-.09,1.35,1.79,.07,-.37,-.01,.01,-.3,2.21,-.54,.51,-.14,-1.15,.21,-.24,-.1,-.13
65,Nifty India Defence,-.32,.34,.53,3.37,-2.56,-.88,-1.56,-.82,.02,.78,-.34,.72,-1.34,-1.77,-1.56,1.39,1.06,-.12
66,Nifty Financial Services Ex-Bank,-.33,-.97,.93,1.17,-.4,1.75,-.17,-.38,.39,1.59,-.12,-1.12,.04,-1.05,.16,-.1,.81,1.76
67,Nifty Housing,.22,.24,.84,1.61,-.04,-.05,.1,.93,.18,1.75,-.63,.61,.34,-1.16,-.32,-.08,-.01,.13
68,Nifty Transportation & Logistics,-.46,.05,1.38,2.13,.18,-.34,-.09,.12,-.19,2.17,-.72,.5,-.11,-1.1,.19,-.45,.05,-.4
69,Nifty MidSmall Financial Services,-1.12,-.62,.77,1,-.3,1.14,.13,1.31,.99,1.29,-.09,.24,.05,-1.55,.95,0,-.1,.22
70,Nifty MidSmall Healthcare,-.36,.07,.44,.88,.01,-1.42,-.19,.04,.35,.97,-.3,1.07,-.64,-.21,1.08,1.09,.22,-.16
71,Nifty MidSmall IT & Telecom,-1,.2,.61,1.08,-2.44,-2.4,.09,-.81,.93,1.24,-.23,2.07,-.82,-1.85,.94,-1.19,1.1,-1.06
72,Nifty MidSmall India Consumption,-.33,-.16,.56,1.93,.43,-.4,.39,.76,.49,1.2,-.48,1.22,-.01,-.61,.02,.02,.03,-.22
73,Nifty REITs & InvITs,.21,.44,.6,-.59,.97,-.62,-.15,.13,-.39,.41,.2,.36,.23,.24,-.2,.69,0,-.07
74,Nifty Consumer Durables,-.51,-.2,1.18,.99,.47,-.86,.49,.51,.91,1.33,.1,.92,.42,-.82,.66,-.27,1.31,-.33
75,Nifty Non-Cyclical Consumer,-.55,-.64,.92,1.56,.61,-.32,.16,-.1,-.65,1.64,.42,.76,1.17,-.44,.48,.3,.04,.01
76,Nifty India Manufacturing,-.09,.67,.9,1.42,-.36,-.79,-.09,.14,.25,1.68,-.45,.67,-.27,-1.12,-.27,.01,.03,-.45
77,NIFTY100 Alpha 30,-.43,.05,1.63,1.76,-1.1,-.16,-.54,.38,-.56,1.98,-.82,.21,-.5,-1.58,-.17,-.43,.11,-.14
78,NIFTY500 Value 50,.43,1.09,1.47,.5,-1.05,-.59,-.36,.05,.3,2.11,-1.91,.28,-1.02,-2,.31,-.85,-.15,-.33
79,Nifty100 Low Volatility 30,-.15,-.4,.62,1.44,.32,-.6,.31,-.03,-.15,1.51,.05,.39,.69,-.61,-.13,.26,.14,.26
80,NIFTY Alpha Low-Volatility 30,.17,0,.89,1.19,.18,-.57,.31,.09,-.14,1.63,-.39,.45,.08,-1.18,-.28,.1,.03,-.06
81,NIFTY Quality Low-Volatility 30,-.37,-.38,.5,1.19,.31,-.89,.17,-.19,-.06,1.3,.07,.65,.67,-.5,.02,.01,0,.37
82,NIFTY Alpha Quality Low-Volatility 30,-.46,-.11,.88,1.44,-.33,-1.07,-.01,-.22,-.1,1.23,.3,.53,.3,-.83,-.29,.14,.38,.06
83,NIFTY Alpha Quality Value Low-Volatility 30,-.32,.26,.95,1.29,-.73,-1.03,-.2,-.19,-.04,1.49,-.27,.43,-.32,-1.14,-.12,-.13,.27,.07
84,NIFTY200 Quality 30,-.55,0,.56,1.15,-.25,-1.29,-.02,-.15,.05,1.24,.27,.9,.28,-.72,-.24,0,.23,.45
85,NIFTY Midcap150 Quality 50,-.62,.64,.18,.56,.01,-1.32,.07,-.43,.46,.73,-.16,1.23,-.29,-.82,.31,-.07,.35,-.05
86,Nifty200 Momentum 30,-.17,.66,1.95,1.51,-1,-.48,.06,.29,.04,2.05,-.87,.71,-.55,-1.8,-.42,-.48,.24,-.67
87,Nifty100 ESG Sector Leaders,.13,-.03,.56,1.6,.1,-.28,.12,.25,-.14,1.85,-.44,.44,.33,-1.03,-.16,-.19,-.01,.13
88,Nifty200 Alpha 30,-.44,.7,1.73,1.1,-2.22,-.77,-.48,.41,.2,1.69,-.64,.46,-.75,-2.36,-.22,-.35,.51,-.92
89,Nifty Midcap150 Momentum 50,-.89,.55,.85,2.08,-1.22,-.08,0,1.31,.87,1.43,-.32,.69,-.39,-1.65,-.4,-.18,.14,-.81
90,Nifty Smallcap250 Quality 50,-.45,-1.01,.81,.79,-.78,-.52,-.73,.67,.7,.89,-.5,.67,-1.03,-.64,.62,-.13,.74,.1
91,NIFTY100 ESG,-.12,-.09,.66,1.31,-.05,-.4,.04,.02,.02,1.76,-.44,.4,.16,-.97,-.03,-.26,.03,.32
92,NIFTY100 Enhanced ESG,-.13,-.09,.65,1.31,-.05,-.4,.04,.02,.02,1.76,-.44,.4,.16,-.97,-.03,-.27,.03,.32
93,NIFTY50 Equal Weight,.04,-.02,.68,1.19,-.04,-.32,.09,-.02,-.06,1.97,-.48,.39,.07,-.89,-.22,-.32,-.01,.23
94,Nifty 50 Futures Index,.19,.12,.59,1.09,.37,-.21,.03,.28,.06,1.68,-.58,.39,.32,-1.31,-.04,-.42,.06,-.14
95,Nifty 50 Arbitrage,.03,-.06,.01,.25,-.13,.04,.08,-.09,-.12,.14,.06,.02,.03,.1,-.1,.07,-.03,.22
96,Nifty Aditya Birla Group,,,,,,,,,,,,,,,,,,
97,Nifty 8-13 yr G-Sec,.17,.06,-.01,-.01,.18,.02,-.11,.24,.12,.15,.19,.04,.02,.01,.04,.11,.06,-.07
98,Nifty 4-8 yr G-Sec Index,.08,.04,.01,0,.09,.02,-.03,.12,.11,.06,.11,.04,.02,.03,.03,.06,.02,0
99,Nifty 11-15 yr G-Sec Index,.22,.04,.02,-.03,.23,.02,-.15,.28,.12,.16,.23,.03,.03,-.02,.03,.11,.05,-.06
100,Nifty 15 yr and above G-Sec Index,.43,.18,.07,0,.14,.02,-.11,.25,.05,.18,.24,.07,.06,-.03,-.01,.24,.15,-.05
101,Nifty Composite G-sec Index,.2,.08,.01,-.01,.16,.02,-.11,.23,.12,.14,.18,.05,.03,0,.03,.12,.07,-.06
102,Nifty 10 yr Benchmark G-Sec,.17,.06,-.02,0,.16,.02,-.1,.22,.14,.15,.16,.04,.02,.02,.05,.09,.06,-.07
103,Nifty 10 yr Benchmark G-Sec (Clean Price),.16,.04,-.04,-.02,.14,0,-.12,.21,.13,.13,.15,.02,0,0,.03,.08,.04,-.09
104,Nifty 1D Rate Index,.02,.02,.05,.02,.04,.02,.02,.05,.02,.02,.02,.02,.05,.02,.02,.02,.02,.05
105,Nifty50 USD,,-.14,.6,1.62,.24,-.16,.29,.12,-.04,1.89,-.49,.4,.33,-1.12,-.21,-.34,-.05,.1
