,Index Name,ind_close_all_15052026.csv,ind_close_all_14052026.csv,ind_close_all_13052026.csv,ind_close_all_12052026.csv,ind_close_all_11052026.csv,ind_close_all_08052026.csv,ind_close_all_07052026.csv,ind_close_all_06052026.csv,ind_close_all_05052026.csv,ind_close_all_04052026.csv
80,NIFTY Alpha Low-Volatility 30,-.17,1.05,-.22,-1.79,-.94,-.27,.5,1.5,.13,.59
81,NIFTY Quality Low-Volatility 30,.49,.86,0,-1.74,-.85,-.1,.19,1.08,.05,.37
82,NIFTY Alpha Quality Low-Volatility 30,.33,1.02,.05,-1.81,-.86,-.03,.39,1.1,.28,.72
83,NIFTY Alpha Quality Value Low-Volatility 30,.27,.72,.05,-2.05,-.93,-.24,.13,1.01,-.02,.49
84,NIFTY200 Quality 30,-.14,.1,.67,-2.36,-.96,.06,.4,.68,.38,.69
85,NIFTY Midcap150 Quality 50,-.21,.81,.63,-2.45,-1.25,.02,.95,1.31,.27,.75
86,Nifty200 Momentum 30,-.68,1.44,.3,-2.16,-2.02,-.64,.84,2.23,.1,.74
87,Nifty100 ESG Sector Leaders,-.34,1.09,.14,-2.13,-1.62,-.37,0,1.23,-.13,.63
88,Nifty200 Alpha 30,-.49,1.83,.24,-2.06,-1.16,-.4,1.39,1.52,.58,.75
89,Nifty Midcap150 Momentum 50,-.55,1.28,.39,-2.6,-1.32,-.25,1.42,2.08,.38,.62
90,Nifty Smallcap250 Quality 50,-.15,.27,-.74,-3.3,-1.25,.53,.95,1.56,.65,.9
91,NIFTY100 ESG,-.2,1,.09,-2.22,-1.42,-.35,.04,1.4,.02,.43
92,NIFTY100 Enhanced ESG,-.2,1,.08,-2.23,-1.43,-.34,.04,1.4,.02,.41
93,NIFTY50 Equal Weight,-.03,1.24,.38,-1.99,-1.05,-.2,.07,1.38,-.25,.66
94,Nifty 50 Futures Index,-.24,1.01,.16,-1.86,-1.51,-.61,-.26,1.41,-.41,.45
95,Nifty 50 Arbitrage,.08,.11,-.01,.02,.03,0,.17,-.11,.04,.06
96,Nifty Aditya Birla Group,,,,,,,,,,
97,Nifty 8-13 yr G-Sec,-.17,.18,.03,-.08,-.33,-.28,-.07,.72,.05,.06
98,Nifty 4-8 yr G-Sec Index,-.16,.01,.02,-.08,-.35,-.14,.02,.56,.02,.06
99,Nifty 11-15 yr G-Sec Index,-.29,.19,.07,-.04,-.35,-.27,-.04,.73,-.01,.06
100,Nifty 15 yr and above G-Sec Index,-.22,.15,.12,-.38,-.7,-.33,-.04,.96,-.09,.2
101,Nifty Composite G-sec Index,-.19,.15,.04,-.11,-.4,-.25,-.06,.72,.01,.08
102,Nifty 10 yr Benchmark G-Sec,-.22,.22,0,-.06,-.37,-.32,-.08,.73,.05,.04
103,Nifty 10 yr Benchmark G-Sec (Clean Price),-.24,.2,-.02,-.08,-.39,-.34,-.1,.72,.03,.02
104,Nifty 1D Rate Index,.01,.01,.01,.01,.04,.01,.01,.01,.01,.06
105,Nifty50 USD,,1.12,.07,-2.17,-2.35,-.86,.37,1.96,-.57,.32
