,SYMBOL,NAME OF COMPANY,cm20FEB2024bhav.csv,cm19FEB2024bhav.csv,cm16FEB2024bhav.csv,cm15FEB2024bhav.csv,cm14FEB2024bhav.csv,cm13FEB2024bhav.csv,cm12FEB2024bhav.csv,cm09FEB2024bhav.csv,cm08FEB2024bhav.csv,cm07FEB2024bhav.csv,cm06FEB2024bhav.csv,cm05FEB2024bhav.csv,cm02FEB2024bhav.csv,cm01FEB2024bhav.csv
15,AARTIIND,Aarti Industries Limited,2.155141136347148,-0.8917655519597332,1.9502896106752625,2.1188978736148685,0.7467752885268057,-1.6688918558077435,1.620562297429713,4.711917916337809,-4.958367714350005,0.9847738807666087,2.524075799937869,-0.13959981386692893,0.20205160087038676,-2.3820361098467675
16,AARTIPHARM,Aarti Pharmalabs Limited,0.0,-0.549962714392232,3.0646555865116594,2.784635133800735,-1.0745335547523687,3.3101221112120363,-3.0240751614797396,-1.579657098824898,-6.946311732544591,1.381190368014543,5.381595327013315,1.0841157680766669,-0.2895473409902519,-2.832223576854548
17,AARTISURF,Aarti Surfactants Limited,-0.5021103187309046,0.600292825768671,0.007321180174237428,2.062317865949349,-0.7343124165554139,-1.634320735444321,-1.8476081352048253,-1.993262212240305,-0.2869340051788184,-2.183734939759027,-0.5107947967036709,2.3490868534783247,2.971576227390171,-3.437759911283609
18,AARVEEDEN,Aarvee Denims & Exports Limited,-4.755434782608696,1.6574585635358958,0.27700831024931144,2.7027027027027106,0.0,-5.764075067024126,0.6747638326585695,3.6363636363636287,-7.383419689119175,-1.278772378516624,-7.1258907363420425,18.258426966292134,5.637982195845693,11.40495867768596
19,AARVI,Aarvi Encon Limited,-1.1175198269646598,1.2408759124087507,0.7352941176470588,-0.43923865300146,-0.9786154403769441,3.566066066066066,-2.2385321100917515,-3.7442599788060833,-4.840336134453774,-0.16778523489932887,-0.23434884499497444,-0.7641196013289074,0.4337671004337709,-0.19980019980020736
20,AAVAS,Aavas Financiers Limited,-0.325879701854744,1.3705851344227729,0.17955217574989116,-1.158784841841519,1.7419012214551184,1.9343895485221374,-1.6364927227547004,-0.6734600331441031,-1.4181931940630603,-0.5908776779543853,0.5908932916232186,-3.0693035948923524,-1.3821975612187232,1.916629982052755
21,ABAN,Aban Offshore Limited,,,,,,,,,,-2.7088036117381398,9.993792675356918,-5.291005291005291,3.5301278149726008,-0.42424242424241737
22,ABB,ABB India Limited,0.7941900486761562,-0.780257064862997,1.2431186501364917,-1.969989469989454,2.0952551597477913,0.8230963779243233,-1.359854770628923,0.8774492180478201,-2.7256234836397173,3.9086986145809757,0.7966668192848355,-2.50532870582196,-1.4430109655635193,-2.687516054456721
23,ABBOTINDIA,Abbott India Limited,-1.1367677390294257,-0.0402862694914377,1.2152227508613394,-0.6251798328427075,1.6709422570270205,1.4295345848345105,1.4033051200518398,-0.617871563399067,-1.6329358034489796,1.4421413185493888,0.8888651383173909,0.01852887832584717,8.410785336269166,-0.07700636315737949
24,ABCAPITAL,Aditya Birla Capital Limited,-0.3251151449471811,-0.8062348830959419,2.619966905681191,-0.6575342465753362,1.360733129686192,-0.19401330376939818,-3.991484832357637,0.508157261299822,-0.34648187633262567,4.135442686650007,1.0942760942761038,-1.1921264208483537,8.091099790230746,-2.4839275277615434
