,Index Name,ind_close_all_30082024.csv,ind_close_all_29082024.csv,ind_close_all_28082024.csv,ind_close_all_27082024.csv,ind_close_all_26082024.csv,ind_close_all_23082024.csv,ind_close_all_22082024.csv,ind_close_all_21082024.csv,ind_close_all_20082024.csv,ind_close_all_19082024.csv,ind_close_all_16082024.csv,ind_close_all_14082024.csv,ind_close_all_13082024.csv,ind_close_all_12082024.csv,ind_close_all_09082024.csv,ind_close_all_08082024.csv,ind_close_all_07082024.csv,ind_close_all_06082024.csv,ind_close_all_05082024.csv,ind_close_all_02082024.csv,ind_close_all_01082024.csv
42,Nifty50 PR 1x Inverse,-.31,-.38,-.13,0,-.71,-.03,-.15,-.28,-.5,-.07,-1.6,0,.87,.12,-1.01,.77,-1.27,.29,2.72,1.2,-.23
43,Nifty50 PR 2x Leverage,.65,.78,.26,.04,1.46,.08,.32,.56,1.01,.2,3.26,.02,-1.73,-.22,2.06,-1.5,2.52,-.54,-5.41,-2.36,.46
44,NIFTY100 Quality 30,.29,.34,.22,-.41,.73,-.24,.24,.69,.43,.36,1.86,-.05,-.43,-.32,.82,-1.12,1.69,-.02,-1.83,-1.5,.03
45,Nifty Mahindra Group,,,,,,,,,,,,,,,,,,,,,
46,Nifty 50 Futures TR Index,.46,.43,.14,-.09,.83,.07,.19,.37,.49,.1,1.74,.08,-.78,-.13,1.12,-.92,1.31,-.17,-2.4,-1.26,.1
47,Nifty Tata Group,,,,,,,,,,,,,,,,,,,,,
48,Nifty Tata Group 25% Cap,,,,,,,,,,,,,,,,,,,,,
49,Nifty Private Bank,.31,-.15,-.14,.3,.39,-.12,.57,0,1.02,-.48,1.65,-.4,-1.24,.44,.49,.09,.48,-.6,-2.27,-.39,0
50,Nifty Smallcap 250,.52,-.57,-.22,.77,.41,.12,.32,1.1,.54,1.53,1.71,-.57,-1.23,.32,.64,-.28,2.39,-.39,-4.18,-.83,-.69
51,Nifty Smallcap 50,.86,-.57,-.22,1.05,.41,-.03,.26,1.63,.58,1.92,2.24,-.7,-1.5,.26,.53,-.25,2.99,-.46,-4.37,-.9,-1.03
52,Nifty MidSmallcap 400,.73,-.49,-.17,.6,.48,-.3,.54,.66,.73,.7,1.78,-.59,-.94,.29,.72,-.32,2.26,-.52,-3.76,-.93,-.7
53,Nifty Midcap 150,.85,-.45,-.14,.51,.52,-.53,.66,.41,.83,.25,1.82,-.6,-.77,.27,.76,-.35,2.2,-.6,-3.52,-.99,-.71
54,Nifty Midcap Select,.66,-.07,.02,.19,.74,-.81,1,.54,1.1,.03,1.64,-.35,-.7,.43,.59,-.33,2.59,-.37,-2.62,-1.8,-.67
55,NIFTY LargeMidcap 250,.59,-.08,-.01,.27,.59,-.27,.44,.34,.7,.24,1.74,-.29,-.84,.06,.91,-.54,1.91,-.5,-3.18,-1.04,-.29
56,NIFTY SME EMERGE,1.22,-1.24,-.63,.93,.24,.71,1.56,.94,.57,1.24,.98,-.17,-.67,.97,1.3,.65,1.97,-.4,-2.35,.14,-1.54
57,Nifty Oil & Gas,.3,.94,-.04,.04,1.16,-.66,-.23,.31,.15,1.52,1.49,-.76,-1.05,.54,1.33,-1.32,3.06,-.48,-3.71,-1.24,.35
58,Nifty Financial Services 25/50,.21,.36,-.21,1.48,.71,-.11,.32,.13,1.73,-.19,1.77,-.02,-1.7,.07,.64,.01,1.56,-1.42,-2.66,-.67,-.17
59,Nifty Healthcare Index,1.35,-.27,1.2,.44,.13,-.16,-.11,.86,.53,.48,.73,-.88,.09,-.37,.47,.13,2.01,-.18,-1.66,.36,.27
60,Nifty500 Multicap 50:25:25,.5,-.12,-.03,.33,.56,-.11,.35,.52,.62,.56,1.71,-.28,-.96,.07,.88,-.53,1.96,-.45,-3.34,-1,-.29
61,Nifty Microcap 250,1.12,-1.09,-.3,.39,-.25,.05,.51,1.09,.53,1.46,2.07,-.48,-1.79,.49,1.08,-.02,2.83,-.91,-4.49,-.15,-.77
62,Nifty Total Market,.46,.02,.03,.19,.58,-.09,.32,.41,.61,.4,1.71,-.16,-.95,-.01,.96,-.6,1.84,-.46,-3.13,-1.02,-.13
63,Nifty India Digital,.52,.31,.36,.24,1.4,-.19,.1,.43,.43,.3,2.73,1.67,-.63,-.26,1.36,-1.17,2.43,-.71,-3.33,.51,-.45
64,Nifty Mobility,.48,.18,-.19,-.21,.16,1.03,.23,.18,.63,-.33,1.81,-.19,-.93,-.62,1.28,-.51,2.31,-.65,-3.64,-.82,-.15
65,Nifty India Defence,1.14,-1.63,-.55,-.73,-.41,.8,-.24,.77,-1.52,-.7,1.82,-.1,-1.73,-1.09,1,-.57,3.61,-2.15,-4.19,-1.55,-1.41
66,Nifty Financial Services Ex-Bank,.75,.78,0,1.8,.86,-.4,.24,.43,2.3,.27,2.39,.14,-1.63,-.17,.68,-.34,2.65,-1.84,-3.07,-.74,-.44
67,Nifty Housing,.54,-.28,-.35,.04,.82,-.38,.3,.09,.73,.61,1.67,-.56,-1.03,.02,.74,-1.45,1.25,-.03,-3.32,-1.48,.08
68,Nifty Transportation & Logistics,.52,.11,-.23,-.21,.17,1.06,-.01,.13,.49,-.64,1.99,-.01,-.97,-.5,1.34,-.29,2.22,-.7,-3.79,-1.27,-.43
69,Nifty MidSmall Financial Services,1.3,-.25,-.51,.53,.6,-.48,.87,.78,1.48,.77,2.74,-.08,-.93,-.11,1.05,.02,2.23,-1.39,-4.31,-.72,-.24
70,Nifty MidSmall Healthcare,1.4,-.32,.77,.4,.36,-.12,.44,.74,.5,.26,1.27,-.42,.13,.25,.38,.9,1.94,-.1,-1.98,.11,.03
71,Nifty MidSmall IT & Telecom,.25,.39,.14,1.58,1.36,-.67,.52,.39,1.05,1.2,2.32,.59,-1.34,.28,1.09,-1.21,2.8,-.4,-3.73,-1.77,-1.3
72,Nifty MidSmall India Consumption,1.07,-.49,0,.71,.87,-.35,.71,.47,.44,.43,1.75,-.79,.02,.77,1.16,-.44,1.69,.09,-3.36,-.98,-1.04
73,Nifty REITs & InvITs,.74,.26,.63,.34,-.85,.1,-.34,.41,-1.42,.06,.14,.77,-.55,.37,-.34,.1,-.3,.87,-1.33,-.61,1.16
74,Nifty Consumer Durables,.18,.26,-.14,-.64,1.3,-.17,.86,1.41,.11,.92,1.27,.11,1.3,.87,.61,-.83,1.41,-.71,-2.86,-.84,-.49
75,Nifty Non-Cyclical Consumer,.09,.17,.17,-.6,.53,.11,.96,1.13,.15,.29,1.33,.06,-.3,-.19,1.15,-.57,1.71,-.55,-1.48,.06,.08
76,Nifty India Manufacturing,.53,-.08,.08,-.15,.44,.29,.2,.53,.59,.29,1.55,-.5,-.8,.01,1.16,-.5,2.37,-.42,-3.31,-1.69,-.57
77,NIFTY100 Alpha 30,.15,.1,.17,.11,-.12,.29,.09,.16,.72,.72,1.77,-.25,-1.29,-.35,1.77,-.51,3.59,-1.29,-3.99,-.91,-.5
78,NIFTY500 Value 50,.53,.08,-.29,.29,.96,-.55,.37,.48,1.01,1.62,1.59,-1.1,-1.75,.33,1.08,-1.48,2.84,-.81,-4.12,-1.95,-.1
79,Nifty100 Low Volatility 30,.5,.33,.04,-.21,.74,-.16,.29,.75,.6,.24,1.39,-.12,-.17,-.51,.59,-.7,1,-.13,-1.51,-.81,.13
80,NIFTY Alpha Low-Volatility 30,.63,.31,.05,-.06,.49,.12,.37,.49,.49,-.2,1.31,-.24,-.33,-.42,.85,-.44,1.72,-.27,-2.19,-1.29,.27
81,NIFTY Quality Low-Volatility 30,.33,.39,.1,-.4,.74,-.43,.35,.9,.44,.32,1.63,-.09,-.25,-.32,.48,-.95,1.4,.03,-1.59,-1.15,.05
82,NIFTY Alpha Quality Low-Volatility 30,.48,.23,-.1,-.44,.3,-.19,.22,.76,.6,.19,1.67,-.28,-.45,-.43,.66,-.71,2.11,-.41,-1.85,-1.33,-.26
83,NIFTY Alpha Quality Value Low-Volatility 30,.23,.29,.03,-.04,.5,-.33,.08,.46,.79,.42,1.92,-.47,-.77,-.09,.99,-.79,2.29,-.45,-2.29,-1.61,-.2
84,NIFTY200 Quality 30,.38,.42,.23,-.48,.85,-.39,.25,.81,.47,.46,1.87,-.06,-.23,-.19,.85,-1.15,1.8,-.08,-1.82,-1.33,-.21
85,NIFTY Midcap150 Quality 50,.58,-.39,-.09,.66,.52,-.66,.45,.6,1.04,-.07,1.48,-.61,-.72,.16,.42,-.75,2.01,.06,-2.66,-1.31,-.45
86,Nifty200 Momentum 30,.56,.13,.35,-.01,.45,.33,.19,.4,.64,.31,1.99,-.26,-1.14,-.43,1.85,-.51,3.12,-.94,-3.7,-2.29,-.59
87,Nifty100 ESG Sector Leaders,.39,.25,.29,.12,.74,-.01,.24,.22,.56,.12,1.69,.07,-.72,-.13,1.08,-.79,1.37,-.28,-2.77,-1.05,.16
88,Nifty200 Alpha 30,.34,.05,.33,.32,.2,-.04,.52,.24,1.08,.54,1.94,-.33,-1.32,-.33,1.67,-.36,3.84,-1.09,-3.52,-1.99,-.77
89,Nifty Midcap150 Momentum 50,1.22,-.28,.09,.06,.89,-.47,.66,.15,1.03,.44,1.7,-.64,-.47,.69,1.01,-.47,2.84,-.9,-3.98,-1.66,-.54
90,Nifty Smallcap250 Quality 50,.73,-.53,-.05,1.1,1.05,.07,.23,.99,.55,1.98,2.47,-.71,-1.02,.57,.44,-.13,2.14,0,-4.1,-.42,-1.24
91,NIFTY100 ESG,.41,.3,.41,.23,.78,-.16,.22,.3,.79,.23,1.79,.06,-.79,-.09,1.02,-.88,1.54,-.42,-2.79,-1.2,.03
92,NIFTY100 Enhanced ESG,.41,.3,.41,.23,.77,-.16,.22,.3,.79,.23,1.8,.06,-.78,-.09,1.02,-.88,1.54,-.42,-2.8,-1.19,.03
93,NIFTY50 Equal Weight,.5,.39,.26,-.05,.75,.02,.08,.63,.76,.39,1.66,-.36,-.73,-.17,1.09,-1.09,1.5,-.28,-2.52,-1.44,.34
94,Nifty 50 Futures Index,.44,.41,.12,-.11,.77,.05,.17,.35,.47,.04,1.7,.06,-.8,-.18,1.1,-.94,1.29,-.19,-2.46,-1.28,.08
95,Nifty 50 Arbitrage,-.06,0,.02,.09,.01,.01,0,-.03,.03,.09,-.01,-.02,-.03,.12,-.03,.14,.02,-.04,-.12,.09,.11
96,Nifty Aditya Birla Group,,,,,,,,,,,,,,,,,,,,,
97,Nifty 8-13 yr G-Sec,.01,.01,.02,-.05,.08,-.02,.02,.03,.08,.06,-.04,.18,.01,.01,0,-.08,.09,-.04,.27,.13,.07
98,Nifty 4-8 yr G-Sec Index,.02,.02,.03,-.02,.06,-.01,.04,.04,.04,.02,-.03,.1,.01,-.01,.03,-.02,.06,-.02,.13,.08,.06
99,Nifty 11-15 yr G-Sec Index,0,.03,0,-.03,.06,-.01,.02,.03,.1,.13,-.02,.2,-.01,.03,-.01,-.06,.1,.01,.28,.11,.05
100,Nifty 15 yr and above G-Sec Index,.01,-.02,-.05,-.07,-.05,-.05,-.02,.02,.29,.29,.04,.27,-.01,.06,-.07,-.11,.12,-.01,.37,.12,0
101,Nifty Composite G-sec Index,0,.01,.01,-.05,.06,-.02,.02,.04,.1,.09,-.02,.18,.01,.02,0,-.07,.09,-.03,.26,.12,.05
102,Nifty 10 yr Benchmark G-Sec,0,0,.02,-.05,.07,-.02,.02,.04,.07,.04,-.04,.17,.01,.02,0,-.08,.09,-.06,.3,.13,.07
103,Nifty 10 yr Benchmark G-Sec (Clean Price),0,-.02,0,-.07,.05,-.04,0,.02,.06,.02,-.06,.15,-.01,0,-.02,-.11,.07,-.09,.28,.11,.05
104,Nifty 1D Rate Index,.02,.02,.02,.02,.05,.02,.02,.02,.02,.05,.03,.02,.02,.05,.02,.02,.02,.02,.05,.02,.02
105,Nifty50 USD,.33,.51,.1,0,.76,.1,.14,.12,.61,.22,1.64,.05,-.85,-.11,1.05,-.75,1.27,-.39,-2.79,-1.2,.24
