,Index Name,ind_close_all_25022026.csv,ind_close_all_24022026.csv,ind_close_all_23022026.csv,ind_close_all_20022026.csv,ind_close_all_19022026.csv,ind_close_all_18022026.csv,ind_close_all_17022026.csv,ind_close_all_16022026.csv,ind_close_all_13022026.csv,ind_close_all_12022026.csv,ind_close_all_11022026.csv,ind_close_all_10022026.csv,ind_close_all_09022026.csv,ind_close_all_06022026.csv,ind_close_all_05022026.csv,ind_close_all_04022026.csv,ind_close_all_03022026.csv,ind_close_all_02022026.csv,ind_close_all_01022026.csv
48,Nifty Tata Group 25% Cap,,,,,,,,,,,,,,,,,,,
49,Nifty Private Bank,.38,-.47,.34,.52,-1.46,.54,0,1.19,-1.02,-.1,-.16,.18,.23,.63,-.58,.06,2.5,0,-1.22
50,Nifty Smallcap 250,.64,-.59,.43,-.18,-1.19,.51,.74,-.04,-1.61,-.73,.13,.5,2.55,-.34,-1.03,.76,2.94,.56,-2.17
51,Nifty Smallcap 50,1,-.37,.37,-.02,-1.44,.6,.53,.52,-1.88,-.46,-.03,.41,2.64,-.23,-1.5,1.73,3.03,.7,-2.7
52,Nifty MidSmallcap 400,.64,-.39,.04,.26,-1.44,.53,.44,.27,-1.64,-.58,.06,.43,1.9,-.13,-.56,.66,2.93,.84,-2.12
53,Nifty Midcap 150,.64,-.28,-.16,.48,-1.56,.55,.28,.42,-1.65,-.5,.02,.39,1.57,-.02,-.32,.6,2.92,.99,-2.09
54,Nifty Midcap Select,.82,-.22,.01,.25,-2.09,.48,.17,.1,-1.91,-.43,0,.61,1.64,-.41,-.16,.48,3.01,1.82,-2.83
55,NIFTY LargeMidcap 250,.49,-.6,.18,.48,-1.53,.48,.26,.64,-1.5,-.52,.09,.32,1.15,.08,-.42,.43,2.74,1.02,-2.04
56,NIFTY SME EMERGE,-.37,-1.56,-.58,-.4,-.73,.6,.34,-.56,-.79,-.53,-.16,.3,1.11,.35,.14,.16,3.41,-.66,-.51
57,Nifty Oil & Gas,-.18,.5,.49,.47,-1.02,.74,-.11,.9,-1.88,-1.19,.45,.34,.38,.51,-.11,2.08,1.91,2.04,-2.86
58,Nifty Financial Services 25/50,.31,-.55,.73,.38,-1.38,.62,-.07,.45,-1.18,.4,.29,.2,1.08,.19,-.44,.84,3.2,.65,-2.36
59,Nifty Healthcare Index,1.59,.22,.49,.27,-.51,.3,.23,.93,-.85,0,1.62,-.27,1.23,-.62,.14,-.13,3.16,-.08,-.66
60,Nifty500 Multicap 50:25:25,.49,-.68,.33,.32,-1.43,.47,.37,.52,-1.49,-.58,.11,.34,1.38,0,-.59,.47,2.74,.92,-2.06
61,Nifty Microcap 250,.18,-1.27,.14,-.15,-1.42,.29,.99,-.74,-1.46,-.5,-.52,1,2.59,-.79,-1,1.32,3.72,.14,-1.39
62,Nifty Total Market,.42,-.79,.38,.4,-1.47,.44,.31,.63,-1.43,-.55,.1,.32,1.12,.06,-.54,.41,2.71,.97,-2.01
63,Nifty India Digital,.62,-3.95,-.71,-.45,-1.69,-.45,.29,.22,-1.75,-3.01,-.95,.82,.95,-.9,-.24,-2.29,1.37,-.41,-.03
64,Nifty Mobility,.99,-.78,.71,.44,-2.07,.31,.34,-.06,-1.27,-.23,.79,1.38,1.01,-.33,-.76,1.54,3.48,2.06,-1.99
65,Nifty India Defence,.93,-.6,-.38,.79,-1.73,.7,1.34,.28,-.9,.73,.16,.56,2.52,-.66,-2.1,-.77,2.33,1.08,-5.09
66,Nifty Financial Services Ex-Bank,.74,-.43,.39,.62,-1.54,.9,.01,-.16,-1.15,.75,.01,.09,1.39,.08,-.3,1.11,3.81,.66,-3.15
67,Nifty Housing,.49,-.44,.51,.97,-1.75,.65,.26,1.22,-1.46,-.05,.26,.31,1.24,-.03,-.15,1.39,2.82,1.5,-2.63
68,Nifty Transportation & Logistics,1.14,-.97,.61,.31,-2.07,.24,.28,-.24,-1.38,-.38,.6,1.6,1.11,-.49,-.77,1.58,3.29,1.93,-1.92
69,Nifty MidSmall Financial Services,.66,.11,-.75,.71,-1.58,1.07,.3,-.29,-1.95,.21,-.17,.78,1.73,-.46,-.2,1.1,2.9,.93,-3.65
70,Nifty MidSmall Healthcare,1.75,.35,1.03,-.23,-.71,.16,.56,1.02,-1.44,.05,1.38,-.23,2.27,-.63,-.56,-.36,2.08,-.01,-1.28
