,Index Name,ind_close_all_15122023.csv,ind_close_all_14122023.csv,ind_close_all_13122023.csv,ind_close_all_12122023.csv,ind_close_all_11122023.csv,ind_close_all_08122023.csv,ind_close_all_07122023.csv,ind_close_all_06122023.csv,ind_close_all_05122023.csv,ind_close_all_04122023.csv,ind_close_all_01122023.csv
85,NIFTY Midcap150 Quality 50,.85,.97,.04,-.45,.85,-.24,.47,.33,.15,.52,.27
86,Nifty200 Momentum 30,-.35,.64,2.13,-.24,1.01,.16,-.08,.48,.45,1.92,2.2
87,Nifty100 ESG Sector Leaders,1.42,1.44,-.09,-.42,.1,.28,-.13,.58,.74,1.92,.7
88,Nifty200 Alpha 30,-.17,.83,1.98,-.28,1.04,-.16,.07,.78,.62,1.49,2.21
89,Nifty Midcap150 Momentum 50,-.29,.77,1.99,-.27,1.1,.1,.3,-.15,.19,1.79,1.75
90,Nifty Smallcap250 Quality 50,.63,1.29,.45,-.02,.79,-1.27,.3,.61,.19,1.43,.71
91,NIFTY100 ESG,1.03,1.55,.01,-.36,.18,.03,.32,.84,.69,1.76,.26
92,NIFTY100 Enhanced ESG,1.03,1.57,0,-.35,.16,.04,.29,.84,.69,1.76,.24
93,NIFTY50 Equal Weight,1.16,.91,.37,-.15,.18,-.06,.02,.16,1,1.75,.45
94,Nifty 50 Futures Index,1.08,1.4,.05,-.29,.04,.21,-.04,.46,.69,2.08,.52
95,Nifty 50 Arbitrage,.15,-.1,.03,-.09,.07,.08,-.08,-.04,.08,.01,.11
96,Nifty Aditya Birla Group,1.05,2.12,-.32,.82,1.63,-.17,.66,-.72,.37,1.76,.51
97,Nifty 8-13 yr G-Sec,.24,.44,.12,.05,-.06,-.17,.09,.12,.06,.15,-.05
98,Nifty 4-8 yr G-Sec Index,.24,.43,.1,.04,.01,-.11,.04,.09,.07,.12,-.04
99,Nifty 11-15 yr G-Sec Index,.26,.47,.15,.06,-.09,-.11,.07,.17,.1,.25,-.16
100,Nifty 15 yr and above G-Sec Index,.4,.71,.24,.12,.02,-.21,.16,.24,.14,.21,-.31
101,Nifty Composite G-sec Index,.23,.46,.13,.05,-.04,-.13,.07,.13,.08,.17,-.09
102,Nifty 10 yr Benchmark G-Sec,.23,.46,.13,.06,-.08,-.19,.1,.11,.08,.15,-.06
103,Nifty 10 yr Benchmark G-Sec (Clean Price),.22,.45,.11,.04,-.1,-.21,.08,.1,.06,.14,-.08
104,Nifty 1D Rate Index,.02,.02,.02,.02,.06,.02,.02,.02,.02,.06,.02
105,Nifty50 USD,1.7,1.32,.07,-.43,.12,.3,-.22,.46,.79,1.98,.79
