,SYMBOL,NAME OF COMPANY,cm30OCT2023bhav.csv,cm27OCT2023bhav.csv,cm26OCT2023bhav.csv,cm25OCT2023bhav.csv,cm23OCT2023bhav.csv,cm20OCT2023bhav.csv,cm19OCT2023bhav.csv,cm18OCT2023bhav.csv,cm17OCT2023bhav.csv,cm16OCT2023bhav.csv,cm13OCT2023bhav.csv,cm12OCT2023bhav.csv,cm11OCT2023bhav.csv,cm10OCT2023bhav.csv,cm09OCT2023bhav.csv,cm06OCT2023bhav.csv,cm05OCT2023bhav.csv,cm04OCT2023bhav.csv,cm03OCT2023bhav.csv
16,AARTIPHARM,Aarti Pharmalabs Limited,-2.71110558388261,3.902312960330798,0.05171299288946054,1.243455497382199,-3.5840484603735456,-0.8632553484298734,-2.3934546342654808,-1.822323462414584,1.731918526649597,-2.101492537313436,0.17942583732057416,-1.1703511053315967,1.915662650602407,-0.32424642728474184,-1.9083519849216555,-1.474001857010219,-1.192660550458713,-3.0464754280631507,-2.6518021430890792
17,AARTISURF,Aarti Surfactants Limited,0.9356223175965744,0.7088520055325075,-1.7078766250318747,-0.20351055711013852,-1.5362778659096676,-0.8033791618353523,-0.7317273698922852,-0.2133070801542486,0.016410929679170055,0.2962719117768198,-1.0827092152393505,-0.03255208333332223,0.3839555591863447,1.048373782400513,-3.443328550932554,-0.6414825374198254,0.45346062052506325,-0.6324110671936759,-1.0249589234019176
18,AARVEEDEN,Aarvee Denims & Exports Limited,-0.21276595744681154,1.0752688172043012,0.6493506493506431,-6.097560975609756,-3.3398821218074572,9.227467811158792,0.6479481641468775,-1.4893617021276655,-1.0526315789473684,-0.6276150627615004,0.0,0.0,0.0,3.2397408207343417,-3.5416666666666727,2.56410256410257,0.429184549356214,-1.6877637130801628,-1.0438413361169103
19,AARVI,Aarvi Encon Limited,-0.8800880088008717,3.5700721610330333,2.7712724434036,-0.38880248833592534,-5.371596762325248,-0.4395604395604354,-1.408450704225344,-1.0010725777618918,0.8654886404615857,0.4710144927536273,0.7299270072992701,-1.118729700469153,4.6845485455232465,2.6764934057408754,-2.1260440394836624,3.700787401574794,2.4193548387096775,-0.7205764611689397,0.0
20,AAVAS,Aavas Financiers Limited,-5.703299188935923,-0.6899428791476799,0.6264531128907141,-1.5138023152270674,-1.1847522076616015,-1.6261167959934435,-1.0885851450937334,-0.35952591328721634,0.5114227965945923,-1.4189107595701003,-2.6451916294380435,-0.584385226741468,-0.9062744303210971,-2.144840482801617,2.2658785350023263,-1.2193027648978294,-2.4105471914192265,-0.5002640282371251,3.435290059219226
21,ABAN,Aban Offshore Limited,,,,,-8.411214953271033,-7.902973395931139,20.0,2.0114942528735575,6.097560975609756,4.126984126984133,-1.459854014598546,2.8969957081545097,1.6357688113413305,1.1025358324145533,0.11037527593819926,-0.6578947368421146,0.6622516556291486,-4.430379746835446,-1.863354037267078
22,ABB,ABB India Limited,1.5392291380815721,1.2695004105349585,0.7060170461773312,-0.30943262231465285,-1.8080840784001284,-1.9259186888609332,-0.10126149867018253,-4.325800728359328,0.05021663221573406,1.2354582426936538,0.31190332182966607,0.7323075452764503,-0.17411214730365115,2.2684586677073937,-0.8081101352495836,1.6052903289247304,1.7585991244527877,-2.3081904715355717,-0.15372415055206934
23,ABBOTINDIA,Abbott India Limited,-0.8334546352781376,1.9714470772386212,-1.2391526940854152,-0.9011249755129115,0.3348019566921711,-0.06995908386703159,1.0172574845226505,0.02363681366831874,-0.24135890625486608,0.39148251951271906,0.36961823300518554,-0.55037282241616,-1.397042823450798,-0.9341297024938433,-0.320579604452094,0.7630582693077393,0.2016133450502828,-1.3227776384191479,-0.2487116821149831
24,ABCAPITAL,Aditya Birla Capital Limited,-0.11611030478954347,1.1450381679389245,-1.3325608342989472,0.02897710808460327,-5.140186915887847,-1.0337323177366733,1.7155506364139583,-1.0946907498631637,1.2468827930174564,-0.08305647840531877,-0.1934235976789137,1.2307692307692244,0.6475225225225257,1.4277555682467162,-3.526170798898075,3.2716927453769555,0.14245014245014245,-2.877697841726613,0.41678243956654626
25,ABFRL,Aditya Birla Fashion and Retail Limited,0.0,1.0999297917154198,0.7783018867924555,-1.0270774976657278,-6.625980819529214,-3.552659239016182,3.2335069444444393,-0.13003901170350365,1.5628439357252844,2.0898876404494406,-0.33594624860022393,0.517784781629899,1.0464058234758795,2.256338683414758,-1.8493150684931559,-0.04564125969876509,2.2637106184364035,-0.7872192637184481,0.7934655775962607
26,ABMINTLLTD,ABM International Limited,4.942166140904314,4.966887417218543,4.982618771726532,4.987834549878339,4.980842911877402,,,,,,,,,,,,,,
27,ABSLAMC,Aditya Birla Sun Life AMC Limited,0.3991333105257156,-1.3166779203241104,0.5772495755517852,1.598436062557495,-2.314086722084927,0.5648441030275644,0.8774928774928827,-1.834657120483273,-0.6225680933852166,-1.9190927924980943,3.3352112676056365,2.7674849467345966,-0.6099666244677125,0.35805035805036073,-0.23046784973496198,-0.7320979180965558,-0.2851602600661572,0.06848533272457741,1.0146431453937585
28,ACC,ACC Limited,0.4792332268370607,-1.1500907966418354,0.46269367035058967,-0.3294068042269481,-3.351756106257809,-3.319297727216757,0.8192448052431668,-1.2526966071778758,0.4308540758795578,1.0146982018950912,-0.9410953166958148,-0.4488154215921956,2.640654499685339,1.083997048270946,-2.238861663225453,0.6358743271999021,-0.4684424289238328,-1.3882746080888495,1.125605665300042
29,ACCELYA,Accelya Solutions India Limited,-3.06101055279895,2.8093116827130435,0.14030291038601617,-2.3364485981308416,-5.51405902466555,-0.4987778291603326,-10.152841667903246,-0.2634383139947931,-1.2048192771084285,1.279469257197009,-1.4160997401383981,1.6320959078904418,0.44710721631047123,-1.8058888953930756,1.6996576871558242,2.551970450868461,-1.5536723163841752,-0.7160759040458289,2.762532577035104
30,ACCURACY,Accuracy Shipping Limited,,,,,,,,,,,,,,,,,,,
31,ACE,Action Construction Equipment Limited,2.384600013321785,4.876004191407611,1.82814056053493,-1.5752993068683048,-3.375727235827364,3.4502064525159177,2.0497071846879047,-0.6668558456299563,0.08520306731041026,-1.1441005123885697,1.3083979236293886,-1.422963689892048,2.0603805980826984,0.8440949426448342,-2.6478437982862797,3.1739130434782576,-0.7622608945778736,3.1525851197982346,-2.098765432098772
32,ACEINTEG,Ace Integrated Solutions Limited,5.185185185185185,3.0534351145038165,0.4601226993864987,-3.550295857988153,-1.457725947521866,-0.14556040756915362,5.529953917050705,-2.6905829596412723,-1.4727540500736376,-1.8786127167630018,1.4662756598240467,7.064364207221349,-6.185567010309282,1.6467065868263604,-5.248226950354614,1.1477761836441853,-0.4285714285714245,0.0,-1.68539325842697
