,SYMBOL,NAME OF COMPANY,cm26JUL2023bhav.csv,cm25JUL2023bhav.csv,cm24JUL2023bhav.csv,cm21JUL2023bhav.csv,cm20JUL2023bhav.csv,cm19JUL2023bhav.csv,cm18JUL2023bhav.csv,cm17JUL2023bhav.csv,cm14JUL2023bhav.csv,cm13JUL2023bhav.csv,cm12JUL2023bhav.csv,cm11JUL2023bhav.csv,cm10JUL2023bhav.csv,cm07JUL2023bhav.csv,cm06JUL2023bhav.csv,cm05JUL2023bhav.csv,cm04JUL2023bhav.csv,cm03JUL2023bhav.csv
1509,SHAILY,Shaily Engineering Plastics Limited,-1.1236355853606335,-0.10333891601040839,0.16418602991042452,0.4193548387096709,-2.709488440213405,3.703034028857615,-3.3956331877729196,0.12592255762705618,0.25951253726109386,-1.6825845602179146,-1.172181142876602,-0.7742764403570493,0.26442470675977103,-1.3840599090665833,0.5952581133344482,0.31035995007252365,-0.9853697641793039,1.2068557520029841
1510,SHAKTIPUMP,Shakti Pumps (India) Limited,-5.365956846707103,-0.4492489119752818,6.951951951951946,-1.9290237078486265,3.957137389973214,9.193480986209778,0.9875084402430829,0.9973574290341869,-0.8368554522400753,-1.5233497044868023,-0.4969767249233828,1.0292887029288664,0.26008893363536445,1.2573273298785306,-0.5743728355435579,1.2659310580788796,-1.2751224455328607,-0.4204507231752438
1511,SHALBY,Shalby Limited,4.016172506738538,0.1079330814894704,-1.8538135593220337,-0.1058201058200998,2.4390243902439024,-0.5122674575357178,-2.1113750329902348,0.4240657301881701,5.479452054794527,-0.5560189046427579,1.6101694915254205,-0.30977189524078363,-1.987303339773665,-1.2268266085059978,4.293431902189373,-2.14245965498052,-1.9907281156258554,8.26690286389135
1512,SHALPAINTS,Shalimar Paints Limited,-0.6518904823989569,-0.42194092827004587,0.0,0.03246753246753985,0.4566210045662026,-0.9689922480620154,0.0969932104752704,-0.7699711260827646,2.465483234714004,-1.3298734998378277,0.2927781392322818,0.5890052356020793,-0.3586566677534939,-0.5512321660181546,0.16239038648911985,2.1566025215660254,0.0,-1.115485564304473
1513,SHANKARA,Shankara Building Products Limited,0.17629509085978684,-1.0732492621411323,-0.09382120359201788,2.044724064829385,-1.5020881045399403,1.4764183185235753,-1.128607150097996,0.8107371576509124,0.4173222959567564,-0.31371479233444105,-0.67736909842173,2.201453790238834,0.1386481802426343,-3.2787984444146496,-0.5667044469631308,0.4217996786288285,0.060293428016337074,2.64750378214826
1514,SHANTI,Shanti Overseas (India) Limited,-1.5673981191222572,0.6309148264984206,-3.058103975535179,4.807692307692319,-2.803738317757016,0.0,-2.134146341463402,-0.30395136778115933,-0.3030303030303073,-0.9009009009008924,0.9090909090909005,0.6097560975609843,-2.0895522388059784,0.9036144578313166,-2.35294117647058,-0.5847953216374352,3.012048192771084,-2.0648967551622293
1515,SHANTIGEAR,Shanthi Gears Limited,-3.3376539209332443,0.054036528693396736,-0.3339077983627771,-0.3327965646806251,1.7032427120864748,0.05462093074065982,0.1970227670753015,0.6056601695848475,-1.742047175935947,-0.40948275862068473,0.23763231799525225,0.5976312072150386,0.21779374931939455,0.40454843647495425,-1.9406025517315344,-0.5862289490513749,-0.2233329788365319,-0.26516758591429784
1516,SHARDACROP,Sharda Cropchem Limited,-1.6078606520768175,-6.969980263841282,-6.224430157802442,-0.9742452011189482,-4.7850844966935995,0.1932456059629989,-0.911826388255676,0.8088978766430696,0.7874745228830832,-0.5344636933284145,-0.3672420124862284,0.04592633416000735,0.7682339874120653,-2.4205202312138683,0.009032607713859312,-2.3807424389383653,-0.9000349528137174,3.341159472638613
1517,SHARDAMOTR,Sharda Motor Industries Limited,1.2371884286493944,0.9798517974156408,-1.537626628075253,1.3196480938416506,-0.15250411761117552,-0.45542871022589265,-0.048555474629761744,0.15805471124619508,-0.42975606803461713,-0.49388664699151036,-0.4019196160767874,0.7981618091667703,-0.8037428023032684,3.385836537269015,1.1859195582606428,1.1230964467005105,-2.0205160087037615,3.4006171252249993
1518,SHAREINDIA,Share India Securities Limited,-0.3056695419144011,-3.370422820149714,0.008092906567386319,0.2677810686899162,0.5507506527415145,0.4055216483021192,0.4526190182282022,-0.0616827041697508,0.9715994020926794,-3.3430990889753875,-0.07619505935194462,-0.4073807812125678,1.1554621848739643,-1.738785232235021,-2.496613121734082,0.8864417369571936,1.6069515533865015,-3.6029833620194998
