,Index Name,ind_close_all_15032024.csv,ind_close_all_14032024.csv,ind_close_all_13032024.csv,ind_close_all_12032024.csv,ind_close_all_11032024.csv,ind_close_all_07032024.csv,ind_close_all_06032024.csv,ind_close_all_05032024.csv,ind_close_all_04032024.csv,ind_close_all_02032024.csv,ind_close_all_01032024.csv
88,Nifty200 Alpha 30,-1.55,1.58,-4.37,-1.62,-.27,.76,-.55,.31,1.46,.61,1.64
89,Nifty Midcap150 Momentum 50,-.69,2.46,-4.64,-1.41,.04,.21,-.48,-.12,.69,.74,.78
90,Nifty Smallcap250 Quality 50,.18,2.93,-5.41,-1.5,-1.85,.17,-2.03,-.24,-.07,.89,.95
91,NIFTY100 ESG,-.57,1.35,-2.04,-.39,-.38,.37,.37,-.3,-.01,.29,1.1
92,NIFTY100 Enhanced ESG,-.57,1.35,-2.04,-.39,-.38,.37,.37,-.3,0,.29,1.1
93,NIFTY50 Equal Weight,-.53,1.15,-2.37,-.55,-.45,.37,.39,-.11,.08,.33,1.37
94,Nifty 50 Futures Index,-.59,.73,-1.53,.11,-.58,-.18,.71,-.29,-.02,.26,1.28
95,Nifty 50 Arbitrage,.03,-.03,.02,-.06,-.06,.18,-.11,.05,.1,-.05,.23
96,Nifty Aditya Birla Group,.1,2.17,-2.84,-1.07,-.38,.53,-1.27,-.56,-.66,.15,2.67
97,Nifty 8-13 yr G-Sec,-.09,-.01,-.07,-.05,.13,.17,.05,.04,.02,.02,.12
98,Nifty 4-8 yr G-Sec Index,-.04,0,-.01,-.02,.07,.09,.05,.04,-.02,.02,.01
99,Nifty 11-15 yr G-Sec Index,-.06,0,-.07,-.13,.16,.12,.02,.05,-.02,.02,.23
100,Nifty 15 yr and above G-Sec Index,-.08,-.06,-.2,-.04,.11,.18,-.01,.06,.09,.02,.35
101,Nifty Composite G-sec Index,-.08,-.01,-.06,-.07,.11,.15,.03,.04,.02,.02,.16
102,Nifty 10 yr Benchmark G-Sec,-.12,0,-.06,-.06,.13,.18,.04,.04,.02,.02,.14
103,Nifty 10 yr Benchmark G-Sec (Clean Price),-.14,-.02,-.08,-.08,.11,.16,.02,.02,0,0,.12
104,Nifty 1D Rate Index,.02,.02,.02,.02,.07,.02,.02,.02,.05,.02,.02
105,Nifty50 USD,-.63,.72,-1.61,0,-.69,.14,.6,-.22,.14,.18,1.63
