,Index Name,ind_close_all_22072026.csv,ind_close_all_21072026.csv,ind_close_all_20072026.csv,ind_close_all_17072026.csv,ind_close_all_16072026.csv,ind_close_all_15072026.csv,ind_close_all_14072026.csv,ind_close_all_13072026.csv,ind_close_all_10072026.csv,ind_close_all_09072026.csv,ind_close_all_08072026.csv,ind_close_all_07072026.csv,ind_close_all_06072026.csv,ind_close_all_03072026.csv,ind_close_all_02072026.csv,ind_close_all_01072026.csv
70,Nifty MidSmall Healthcare,-1.69,.67,.8,-1.21,.04,.4,.38,.02,.77,1.55,-1.39,-.78,.12,1.26,.85,-.64
71,Nifty MidSmall IT & Telecom,-2.18,.1,-.44,-.25,.26,-.12,-.93,1.53,2.5,1.07,-1.78,1.05,.03,1.08,2.1,-1.64
72,Nifty MidSmall India Consumption,-1.03,.3,.62,-.42,-.03,.22,-.45,-.08,.92,1.85,-1.52,.76,1.22,-.18,.97,1.07
73,Nifty REITs & InvITs,.23,-.1,.07,.43,.2,.23,-.1,-.29,.61,-.08,-.31,.08,.42,-.13,.87,.47
74,Nifty Consumer Durables,-.86,-.38,.72,-.3,1.48,.73,.02,1.15,.99,1.68,-1.33,.89,1.48,-.37,1.43,.01
75,Nifty Non-Cyclical Consumer,-.23,.05,.63,.12,.12,.37,-.42,-.9,.04,1.06,-1.95,.17,.43,.11,.7,1.72
76,Nifty India Manufacturing,-.5,.47,.46,-.18,.26,.39,-.31,-.24,.92,.34,-1.69,-.72,1.01,-.08,.57,.09
77,NIFTY100 Alpha 30,-.77,.91,.96,-.17,-.15,-.37,.11,-.47,1.32,.05,-1.44,-.65,.9,-.18,.63,.42
78,NIFTY500 Value 50,-.84,.28,1.08,.17,-.16,-.14,-.68,.16,1.05,.62,-1.8,-.59,.16,-.03,.42,-.02
79,Nifty100 Low Volatility 30,-.3,.06,.43,.46,-.01,.22,-.64,.2,.59,.39,-1.84,.22,.24,.72,.94,.65
80,NIFTY Alpha Low-Volatility 30,-.05,.53,.89,.15,-.19,.29,-.41,-.29,.51,.68,-1.49,.09,.76,.41,.57,.72
81,NIFTY Quality Low-Volatility 30,-.18,.08,.6,.34,.05,.25,-.33,.02,.14,.38,-1.69,.35,.59,.66,.83,.74
82,NIFTY Alpha Quality Low-Volatility 30,.01,.11,.89,-.15,-.19,.37,-.2,-.31,.17,.55,-1.6,-.08,.68,.45,.5,.86
83,NIFTY Alpha Quality Value Low-Volatility 30,-.29,.21,1.11,.29,-.1,.07,-.28,-.14,.16,.29,-1.31,-.1,.56,.51,.52,.53
84,NIFTY200 Quality 30,-.18,-.07,.63,.64,.17,-.02,-.87,.53,.94,.32,-1.75,.25,.54,.36,1.21,.52
85,NIFTY Midcap150 Quality 50,-.91,.04,.76,-.49,-.1,.36,-.39,.06,1.09,1.1,-1.9,-.13,.58,-.21,.55,-.02
86,Nifty200 Momentum 30,-.49,.62,1.08,-1.19,-.3,-.07,.35,-.12,1.05,.63,-.61,-1.43,.71,-1.11,-.14,-.06
87,Nifty100 ESG Sector Leaders,-.76,-.08,-.31,.91,-.05,.19,-.48,-.11,1.11,.36,-2.11,-.16,.88,.37,.79,.77
88,Nifty200 Alpha 30,-.81,.57,.66,-1.14,-.58,-.1,.22,-.23,1.44,.96,-.87,-1.3,.82,-.67,.05,.04
89,Nifty Midcap150 Momentum 50,-.95,.43,.68,-.92,-.55,.46,-.17,-.04,1.27,1.49,-.93,-1.23,.44,-1.13,-.15,-.23
90,Nifty Smallcap250 Quality 50,-1.04,.34,-.04,.06,.1,.47,-1.16,.92,1.53,1.29,-2.07,-.36,.11,.29,1.25,-.02
91,NIFTY100 ESG,-.64,.07,.03,.74,0,.28,-.61,.26,1.09,.42,-2.01,.13,.54,.4,1.07,.72
92,NIFTY100 Enhanced ESG,-.64,.07,.02,.74,.01,.28,-.61,.27,1.09,.41,-2.01,.14,.54,.41,1.07,.72
93,NIFTY50 Equal Weight,-.55,.12,.22,.72,-.01,.08,-.73,.11,.92,.29,-1.97,-.15,.24,.54,.86,.58
94,Nifty 50 Futures Index,-.79,-.33,-.26,.93,.12,.18,-.9,0,1.01,.36,-2.16,-.17,.53,.36,.72,.35
95,Nifty 50 Arbitrage,.01,.08,-.08,.11,-.09,-.03,.17,.02,.02,-.01,.03,.04,.09,.05,0,.16
96,Nifty Aditya Birla Group,,,,,,,,,,,,,,,,
97,Nifty 8-13 yr G-Sec,-.15,.08,-.09,-.13,.19,.2,-.42,-.1,.27,.13,-.36,-.07,.26,.01,.21,-.13
98,Nifty 4-8 yr G-Sec Index,0,0,-.04,-.06,.14,.15,-.35,-.08,.26,0,-.23,.06,.14,-.02,.16,-.04
99,Nifty 11-15 yr G-Sec Index,.21,-.07,-.21,-.17,.2,.19,-.39,-.2,.35,.05,-.31,-.05,.25,-.01,.18,-.06
100,Nifty 15 yr and above G-Sec Index,-.14,-.19,-.15,-.23,.18,.19,-.69,-.17,.32,.12,-.5,-.09,.07,-.16,.48,-.17
101,Nifty Composite G-sec Index,-.12,.01,-.08,-.16,.18,.2,-.44,-.12,.27,.13,-.4,-.05,.23,-.04,.24,-.09
102,Nifty 10 yr Benchmark G-Sec,-.09,-.06,-.02,-.15,.19,.21,-.44,-.15,.3,.12,-.46,-.07,.24,.06,.24,-.1
103,Nifty 10 yr Benchmark G-Sec (Clean Price),-.11,-.08,-.03,-.17,.17,.19,-.47,-.17,.29,.1,-.48,-.09,.22,.04,.23,-.12
104,Nifty 1D Rate Index,.01,.01,.04,.01,.01,.01,.01,.04,.01,.01,.01,.01,.04,.01,.01,.01
105,Nifty50 USD,,.01,-.57,1.16,-.12,.05,-1.26,-.29,1.08,.52,-2.73,.32,.48,.57,.54,-.02
