,Index Name,ind_close_all_14022025.csv,ind_close_all_13022025.csv,ind_close_all_12022025.csv,ind_close_all_11022025.csv,ind_close_all_10022025.csv,ind_close_all_07022025.csv,ind_close_all_06022025.csv,ind_close_all_05022025.csv,ind_close_all_04022025.csv,ind_close_all_03022025.csv,ind_close_all_01022025.csv
81,NIFTY Quality Low-Volatility 30,-.58,-.18,-.16,-1.65,-.68,-.37,-.37,-.88,.46,-.82,1.31
82,NIFTY Alpha Quality Low-Volatility 30,-1.14,-.15,-.33,-1.67,-1.02,-.31,-.33,-.41,.79,-1.3,.45
83,NIFTY Alpha Quality Value Low-Volatility 30,-.96,-.05,-.34,-1.93,-.74,-.3,-.3,-.12,1.02,-1.32,-.13
84,NIFTY200 Quality 30,-.77,-.5,-.33,-1.98,-.83,-.49,-.65,-.13,.8,-1.53,.16
85,NIFTY Midcap150 Quality 50,-1.55,-.6,-.71,-2.62,-1.56,-.3,-.76,.9,.43,-.95,-.61
86,Nifty200 Momentum 30,-2.03,.14,-.29,-2.36,-1.83,1.06,-1.27,.6,1.33,.12,.31
87,Nifty100 ESG Sector Leaders,-.72,.04,0,-1.51,-.93,.04,-.46,-.06,1.55,-.4,.16
88,Nifty200 Alpha 30,-3.02,.18,-.27,-2.76,-2.34,.86,-1.55,1.4,1.94,-1.63,-.19
89,Nifty Midcap150 Momentum 50,-2.62,-.01,-.4,-3.37,-2.4,.73,-1.61,1.27,1.88,-.4,-.45
90,Nifty Smallcap250 Quality 50,-2.95,-.34,-.3,-2.89,-2.07,-.62,-.01,2.25,.67,-1.89,.92
91,NIFTY100 ESG,-1.07,.05,.16,-1.72,-1.05,.1,-.46,.13,1.52,-.36,.04
92,NIFTY100 Enhanced ESG,-1.07,.05,.16,-1.72,-1.04,.1,-.46,.13,1.52,-.35,.06
93,NIFTY50 Equal Weight,-1,.12,.08,-1.64,-.95,.19,-.55,-.09,1.23,-.51,-.08
94,Nifty 50 Futures Index,-.49,-.07,-.13,-1.3,-.66,-.31,-.35,-.05,1.46,-.48,-.27
95,Nifty 50 Arbitrage,.03,.01,.05,-.01,-.05,.11,-.01,-.08,.11,-.01,.11
96,Nifty Aditya Birla Group,,,,,,,,,,,
97,Nifty 8-13 yr G-Sec,.04,-.08,.02,.13,-.05,-.24,.05,.07,0,.15,.02
98,Nifty 4-8 yr G-Sec Index,.01,0,.01,.06,-.03,-.15,.03,.04,.04,.11,.02
99,Nifty 11-15 yr G-Sec Index,.02,-.06,.01,.11,-.06,-.37,.06,.07,-.04,.15,.02
100,Nifty 15 yr and above G-Sec Index,.06,-.23,.11,-.02,-.06,-.4,.33,.21,0,-.12,.02
101,Nifty Composite G-sec Index,.03,-.09,.04,.1,-.05,-.27,.08,.09,-.01,.11,.02
102,Nifty 10 yr Benchmark G-Sec,.06,-.09,.02,.13,-.07,-.27,.07,.08,0,.19,.02
103,Nifty 10 yr Benchmark G-Sec (Clean Price),.05,-.11,0,.11,-.1,-.3,.05,.06,-.02,.17,0
104,Nifty 1D Rate Index,.02,.02,.02,.02,.05,.02,.02,.02,.02,.05,.02
105,Nifty50 USD,,-.08,-.18,-.59,-.81,-.01,-.53,-.62,1.75,-1.17,-.11
