,Index Name,ind_close_all_27012025.csv,ind_close_all_24012025.csv,ind_close_all_23012025.csv,ind_close_all_22012025.csv,ind_close_all_21012025.csv,ind_close_all_20012025.csv,ind_close_all_17012025.csv,ind_close_all_16012025.csv,ind_close_all_15012025.csv,ind_close_all_14012025.csv,ind_close_all_13012025.csv,ind_close_all_10012025.csv,ind_close_all_09012025.csv,ind_close_all_08012025.csv,ind_close_all_07012025.csv,ind_close_all_06012025.csv,ind_close_all_03012025.csv,ind_close_all_02012025.csv,ind_close_all_01012025.csv
44,NIFTY100 Quality 30,-1.79,-.54,.79,.51,-1.06,.25,.34,-.04,.18,-.48,-1.72,.08,-.08,.14,.11,-1.58,-.59,1.98,.29
45,Nifty Mahindra Group,,,,,,,,,,,,,,,,,,,
46,Nifty 50 Futures TR Index,-1.11,-.62,.3,.43,-1.25,.63,-.45,.5,-.01,.49,-1.38,-.6,-.54,-.04,.33,-1.48,-.76,1.63,.41
47,Nifty Tata Group,,,,,,,,,,,,,,,,,,,
48,Nifty Tata Group 25% Cap,,,,,,,,,,,,,,,,,,,
49,Nifty Private Bank,-.49,-.5,-.4,.4,-1.54,2.38,-2.17,.91,-.02,1.14,-.87,-1.74,-.44,-.48,.38,-2.11,-.9,1.41,.46
50,Nifty Smallcap 250,-3.66,-2.15,.81,-1.6,-2.12,.84,-.04,1.21,.52,1.63,-4,-2.44,-1.17,-1.38,1.41,-2.88,-.19,.55,.88
51,Nifty Smallcap 50,-3.88,-2.76,1.32,-1.25,-2.09,1.17,.24,1.38,.71,2,-3.8,-2.57,-1.08,-1.54,1.17,-3.07,-.58,.63,.8
52,Nifty MidSmallcap 400,-3.12,-1.85,1.43,-1.38,-2.04,.8,.06,1.13,.42,1.98,-3.95,-2.18,-.93,-1.17,1.07,-2.65,-.23,.88,.64
53,Nifty Midcap 150,-2.83,-1.69,1.78,-1.25,-1.99,.77,.12,1.09,.36,2.18,-3.92,-2.04,-.8,-1.05,.87,-2.52,-.25,1.07,.5
54,Nifty Midcap Select,-3.02,-.74,2.17,-.79,-2.78,.87,.26,.73,.83,1.83,-3.82,-1.59,-.64,-1.39,.34,-2.41,-.65,1.24,.21
55,NIFTY LargeMidcap 250,-2.12,-1.18,1.06,-.46,-1.79,.64,-.07,.85,.33,1.47,-2.95,-1.36,-.79,-.63,.58,-2.22,-.42,1.41,.45
56,NIFTY SME EMERGE,-4.44,-2.29,-.16,-1.98,-1.26,.36,-.21,1.24,.57,.85,-3.79,-1.74,-.72,0,1.3,-2.52,1.28,.51,1.3
57,Nifty Oil & Gas,-2.24,-2.14,-.51,-.71,-1.13,.61,1.56,.88,.06,1.62,-2.67,-1.06,-1.94,1.54,1.64,-2.89,1.26,1.28,.26
58,Nifty Financial Services 25/50,-1.03,-.73,.04,.06,-1.71,1,-1.2,1.57,-.06,1.92,-1.62,-1.57,-.95,-.89,.6,-1.9,-.51,2.1,.48
59,Nifty Healthcare Index,-2.4,-2.11,1.28,.53,-.7,.57,.43,-.01,-1.27,.95,-2.45,-2.21,-.41,-1.09,.94,-.61,-1.16,.51,.32
60,Nifty500 Multicap 50:25:25,-2.32,-1.29,.82,-.55,-1.82,.66,-.11,.87,.36,1.33,-2.96,-1.46,-.89,-.72,.72,-2.31,-.41,1.28,.55
61,Nifty Microcap 250,-3.41,-2.17,.4,-1.5,-1.94,.84,.01,1.68,.12,1.68,-4.34,-2.46,-1.27,-.91,2.22,-3.73,.1,.69,1.21
62,Nifty Total Market,-1.97,-1.06,.65,-.22,-1.73,.6,-.15,.79,.32,1.14,-2.62,-1.18,-.85,-.51,.59,-2.19,-.47,1.47,.5
63,Nifty India Digital,-3.47,-.71,2.12,.19,-2.73,.66,-.87,.64,1.42,-.02,-3.52,.65,-1.29,-.9,-.74,-1.41,-.81,1.73,.06
