,Index Name,ind_close_all_30122025.csv,ind_close_all_29122025.csv,ind_close_all_26122025.csv,ind_close_all_24122025.csv,ind_close_all_23122025.csv,ind_close_all_22122025.csv,ind_close_all_19122025.csv,ind_close_all_18122025.csv,ind_close_all_17122025.csv,ind_close_all_16122025.csv,ind_close_all_15122025.csv,ind_close_all_12122025.csv,ind_close_all_11122025.csv,ind_close_all_10122025.csv,ind_close_all_09122025.csv,ind_close_all_08122025.csv,ind_close_all_05122025.csv,ind_close_all_04122025.csv,ind_close_all_03122025.csv,ind_close_all_02122025.csv,ind_close_all_01122025.csv
72,Nifty MidSmall India Consumption,-.35,-.68,-.3,-.24,.11,.01,1.02,.27,-.97,-.66,-.02,1.06,1.07,-1.16,.39,-2.02,.24,.04,-.85,-.02,-.28
73,Nifty REITs & InvITs,-.13,-.64,.52,-.24,.3,-.92,-.1,-.19,-.84,.23,-.75,.6,-.04,.45,-.71,-.49,.05,-.32,1.04,.59,.54
74,Nifty Consumer Durables,-.81,-.91,.34,-.48,-.23,-.16,.04,.37,-.96,.55,.52,1.46,.97,-1.72,1.31,-1.54,-.07,-.62,-1.57,-.44,-.51
75,Nifty Non-Cyclical Consumer,-.54,-.09,-.16,-.3,-.01,.68,.56,-.04,-.45,-.24,.38,.63,.51,-1.07,.28,-1.8,-.18,.09,-1.02,.06,-.22
76,Nifty India Manufacturing,.28,-.43,-.29,-.34,-.04,.96,.94,-.36,-.19,-.47,-.09,1.01,.88,-.15,-.1,-1.58,.18,.06,-.71,-.24,.15
77,NIFTY100 Alpha 30,-.34,-.44,-.53,.07,-.04,.93,.91,-.1,-.5,-.78,-.33,.67,.75,-.66,-.03,-1.79,.45,.05,-.8,-.39,-.11
78,NIFTY500 Value 50,.7,-.06,.02,-.16,.57,.8,.6,-.2,.43,-.71,.3,1.22,.48,.15,.25,-1.75,.28,.05,-.87,-.18,.27
79,Nifty100 Low Volatility 30,-.11,-.34,-.23,-.2,-.03,.7,.52,-.15,-.21,-.38,.16,.45,.5,-.18,-.54,-.79,.42,.4,-.24,-.04,-.03
80,NIFTY Alpha Low-Volatility 30,-.23,-.49,-.44,-.2,.05,.65,.55,-.1,-.37,-.5,-.05,.5,.64,-.25,-.46,-.81,.53,.54,-.16,-.07,0
81,NIFTY Quality Low-Volatility 30,-.23,-.22,-.29,-.33,.09,.61,.56,-.2,-.45,-.33,.12,.07,.61,-.22,-.63,-1.07,.48,.55,-.29,.06,.07
82,NIFTY Alpha Quality Low-Volatility 30,-.25,-.33,-.3,-.28,.02,.69,.7,-.23,-.45,-.52,.12,.18,.5,-.24,-.57,-1.21,.49,.59,-.43,.11,-.02
83,NIFTY Alpha Quality Value Low-Volatility 30,-.28,-.24,-.36,-.36,.13,.8,.49,.02,-.27,-.38,.06,.27,.56,-.16,-.74,-.88,.41,.62,-.21,.09,.01
84,NIFTY200 Quality 30,-.42,-.34,-.3,-.37,.2,1,.85,.17,-.39,-.49,.23,.52,.57,-.28,-.4,-1.55,.23,.75,-.52,-.05,.23
85,NIFTY Midcap150 Quality 50,-.84,-.4,-.46,-.44,-.12,1.26,.85,.33,-.75,-.65,.04,1.09,.91,-.83,.11,-1.7,.05,.43,-.76,-.25,-.08
86,Nifty200 Momentum 30,-.49,-.61,-.61,-.4,.02,.68,.86,.37,-.79,-.7,-.23,.74,.76,-1.01,-.32,-1.74,.82,.25,-1.08,-.52,-.05
87,Nifty100 ESG Sector Leaders,-.03,-.5,-.41,-.12,-.01,.94,.58,-.01,-.27,-.51,-.13,.74,.55,-.45,-.49,-.86,.51,.29,-.21,-.39,-.05
88,Nifty200 Alpha 30,-.41,-.71,-.69,-.55,-.38,1.08,1.03,.54,-.69,-1.01,-.47,.95,1.04,-1.38,-.23,-1.86,.74,.06,-1.46,-.41,.05
89,Nifty Midcap150 Momentum 50,-1.19,-.37,-.38,-.49,-.01,1.11,1.13,.49,-.67,-.95,-.17,.96,.94,-1.21,.06,-1.45,.76,-.2,-1.38,-.37,-.15
90,Nifty Smallcap250 Quality 50,-.86,-1.11,-.29,.06,.36,.9,.85,-.08,-.49,-.68,.55,.53,.75,-.75,.28,-2.13,-.57,.44,-.44,-.23,.59
91,NIFTY100 ESG,.01,-.43,-.4,-.13,.01,.88,.55,.11,-.21,-.73,-.04,.61,.56,-.43,-.28,-1.07,.56,.44,-.36,-.28,.03
92,NIFTY100 Enhanced ESG,.01,-.45,-.41,-.12,.01,.88,.55,.11,-.21,-.73,-.05,.61,.57,-.43,-.29,-1.05,.56,.45,-.36,-.27,.04
93,NIFTY50 Equal Weight,.01,-.34,-.32,-.09,.12,.84,.72,.03,-.11,-.75,-.03,.64,.64,-.22,-.38,-1.27,.6,.32,-.62,-.29,-.04
94,Nifty 50 Futures Index,-.03,-.42,-.44,-.14,.03,.65,.58,-.07,-.17,-.64,-.14,.52,.56,-.37,-.4,-1.02,.56,.19,-.29,-.46,-.2
95,Nifty 50 Arbitrage,.04,.02,.04,0,-.01,.11,.01,.04,.01,.01,.06,.04,-.01,.04,-.04,.12,.02,0,.08,-.05,.08
96,Nifty Aditya Birla Group,,,,,,,,,,,,,,,,,,,,,
97,Nifty 8-13 yr G-Sec,.01,-.13,-.14,.67,.19,-.43,-.09,.05,-.13,.14,.07,.02,.24,-.24,-.32,-.24,.13,.03,-.1,.35,-.17
98,Nifty 4-8 yr G-Sec Index,0,.03,-.08,.5,.07,-.34,-.11,.02,.04,.07,0,-.02,.18,-.18,-.23,-.2,.23,-.01,-.04,.23,-.24
99,Nifty 11-15 yr G-Sec Index,.09,-.07,-.14,.73,.12,-.54,-.02,.01,-.01,.17,.02,.01,.14,-.25,-.54,-.29,.34,.09,.05,.29,-.23
100,Nifty 15 yr and above G-Sec Index,-.02,.21,-.16,.62,.18,-.56,.23,.06,-.08,.05,.58,.22,.24,-.08,-.78,-.16,.52,-.03,-.09,.13,-.31
101,Nifty Composite G-sec Index,0,-.03,-.14,.63,.18,-.46,-.04,.05,-.09,.13,.15,.03,.22,-.21,-.41,-.23,.24,.01,-.07,.3,-.24
102,Nifty 10 yr Benchmark G-Sec,.06,-.11,-.22,.7,.27,-.49,-.11,.15,-.14,.14,.02,-.02,.27,-.23,-.39,-.23,.17,-.02,-.1,.28,-.19
103,Nifty 10 yr Benchmark G-Sec (Clean Price),.06,-.13,-.24,.69,.26,-.52,-.13,.13,-.16,.12,0,-.04,.25,-.25,-.42,-.25,.15,-.03,-.12,.27,-.21
104,Nifty 1D Rate Index,.01,.04,.03,.01,.01,.04,.01,.01,.01,.01,.04,.01,.01,.01,.01,.04,.01,.01,.01,.01,.04
105,Nifty50 USD,.2,-.53,-.46,-.26,0,.44,1.62,.12,.57,-.97,-.42,.5,.14,-.43,-.25,-.96,.57,.43,-.53,-.91,-.23
