,Index Name,ind_close_all_23072025.csv,ind_close_all_22072025.csv,ind_close_all_21072025.csv,ind_close_all_18072025.csv,ind_close_all_17072025.csv,ind_close_all_16072025.csv,ind_close_all_15072025.csv,ind_close_all_14072025.csv,ind_close_all_11072025.csv,ind_close_all_10072025.csv,ind_close_all_09072025.csv,ind_close_all_08072025.csv,ind_close_all_07072025.csv,ind_close_all_04072025.csv,ind_close_all_03072025.csv,ind_close_all_02072025.csv,ind_close_all_01072025.csv
70,Nifty MidSmall Healthcare,.87,-.46,-.3,-.77,.3,.05,1.05,1.95,.43,-.29,-.17,-.83,-.23,1.04,.78,.6,-.24
71,Nifty MidSmall IT & Telecom,.06,-1.25,.71,-.32,-.64,.02,.74,.6,-.81,-.74,-.43,-.11,-1.07,-.1,.06,.26,-.03
72,Nifty MidSmall India Consumption,.22,-.7,.28,-.91,.5,.21,.64,1.25,-.89,.15,-.27,-.14,.01,.61,.27,.45,-.65
73,Nifty REITs & InvITs,.51,.02,.46,.44,.4,.33,.12,-.09,.19,-.61,.44,.35,.51,.22,.14,-.21,.39
74,Nifty Consumer Durables,.6,-.11,.56,-.95,.5,.08,.88,.88,-.97,.11,.48,-2.29,-.24,.28,.56,1.04,.17
75,Nifty Non-Cyclical Consumer,.15,.74,.46,-.68,-.12,.11,.43,.36,-.36,-.7,.38,-.29,.59,-.5,-.31,.28,-.4
76,Nifty India Manufacturing,.54,-.6,.43,-.64,.12,-.26,1,.17,-.95,-.26,-.29,-.3,-.12,.22,.16,.15,.08
77,NIFTY100 Alpha 30,.45,.79,1.05,-.59,-.57,.03,.31,.19,-.93,-.82,.04,.28,-.42,-.18,-.53,-.32,-.08
78,NIFTY500 Value 50,.56,-.38,.21,-.17,.01,.15,.51,.4,-.49,.02,-.73,.23,-.16,.31,-.24,-.32,.1
79,Nifty100 Low Volatility 30,.49,-.44,-.02,-.41,-.21,.08,.68,-.06,-.62,-.49,.03,-.27,.34,.46,.23,-.05,.06
80,NIFTY Alpha Low-Volatility 30,.45,-.3,.43,-.68,-.26,-.16,.45,.1,-.84,-.62,-.1,.06,.02,.37,-.1,-.34,-.06
81,NIFTY Quality Low-Volatility 30,.26,-.46,.03,-.58,-.1,-.14,.81,-.15,-.59,-.47,.16,-.15,.3,.33,.48,-.03,-.42
82,NIFTY Alpha Quality Low-Volatility 30,.24,-.49,.02,-.47,-.01,-.1,.68,-.1,-.63,-.47,.19,-.19,.23,.49,.39,-.08,-.4
83,NIFTY Alpha Quality Value Low-Volatility 30,.37,-.52,-.11,-.33,-.13,.07,.95,-.1,-.64,-.5,-.05,-.16,.2,.63,.35,-.04,-.44
84,NIFTY200 Quality 30,.04,-.37,.22,-.53,-.32,-.07,.88,-.08,-.87,-.57,-.18,.11,.15,.47,.22,-.05,-.3
85,NIFTY Midcap150 Quality 50,.04,-.63,.73,-.59,.01,-.09,1.13,.23,-.75,-.46,.09,-.01,-.11,.12,.51,-.11,-.7
86,Nifty200 Momentum 30,.43,.17,1.05,-.67,-.75,-.06,.54,.2,-1.05,-.72,.15,.15,-.19,-.22,-.66,-.59,.03
