,SYMBOL,NAME OF COMPANY,cm26JUN2024bhav.csv,cm25JUN2024bhav.csv,cm24JUN2024bhav.csv,cm21JUN2024bhav.csv,cm20JUN2024bhav.csv,cm19JUN2024bhav.csv,cm18JUN2024bhav.csv,cm14JUN2024bhav.csv,cm13JUN2024bhav.csv,cm12JUN2024bhav.csv,cm11JUN2024bhav.csv,cm10JUN2024bhav.csv,cm07JUN2024bhav.csv,cm06JUN2024bhav.csv,cm05JUN2024bhav.csv,cm04JUN2024bhav.csv,cm03JUN2024bhav.csv
326,CGPOWER,CG Power and Industrial Solutions Limited,-0.9825169773154266,-1.375133594584963,3.1530207261502343,0.05147437311565689,0.6662225183211192,-1.537900874635562,-0.40650406504064385,3.15237738674653,0.24018614426180632,0.6268882175226552,1.1072928598701794,-1.326199984929539,1.120085339835402,4.548713454951018,0.10366826156299477,-8.633879781420765,6.65164348434221
327,CHALET,Chalet Hotels Limited,-1.9927754364840404,-1.3833640087870307,0.8140300472855635,1.4697843911327086,2.592061810704711,-1.930950198594556,-0.9862052274927369,0.14541929229276923,-1.9078751857355074,0.16073342064531765,0.05360652808385631,2.203689048517687,5.510951249277407,1.0514701109885145,3.0155121690291615,-4.696361435034732,0.03187149413564508
328,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,2.733372804420755,-2.8938290532771114,0.9089151034615996,-7.304831047772699,19.28792900673582,6.684156495950713,2.730255448793071,-1.8742094975278911,1.7192982456140407,1.004134672179563,-0.5404770297262393,4.327040941407216,1.3793960482167154,3.0081925243215566,10.981673533172335,-13.547040039302392,4.612617242708479
329,CHEMBOND,Chembond Chemicals Ltd,11.584725922337935,-0.8802112507001679,-0.9118300031715826,-0.5519634127109289,-0.9296148738379708,4.455324357405133,-0.8896077638495753,-0.5229283990345938,1.1885379355258798,19.99609260525545,1.4267313979986218,-0.9421925606045758,-0.42025019546521386,3.238825547371609,10.638535387363259,-10.830181166633492,-0.7214151596007465
330,CHEMCON,Chemcon Speciality Chemicals Limited,-0.8682521706304095,-1.1382720656839005,0.49506807185987817,0.5240536872266575,5.884231536926151,-1.245762043680516,0.027603612129813153,1.6515011825069166,0.07220506237715385,-0.48700650672627793,1.3553973134811435,2.2801572522242877,2.1344040574809853,0.7237122179650867,1.6443098225876294,-3.0620805369127564,0.44238466399831955
331,CHEMFAB,Chemfab Alkalis Limited,-1.5588960470850164,0.22319649262654082,-1.2049141597101871,0.6100942872989499,1.3246628131021196,-2.0446681346335325,-2.3048555623847573,-0.5349228182790768,-4.912076733032999,6.897623116358548,9.996582365003418,1.7827637185842244,1.2325028611673563,2.9081355317992514,3.0144657022865102,-3.6507508317597264,3.1058779899870204
332,CHEMPLASTS,Chemplast Sanmar Limited,-2.8365641116841425,-0.23066004258340458,0.4187082405345252,-3.5238504512247526,0.11185682326621531,-1.9736842105263046,-4.617860016090112,11.810740307636948,4.926852288815483,-1.5517561791488612,-1.229809104258431,10.912052117263837,1.4037985136251057,1.54071900220102,2.525252525252525,-5.011738287230787,4.234493031173536
333,CHENNPETRO,Chennai Petroleum Corporation Limited,-1.0584493456384683,-0.9502659711821446,-0.0722506063890226,-0.08765597607507711,-0.4516990042090111,-1.5911501742688288,0.29383454075687493,0.7246007041894191,0.16867716213453046,0.9442237242660433,1.428720954573998,0.17825311942958286,1.5330565314596074,5.31449714093508,2.246933394474381,-10.37246339583869,6.058954939246992
334,CHEVIOT,Cheviot Company Limited,-2.347762289068235,-2.115296729124508,-2.4270607720728696,3.0187688673054205,1.9605219136835033,-0.7767892710131487,-0.6431610541244764,-3.4026826393092597,3.355505795574277,-1.1297411688100218,-0.18198953560169995,1.614820685555779,0.9030022325147417,2.391675196178775,1.816792302080807,-3.184906168023147,-0.8602293945051922
335,CHOICEIN,Choice International Limited,0.3922081317819323,0.4332983193277251,0.5943732664113063,0.39782522211908233,0.8155080213903774,0.3892095020802546,0.6891891891891923,0.8449168710820449,0.4242507184891075,0.5642719515551916,0.70686070686071,-0.09692605926336824,1.4325842696629276,0.6644987982468608,6.537129085705676,-9.179206566347473,2.5677002946541254
