,SYMBOL,NAME OF COMPANY,cm01JAN2024bhav.csv
142,ASALCBR,Associated Alcohols & Breweries Ltd.,3.222807561202348
143,ASHAPURMIN,Ashapura Minechem Limited,
144,ASHIANA,Ashiana Housing Limited,6.209573091849939
145,ASHIMASYN,Ashima Limited,1.754385964912264
146,ASHOKA,Ashoka Buildcon Limited,-1.6876122082585239
147,ASHOKLEY,Ashok Leyland Limited,2.4235747727898524
148,ASIANENE,Asian Energy Services Limited,1.1838697743248199
149,ASIANHOTNR,Asian Hotels (North) Limited,
150,ASIANPAINT,Asian Paints Limited,-0.1851634140606684
151,ASIANTILES,Asian Granito India Limited,0.9296148738379852
152,ASMS,Bartronics India Limited,
153,ASPINWALL,Aspinwall and Company Limited,0.5252525252525299
154,ASTEC,Astec LifeSciences Limited,-1.5749828806208628
155,ASTERDM,Aster DM Healthcare Limited,-1.427525622254764
156,ASTRAL,Astral Limited,-0.13630049015752713
157,ASTRAMICRO,Astra Microwave Products Limited,0.331619963521804
158,ASTRAZEN,AstraZeneca Pharma India Limited,2.149603734665061
159,ASTRON,Astron Paper & Board Mill Limited,2.7734976887519216
160,ATALREAL,Atal Realtech Limited,
161,ATAM,Atam Valves Limited,-2.106741573033708
162,ATFL,Agro Tech Foods Limited,-0.45942686498593005
163,ATGL,Adani Total Gas Limited,1.315856065590364
164,ATLANTA,Atlanta  Limited,
165,ATUL,Atul Limited,0.1977651835442672
166,ATULAUTO,Atul Auto Limited,0.03495892326515151
167,AUBANK,AU Small Finance Bank Limited,-0.17780035560070834
168,AURIONPRO,Aurionpro Solutions Limited,
169,AUROPHARMA,Aurobindo Pharma Limited,-0.3551660516605082
170,AURUM,Aurum PropTech Limited,-0.8907823392718758
171,AUSOMENT,Ausom Enterprise Limited,
172,AUTOAXLES,Automotive Axles Limited,0.9671405266837567
173,AUTOIND,Autoline Industries Limited,1.2251148545176067
174,AVADHSUGAR,Avadh Sugar & Energy Limited,0.2767389678384477
175,AVALON,Avalon Technologies Limited,-1.2520413718018466
176,AVANTIFEED,Avanti Feeds Limited,4.130460659445296
177,AVG,AVG Logistics Limited,-1.8612071257644243
178,AVONMORE,Avonmore Capital & Management Services Limited,1.0455104551045615
179,AVROIND,AVRO INDIA LIMITED,1.3544018058690745
180,AVTNPL,AVT Natural Products Limited,3.2187670485542696
181,AWHCL,Antony Waste Handling Cell Limited,2.601156069364167
182,AWL,Adani Wilmar Limited,3.4094111017188005
183,AXISBANK,Axis Bank Limited,-0.4173092624512301
184,AXISCADES,AXISCADES Technologies Limited,4.157188799121499
185,AXITA,Axita Cotton Limited,4.27184466019418
186,AYMSYNTEX,AYM Syntex Limited,0.14245014245013435
187,BAFNAPH,Bafna Pharmaceuticals Limited,
188,BAGFILMS,B.A.G Films and Media Limited,3.9548022598870016
189,BAIDFIN,Baid Finserv Limited,
190,BAJAJ-AUTO,Bajaj Auto Limited,-1.4145426459229782
191,BAJAJCON,Bajaj Consumer Care Limited,3.4380692167577465
192,BAJAJELEC,Bajaj Electricals Limited,0.4452089446524427
193,BAJAJFINSV,Bajaj Finserv Limited,-0.5575987661644242
194,BAJAJHCARE,Bajaj Healthcare Limited,0.19946808510638298
195,BAJAJHIND,Bajaj Hindusthan Sugar Limited,1.0791366906474844
196,BAJAJHLDNG,Bajaj Holdings & Investment Limited,1.160321059077988
197,BAJFINANCE,Bajaj Finance Limited,-0.3916618334413677
198,BALAJITELE,Balaji Telefilms Limited,0.8736559139784831
199,BALAMINES,Balaji Amines Limited,1.0923739928798986
200,BALAXI,BALAXI PHARMACEUTICALS LIMITED,0.7517057939169655
201,BALKRISHNA,Balkrishna Paper Mills Limited,-1.3386880856760375
202,BALKRISIND,Balkrishna Industries Limited,0.2997800315352949
203,BALLARPUR,Ballarpur Industries Limited,
204,BALMLAWRIE,Balmer Lawrie & Company Limited,1.9648160840758562
205,BALPHARMA,Bal Pharma Limited,0.44977511244378093
206,BALRAMCHIN,Balrampur Chini Mills Limited,0.9867218906078721
207,BANARBEADS,Banaras Beads Limited,-0.5230125523012553
208,BANARISUG,Bannari Amman Sugars Limited,0.5084580033245331
209,BANCOINDIA,Banco Products (I) Limited,-1.5411092857701671
210,BANDHANBNK,Bandhan Bank Limited,1.1184755592377749
211,BANG,Bang Overseas Limited,
212,BANKA,Banka BioLoo Limited,9.985734664764621
213,BANKBARODA,Bank of Baroda,1.146689744699267
214,BANKINDIA,Bank of India,0.3996447602131464
215,BANSWRAS,Banswara Syntex Limited,2.066115702479339
216,BARBEQUE,Barbeque Nation Hospitality Limited,0.014957744372152082
217,BASF,BASF India Limited,0.236437458215794
218,BASML,Bannari Amman Spinning Mills Limited,1.0515247108307046
219,BATAINDIA,Bata India Limited,-0.5904081385491099
220,BAYERCROP,Bayer Cropscience Limited,-0.9258175202860406
221,BBL,Bharat Bijlee Limited,2.169572189747046
222,BBOX,Black Box Limited,
223,BBTC,Bombay Burmah Trading Corporation Limited,-3.6555929619513408
224,BBTCL,B&B Triplewall Containers Limited,-0.03599064243297561
225,BCG,Brightcom Group Limited,-1.8087855297157693
226,BCLIND,Bcl Industries Limited,-0.3014318010549942
227,BCONCEPTS,Brand Concepts Limited,
228,BDL,Bharat Dynamics Limited,0.8351096446404171
229,BEARDSELL,Beardsell Limited,
230,BECTORFOOD,Mrs. Bectors Food Specialities Limited,0.7334525939177143
231,BEDMUTHA,Bedmutha Industries Limited,9.997102289191538
232,BEL,Bharat Electronics Limited,0.40716612377850164
233,BEML,BEML Limited,0.533719779442965
234,BEPL,Bhansali Engineering Polymers Limited,2.777777777777775
235,BERGEPAINT,Berger Paints (I) Limited,-0.13230794674604393
236,BESTAGRO,Best Agrolife Limited,
237,BFINVEST,BF Investment Limited,2.78765201122544
238,BFUTILITIE,BF Utilities Limited,0.28740490278952585
239,BGLOBAL,Bharatiya Global Infomedia Limited,
240,BGRENERGY,BGR Energy Systems Limited,-0.7201646090535008
241,BHAGCHEM,Bhagiradha Chemicals & Industries Limited,-1.1825259797374248
242,BHAGERIA,Bhageria Industries Limited,0.8259406546344588
243,BHAGYANGR,Bhagyanagar India Limited,-2.84200385356455
244,BHANDARI,Bhandari Hosiery Exports Limited,
245,BHARATFORG,Bharat Forge Limited,0.7388864214479018
246,BHARATGEAR,Bharat Gears Limited,-0.17301038062282756
247,BHARATRAS,Bharat Rasayan Limited,0.3653951876676307
248,BHARATWIRE,Bharat Wire Ropes Limited,-0.7605177993527582
249,BHARTIARTL,Bharti Airtel Limited,-1.855260608409232
250,BHEL,Bharat Heavy Electricals Limited,2.3766468612761527
251,BIGBLOC,Bigbloc Construction Limited,0.42708968883464826
252,BIKAJI,Bikaji Foods International Limited,0.05493499359090909
253,BIL,Bhartiya International Limited,
254,BINANIIND,Binani Industries Limited,
255,BINDALAGRO,Oswal Chemicals & Fertilizers Limited,
256,BIOCON,Biocon Limited,2.363308632084921
257,BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,-0.2770083102493049
258,BIRLACABLE,Birla Cable Limited,0.17507002801120447
259,BIRLACORPN,Birla Corporation Limited,4.073701377563417
260,BIRLAMONEY,Aditya Birla Money Limited,9.73493975903614
261,BIRLATYRE,Birla Tyres Limited,
262,BKMINDST,Bkm Industries Limited,
263,BLAL,BEML Land Assets Limited,1.150527325023972
264,BLBLIMITED,BLB Limited,1.1286681715575622
265,BLISSGVS,Bliss GVS Pharma Limited,0.16044925792217296
266,BLKASHYAP,B. L. Kashyap and Sons Limited,6.176700547302584
267,BLS,BLS International Services Limited,2.2229179711959994
268,BLUECHIP,Blue Chip India Limited,
269,BLUECOAST,Blue Coast Hotels Limited,
270,BLUEDART,Blue Dart Express Limited,-0.36129277618183425
271,BLUESTARCO,Blue Star Limited,0.19007391763463088
272,BODALCHEM,Bodal Chemicals Limited,0.2418379685610675
273,BOHRAIND,Bohra Industries Limited,
274,BOMDYEING,Bombay Dyeing & Mfg Company Limited,0.974025974025974
275,BOROLTD,Borosil Limited,0.48968689716576175
276,BORORENEW,BOROSIL RENEWABLES LIMITED,-0.2727892702886994
277,BOSCHLTD,Bosch Limited,1.0342824201262912
278,BPCL,Bharat Petroleum Corporation Limited,0.3106623765671883
279,BPL,BPL Limited,
280,BRIGADE,Brigade Enterprises Limited,-0.21745190967382722
281,BRITANNIA,Britannia Industries Limited,-0.34935234009871097
282,BRNL,Bharat Road Network Limited,5.115346038114337
283,BROOKS,Brooks Laboratories Limited,1.636490250696375
284,BSE,BSE Limited,-0.8171258779038194
285,BSHSL,Bombay Super Hybrid Seeds Limited,0.3550074738415503
286,BSL,BSL Limited,0.261282660332547
287,BSOFT,BIRLASOFT LIMITED,-2.593440122044232
288,BTML,Bodhi Tree Multimedia Limited,0.3040283759817554
289,BURNPUR,Burnpur Cement Limited,
290,BUTTERFLY,Butterfly Gandhimathi Appliances Limited,2.577046973412179
291,BVCL,Barak Valley Cements Limited,
292,BYKE,The Byke Hospitality Ltd,
293,CALSOFT,California Software Company Limited,
294,CAMLINFINE,Camlin Fine Sciences Limited,-1.1782032400589268
295,CAMPUS,Campus Activewear Limited,1.821753884622262
296,CAMS,Computer Age Management Services Limited,-0.10937617862261789
297,CANBK,Canara Bank,1.1199999999999948
298,CANFINHOME,Can Fin Homes Limited,-0.09644441586832123
299,CANTABIL,Cantabil Retail India Limited,1.7431002282631323
300,CAPACITE,Capacit'e Infraprojects Limited,3.915301638034363
301,CAPLIPOINT,Caplin Point Laboratories Limited,-0.014747631161747996
302,CAPTRUST,Capital Trust Limited,10.769230769230766
303,CARBORUNIV,Carborundum Universal Limited,0.3053709358720912
304,CAREERP,Career Point Limited,0.7159904534606174
305,CARERATING,CARE Ratings Limited,-1.749684741488018
306,CARTRADE,Cartrade Tech Limited,1.162953621970009
307,CARYSIL,CARYSIL LIMITED,-0.1702955844787711
308,CASTROLIND,Castrol India Limited,6.648122392211399
309,CCCL,Consolidated Construction Consortium Limited,
310,CCHHL,Country Club Hospitality & Holidays Limited,4.000000000000005
311,CCL,CCL Products (India) Limited,-1.5922330097087378
312,CDSL,Central Depository Services (India) Limited,-0.3316158737119152
313,CEATLTD,CEAT Limited,0.16481252575195715
314,CELEBRITY,Celebrity Fashions Limited,
315,CENTENKA,Century Enka Limited,1.231442053170681
316,CENTEXT,Century Extrusions Limited,2.393617021276592
317,CENTRALBK,Central Bank of India,0.499001996007984
318,CENTRUM,Centrum Capital Limited,4.247787610619466
319,CENTUM,Centum Electronics Limited,8.68146939985915
320,CENTURYPLY,Century Plyboards (India) Limited,3.4263877194118697
321,CENTURYTEX,Century Textiles & Industries Limited,4.699194306981314
322,CERA,Cera Sanitaryware Limited,0.830221859747934
323,CEREBRAINT,Cerebra Integrated Technologies Limited,
324,CESC,CESC Limited,3.283018867924524
325,CGCL,Capri Global Capital Limited,0.6821282401091405
326,CGPOWER,CG Power and Industrial Solutions Limited,-1.0563380281690042
327,CHALET,Chalet Hotels Limited,-1.2491923325436205
328,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,1.8077129084092127
329,CHEMBOND,Chembond Chemicals Ltd,5.992759146341473
330,CHEMCON,Chemcon Speciality Chemicals Limited,1.1437350631614964
331,CHEMFAB,Chemfab Alkalis Limited,2.0482908301681917
332,CHEMPLASTS,Chemplast Sanmar Limited,-2.340234023402338
333,CHENNPETRO,Chennai Petroleum Corporation Limited,1.1853448275862069
334,CHEVIOT,Cheviot Company Limited,1.1967531566532539
335,CHOICEIN,Choice International Limited,1.064638783269957
336,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,-2.734561041435152
337,CHOLAHLDNG,Cholamandalam Financial Holdings Limited,-1.961444161338395
338,CIGNITITEC,Cigniti Technologies Limited,-0.47797563261479936
339,CINELINE,Cineline India Limited,
340,CINEVISTA,Cinevista Limited,
341,CIPLA,Cipla Limited,0.3771162641418636
342,CLEAN,Clean Science and Technology Limited,2.7177070557097758
343,CLEDUCATE,CL Educate Limited,-2.3680315737543087
344,CLSEL,Chaman Lal Setia Exports Limited,3.4796682176815676
345,CMICABLES,CMI Limited,
346,CMSINFO,CMS Info Systems Limited,-0.24830109775223352
347,COALINDIA,Coal India Limited,1.5425531914893649
348,COASTCORP,Coastal Corporation Limited,7.907332950411655
349,COCHINSHIP,Cochin Shipyard Limited,0.6573359429816362
350,COFFEEDAY,Coffee Day Enterprises Limited,1.7996870109546144
351,COFORGE,Coforge Limited,-1.3045072038760592
352,COLPAL,Colgate Palmolive (India) Limited,-1.7235245286002256
353,COMPINFO,Compuage Infocom Limited,
354,COMPUSOFT,Compucom Software Limited,
355,CONCOR,Container Corporation of India Limited,0.18030593846333604
356,CONFIPET,Confidence Petroleum India Limited,-0.8370535714285714
357,CONSOFINVT,Consolidated Finvest & Holdings Limited,0.6101281269066503
358,CONTROLPR,Control Print Limited,3.768029146079741
359,CORALFINAC,Coral India Finance & Housing Limited,2.478632478632483
360,CORDSCABLE,Cords Cable Industries Limited,0.17683465959328282
361,COROMANDEL,Coromandel International Limited,-0.31957815683298046
362,COSMOFIRST,COSMO FIRST LIMITED,2.172487292998852
363,COUNCODOS,Country Condo's Limited,
364,CRAFTSMAN,Craftsman Automation Limited,-1.237456647398837
365,CREATIVE,Creative Newtech Limited,8.2136474948706
366,CREATIVEYE,Creative Eye Limited,6.17283950617284
367,CREDITACC,CREDITACCESS GRAMEEN LIMITED,-0.15032413641914527
368,CREST,Crest Ventures Limited,3.0865267903589304
369,CRISIL,CRISIL Limited,-1.524182855825223
370,CROMPTON,Crompton Greaves Consumer Electricals Limited,0.9488581537472002
371,CROWN,Crown Lifters Limited,
372,CSBBANK,CSB Bank Limited,-0.2388630120625821
373,CSLFINANCE,CSL Finance Limited,-0.7031421665568106
374,CTE,Cambridge Technology Enterprises Limited,-0.46697798532356044
375,CUB,City Union Bank Limited,2.1812080536912752
376,CUBEXTUB,Cubex Tubings Limited,
377,CUMMINSIND,Cummins India Limited,-0.3055067593370503
378,CUPID,Cupid Limited,
379,CYBERMEDIA,Cyber Media (India) Limited,-2.3771790808240887
380,CYBERTECH,Cybertech Systems And Software Limited,-1.6533066132264445
381,CYIENT,Cyient Limited,0.33360225017988754
382,DAAWAT,LT Foods Limited,
383,DABUR,Dabur India Limited,0.04486719310839914
384,DALBHARAT,Dalmia Bharat Limited,3.782085091420543
385,DALMIASUG,Dalmia Bharat Sugar and Industries Limited,0.43620501635769093
386,DAMODARIND,Damodar Industries Limited,0.9100101112234493
387,DANGEE,Dangee Dums Limited,
388,DATAMATICS,Datamatics Global Services Limited,1.4635830169140522
389,DATAPATTNS,Data Patterns (India) Limited,-1.0906941758005562
390,DBCORP,D.B.Corp Limited,-1.964085297418631
391,DBL,Dilip Buildcon Limited,-0.8968027034052479
392,DBOL,Dhampur Bio Organics Limited,0.6864988558352478
393,DBREALTY,D B Realty Limited,0.26939655172413796
394,DBSTOCKBRO,DB (International) Stock Brokers Limited,
395,DCAL,Dishman Carbogen Amcis Limited,4.67973091547236
396,DCBBANK,DCB Bank Limited,9.371471584493802
397,DCI,Dc Infotech And Communication Limited,
398,DCM,DCM  Limited,-1.0113780025284413
399,DCMFINSERV,DCM Financial Services Limited,
400,DCMNVL,DCM Nouvelle Limited,2.7665706051873262
401,DCMSHRIRAM,DCM Shriram Limited,0.048619214313496695
