,Index Name,ind_close_all_19062026.csv,ind_close_all_18062026.csv,ind_close_all_17062026.csv,ind_close_all_16062026.csv,ind_close_all_15062026.csv,ind_close_all_12062026.csv,ind_close_all_11062026.csv,ind_close_all_10062026.csv,ind_close_all_09062026.csv,ind_close_all_08062026.csv,ind_close_all_05062026.csv,ind_close_all_04062026.csv,ind_close_all_03062026.csv,ind_close_all_02062026.csv,ind_close_all_01062026.csv
82,NIFTY Alpha Quality Low-Volatility 30,-.38,.55,.18,.48,.74,1.24,-.52,.14,1.06,-.8,.09,.28,-.42,.2,-1.4
83,NIFTY Alpha Quality Value Low-Volatility 30,-.71,.15,.31,.6,.67,1.18,-.51,.02,.79,-.83,-.14,.25,-.8,.59,-.58
84,NIFTY200 Quality 30,-.84,.01,1,.9,.84,.9,-1.16,-.46,.59,-.78,-.45,.41,-1.67,1.17,-.69
85,NIFTY Midcap150 Quality 50,.17,.36,.56,.84,1.55,1.99,-.99,-.7,1.17,-1.49,-.28,.63,-.85,.67,-.82
86,Nifty200 Momentum 30,-.04,.39,.33,-.09,2.19,3.17,-.9,-1.22,1.78,-1.45,-.1,.17,-.03,.02,-1.53
87,Nifty100 ESG Sector Leaders,-.74,.34,.52,.66,1.08,2.03,-.4,-.34,.56,-1.22,-.03,.04,-.51,.5,-.75
88,Nifty200 Alpha 30,.49,.23,.83,-.39,2.14,2.95,-.87,-1.73,1.61,-1.77,-.05,.47,.16,-.25,-1.91
89,Nifty Midcap150 Momentum 50,.25,.37,.53,.17,1.81,3.26,-1.01,-1.31,1.56,-1.85,-.18,.45,-.21,-.15,-1.77
90,Nifty Smallcap250 Quality 50,-.02,1.04,.57,.75,1.37,2.38,-.97,-.9,.93,-1.41,.04,.22,-.98,.68,-1.62
91,NIFTY100 ESG,-.67,.3,.54,.57,1.31,1.79,-.74,-.61,.75,-1.23,.23,.15,-.81,.76,-.77
92,NIFTY100 Enhanced ESG,-.68,.31,.54,.58,1.26,1.79,-.75,-.61,.75,-1.23,.24,.16,-.81,.77,-.77
93,NIFTY50 Equal Weight,-.27,.48,.37,.34,1.18,1.41,-.5,-.54,.46,-1.17,-.16,.13,-.49,.48,-.79
94,Nifty 50 Futures Index,-.56,.41,.39,.35,.97,2.1,-.17,-.39,.68,-1.18,-.25,-.02,-.37,.6,-1.21
95,Nifty 50 Arbitrage,.08,-.04,.01,.14,.02,-.04,-.03,.18,-.1,.11,.06,.05,.03,-.1,.35
96,Nifty Aditya Birla Group,,,,,,,,,,,,,,,
97,Nifty 8-13 yr G-Sec,-.09,.09,.02,.02,.14,.15,.02,-.12,.37,.16,.16,.18,-.12,.1,-.08
98,Nifty 4-8 yr G-Sec Index,.01,-.03,.03,.02,.1,.16,.15,-.18,.35,.22,.56,.09,-.06,.07,-.02
99,Nifty 11-15 yr G-Sec Index,-.14,.33,.07,.1,.17,.15,.04,-.09,.44,.13,.34,.14,-.09,.03,-.07
100,Nifty 15 yr and above G-Sec Index,-.08,.51,.04,.08,.21,.19,.02,-.37,.51,.13,.57,.17,-.13,.13,-.14
101,Nifty Composite G-sec Index,-.09,.17,.02,.04,.15,.16,.05,-.18,.4,.16,.29,.16,-.12,.09,-.06
102,Nifty 10 yr Benchmark G-Sec,-.09,.17,.04,.06,.22,.22,.07,-.14,.39,.05,.24,.19,-.19,.1,-.19
103,Nifty 10 yr Benchmark G-Sec (Clean Price),-.11,.15,.02,.04,.2,.2,.05,-.16,.37,.03,.22,.17,-.21,.08,-.21
104,Nifty 1D Rate Index,.01,.01,.01,.01,.04,.01,.01,.01,.01,.04,.01,.01,.01,.01,.04
105,Nifty50 USD,,.55,.43,.74,1.4,2.69,-.74,-.03,.89,-1.84,.69,-.03,-.8,.15,-.7
