,SYMBOL,NAME OF COMPANY
200,BALAXI,BALAXI PHARMACEUTICALS LIMITED
201,BALKRISHNA,Balkrishna Paper Mills Limited
202,BALKRISIND,Balkrishna Industries Limited
203,BALLARPUR,Ballarpur Industries Limited
204,BALMLAWRIE,Balmer Lawrie & Company Limited
205,BALPHARMA,Bal Pharma Limited
206,BALRAMCHIN,Balrampur Chini Mills Limited
207,BANARBEADS,Banaras Beads Limited
208,BANARISUG,Bannari Amman Sugars Limited
209,BANCOINDIA,Banco Products (I) Limited
210,BANDHANBNK,Bandhan Bank Limited
211,BANG,Bang Overseas Limited
212,BANKA,Banka BioLoo Limited
213,BANKBARODA,Bank of Baroda
214,BANKINDIA,Bank of India
215,BANSWRAS,Banswara Syntex Limited
216,BARBEQUE,Barbeque Nation Hospitality Limited
217,BASF,BASF India Limited
218,BASML,Bannari Amman Spinning Mills Limited
219,BATAINDIA,Bata India Limited
220,BAYERCROP,Bayer Cropscience Limited
221,BBL,Bharat Bijlee Limited
222,BBOX,Black Box Limited
223,BBTC,Bombay Burmah Trading Corporation Limited
224,BBTCL,B&B Triplewall Containers Limited
225,BCG,Brightcom Group Limited
226,BCLIND,Bcl Industries Limited
227,BCONCEPTS,Brand Concepts Limited
228,BDL,Bharat Dynamics Limited
229,BEARDSELL,Beardsell Limited
230,BECTORFOOD,Mrs. Bectors Food Specialities Limited
231,BEDMUTHA,Bedmutha Industries Limited
232,BEL,Bharat Electronics Limited
233,BEML,BEML Limited
234,BEPL,Bhansali Engineering Polymers Limited
235,BERGEPAINT,Berger Paints (I) Limited
236,BESTAGRO,Best Agrolife Limited
237,BFINVEST,BF Investment Limited
238,BFUTILITIE,BF Utilities Limited
239,BGLOBAL,Bharatiya Global Infomedia Limited
240,BGRENERGY,BGR Energy Systems Limited
241,BHAGCHEM,Bhagiradha Chemicals & Industries Limited
242,BHAGERIA,Bhageria Industries Limited
243,BHAGYANGR,Bhagyanagar India Limited
244,BHANDARI,Bhandari Hosiery Exports Limited
245,BHARATFORG,Bharat Forge Limited
246,BHARATGEAR,Bharat Gears Limited
247,BHARATRAS,Bharat Rasayan Limited
248,BHARATWIRE,Bharat Wire Ropes Limited
249,BHARTIARTL,Bharti Airtel Limited
250,BHEL,Bharat Heavy Electricals Limited
251,BIGBLOC,Bigbloc Construction Limited
252,BIKAJI,Bikaji Foods International Limited
253,BIL,Bhartiya International Limited
254,BINANIIND,Binani Industries Limited
255,BINDALAGRO,Oswal Chemicals & Fertilizers Limited
256,BIOCON,Biocon Limited
257,BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited
258,BIRLACABLE,Birla Cable Limited
259,BIRLACORPN,Birla Corporation Limited
260,BIRLAMONEY,Aditya Birla Money Limited
261,BIRLATYRE,Birla Tyres Limited
262,BKMINDST,Bkm Industries Limited
263,BLAL,BEML Land Assets Limited
264,BLBLIMITED,BLB Limited
265,BLISSGVS,Bliss GVS Pharma Limited
266,BLKASHYAP,B. L. Kashyap and Sons Limited
267,BLS,BLS International Services Limited
268,BLUECHIP,Blue Chip India Limited
269,BLUECOAST,Blue Coast Hotels Limited
270,BLUEDART,Blue Dart Express Limited
271,BLUESTARCO,Blue Star Limited
272,BODALCHEM,Bodal Chemicals Limited
273,BOHRAIND,Bohra Industries Limited
274,BOMDYEING,Bombay Dyeing & Mfg Company Limited
275,BOROLTD,Borosil Limited
276,BORORENEW,BOROSIL RENEWABLES LIMITED
277,BOSCHLTD,Bosch Limited
278,BPCL,Bharat Petroleum Corporation Limited
279,BPL,BPL Limited
280,BRIGADE,Brigade Enterprises Limited
281,BRITANNIA,Britannia Industries Limited
282,BRNL,Bharat Road Network Limited
283,BROOKS,Brooks Laboratories Limited
284,BSE,BSE Limited
285,BSHSL,Bombay Super Hybrid Seeds Limited
286,BSL,BSL Limited
287,BSOFT,BIRLASOFT LIMITED
288,BTML,Bodhi Tree Multimedia Limited
289,BURNPUR,Burnpur Cement Limited
290,BUTTERFLY,Butterfly Gandhimathi Appliances Limited
291,BVCL,Barak Valley Cements Limited
292,BYKE,The Byke Hospitality Ltd
293,CALSOFT,California Software Company Limited
294,CAMLINFINE,Camlin Fine Sciences Limited
295,CAMPUS,Campus Activewear Limited
296,CAMS,Computer Age Management Services Limited
297,CANBK,Canara Bank
298,CANFINHOME,Can Fin Homes Limited
299,CANTABIL,Cantabil Retail India Limited
300,CAPACITE,Capacit'e Infraprojects Limited
301,CAPLIPOINT,Caplin Point Laboratories Limited
302,CAPTRUST,Capital Trust Limited
303,CARBORUNIV,Carborundum Universal Limited
304,CAREERP,Career Point Limited
305,CARERATING,CARE Ratings Limited
306,CARTRADE,Cartrade Tech Limited
307,CARYSIL,CARYSIL LIMITED
308,CASTROLIND,Castrol India Limited
309,CCCL,Consolidated Construction Consortium Limited
310,CCHHL,Country Club Hospitality & Holidays Limited
311,CCL,CCL Products (India) Limited
312,CDSL,Central Depository Services (India) Limited
313,CEATLTD,CEAT Limited
314,CELEBRITY,Celebrity Fashions Limited
315,CENTENKA,Century Enka Limited
316,CENTEXT,Century Extrusions Limited
317,CENTRALBK,Central Bank of India
318,CENTRUM,Centrum Capital Limited
319,CENTUM,Centum Electronics Limited
320,CENTURYPLY,Century Plyboards (India) Limited
321,CENTURYTEX,Century Textiles & Industries Limited
322,CERA,Cera Sanitaryware Limited
323,CEREBRAINT,Cerebra Integrated Technologies Limited
324,CESC,CESC Limited
325,CGCL,Capri Global Capital Limited
326,CGPOWER,CG Power and Industrial Solutions Limited
327,CHALET,Chalet Hotels Limited
