,Index Name,ind_close_all_26052023.csv,ind_close_all_25052023.csv,ind_close_all_24052023.csv,ind_close_all_23052023.csv,ind_close_all_22052023.csv,ind_close_all_19052023.csv,ind_close_all_18052023.csv,ind_close_all_17052023.csv,ind_close_all_16052023.csv,ind_close_all_15052023.csv,ind_close_all_12052023.csv,ind_close_all_11052023.csv,ind_close_all_10052023.csv,ind_close_all_09052023.csv,ind_close_all_08052023.csv,ind_close_all_05052023.csv,ind_close_all_04052023.csv,ind_close_all_03052023.csv,ind_close_all_02052023.csv
54,Nifty Midcap Select,1.08,.85,-.18,.86,.83,.04,-.77,.1,.5,.76,-.41,.19,.15,.04,1.53,-.83,.61,.16,1.32
55,NIFTY LargeMidcap 250,.87,.28,-.06,.4,.6,.14,-.49,-.32,-.14,.49,-.13,.16,.2,.02,.96,-.77,.77,-.01,.63
56,NIFTY SME EMERGE,-.53,.63,-.01,-.44,.59,0,-.19,.14,.98,.17,.37,.75,-.18,.22,-.04,.09,.29,.3,.4
57,Nifty Oil & Gas,.51,-.11,.12,.72,.78,-.07,-1.1,-.48,-.18,0,-.89,.03,.8,.18,.68,-.53,.38,-.77,1.16
58,Nifty Financial Services 25/50,.73,.15,-.63,.26,.02,.12,.29,-.66,-.61,.42,.27,.44,.43,-.18,1.5,-1.75,1.73,-.22,.46
59,Nifty Healthcare Index,1.12,-.21,.95,.31,1.57,-.26,-.98,-.34,-.55,.29,-.1,-1.12,-.06,.31,.35,-.23,.63,-.01,.06
60,Nifty500 Multicap 50:25:25,.8,.27,-.09,.28,.57,.17,-.44,-.2,-.19,.53,-.15,.27,.31,-.1,.92,-.74,.82,-.04,.59
61,Nifty Microcap 250,.42,.36,.23,.14,.23,-.01,.09,.25,.19,.19,.34,.86,.48,-.64,.6,-.47,1.13,.28,.89
62,Nifty Total Market,.9,.26,-.17,.26,.62,.29,-.41,-.41,-.35,.46,-.03,.14,.3,-.06,.96,-.81,.85,-.15,.54
63,Nifty India Digital,1.2,.84,0,-.05,.96,1.11,-.58,-.49,.11,.92,-.29,-.12,.27,-.12,.87,-.32,1.06,-.56,.57
64,Nifty Mobility,.65,.55,-.1,.6,.72,.64,-.95,.02,-.65,.59,.31,.49,.72,.05,1.32,.31,.52,-.1,.55
65,Nifty India Defence,.57,-.57,-.51,-.5,.31,-.52,-.9,1.02,2.07,.46,-.82,.47,.15,-.7,.08,-.91,.41,1.2,1.31
66,Nifty Financial Services Ex-Bank,.59,.21,-.24,.53,.25,-.18,.27,-.78,-.33,.31,-.09,.44,.54,-.25,2.05,-1.58,2.22,-.33,.56
67,Nifty Housing,.47,.24,-.32,.2,.79,.4,-.73,-.74,-.49,.37,-.49,.11,.18,-.24,.62,-.7,.75,-.17,.59
68,Nifty Transportation & Logistics,.6,.44,-.09,.54,.61,.72,-.87,.18,-.68,.58,.56,.59,.57,.21,1.57,.21,.38,.05,.59
69,Nifty MidSmall Financial Services,.44,.38,0,.95,.17,-.01,-.08,-.17,.2,1.19,-.71,.39,-.11,-.33,1.64,-1.78,1.03,.04,1
70,Nifty MidSmall Healthcare,.44,-.15,.5,.44,.4,-.73,-.34,.07,-.31,1.03,.32,-.16,.2,.24,1.14,-.1,.28,.17,.49
71,Nifty MidSmall IT & Telecom,1.34,1.03,.2,-.55,1.28,1.04,-.69,.43,.81,1.02,-.47,.4,.65,.79,.74,-.53,.54,-.76,.4
72,Nifty MidSmall India Consumption,1.08,.2,.63,.59,.7,.25,-.62,.14,-.24,1.12,-.16,.29,.13,.2,.5,-.06,.58,.12,1.03
73,Nifty REITs & InvITs,.01,-.89,.08,-.28,-.15,.07,-.15,.06,-.09,0,-.29,-.81,.66,-.39,-.28,-.54,-.88,-.11,.74
74,Nifty Consumer Durables,.74,.45,1.4,-.21,.96,-.17,-.73,-.49,.02,.18,.33,.9,.3,-.32,.03,1.11,.68,-.04,.31
75,Nifty Non-Cyclical Consumer,.99,.85,.33,.08,.27,.05,-.67,-.32,-.16,.55,-.01,.62,.44,-.09,.71,.42,.53,.41,.17
76,Nifty India Manufacturing,1.01,.18,.23,.45,.6,-.05,-.79,-.2,-.02,.2,-.12,-.17,.24,.12,.86,-.44,.55,.11,.67
77,NIFTY100 Alpha 30,1.02,.41,.35,.09,.11,.06,-.94,.01,-.13,.54,.25,.05,.68,-.11,.74,-.25,.48,.11,.43
78,NIFTY500 Value 50,.41,.15,-.12,.47,.24,-.12,-1.1,-.38,.32,.83,-1.17,-.01,.41,-.67,.83,-1.41,.79,-.24,1.3
79,Nifty100 Low Volatility 30,1.1,.28,.32,-.02,.69,-.02,-.45,-.46,-.4,.56,-.39,.07,.28,.19,.86,-.38,.51,-.03,.33
80,NIFTY Alpha Low-Volatility 30,.86,.61,.12,.03,.18,-.19,-.72,-.38,-.37,.4,-.04,.18,.32,-.07,.97,-.01,.44,-.16,.38
81,NIFTY Quality Low-Volatility 30,.68,.42,.11,.11,.91,-.17,-.53,-.37,-.23,.49,-.16,.46,.19,.31,.72,-.25,.31,.3,.23
82,NIFTY Alpha Quality Low-Volatility 30,.76,.66,.01,-.06,.59,-.21,-.63,-.3,-.17,.62,.08,.52,.28,.05,.63,-.04,.28,.39,.34
83,NIFTY Alpha Quality Value Low-Volatility 30,1.02,.63,-.02,-.09,.87,-.11,-.74,-.24,-.24,.84,-.34,.46,.29,0,.76,-.34,.13,.08,.55
84,NIFTY200 Quality 30,.72,.44,.09,-.05,1.1,-.07,-.71,-.38,-.06,.52,.05,.47,.29,.3,.63,-.02,.44,.07,.33
85,NIFTY Midcap150 Quality 50,.35,.44,.08,.4,.71,-.12,-.74,.24,.69,-.2,.04,.69,.4,.29,.5,-.33,.45,.09,.25
86,Nifty200 Momentum 30,1.01,.64,-.31,.58,.74,.23,-.9,.06,.08,.51,.21,.37,.28,-.4,.74,-.36,.65,-.09,.76
87,Nifty100 ESG Sector Leaders,1.1,.17,-.25,.07,.59,.48,-.27,-.72,-.53,.38,.02,-.05,.21,.11,.9,-.47,.82,-.35,.54
88,Nifty200 Alpha 30,.91,.9,-.22,.19,.04,-.08,-.92,.09,.4,.62,.15,.14,-.02,-.68,.94,-.39,1.03,.7,1.23
89,Nifty Midcap150 Momentum 50,1.26,.39,-.09,.11,.5,.08,-.64,.04,.41,.22,.05,.28,.14,-.11,.31,-.41,.85,.58,.97
90,Nifty Smallcap250 Quality 50,.41,.28,-.24,-.09,.23,.16,-.41,.31,.12,.59,-.17,.78,.71,.09,.83,-.32,.44,.54,.69
91,NIFTY100 ESG,1.02,.34,.01,.18,.91,.38,-.44,-.68,-.39,.49,.08,.2,.35,.09,1.02,-.47,.82,-.36,.63
92,NIFTY100 Enhanced ESG,1.03,.34,0,.18,.93,.4,-.43,-.68,-.39,.5,.09,.2,.35,.09,1.03,-.47,.82,-.37,.63
93,NIFTY50 Equal Weight,.83,.32,-.13,.55,1.09,.25,-.6,-.43,-.35,.36,-.17,-.01,.33,.04,1.06,-.46,.74,-.4,.57
94,Nifty 50 Futures Index,.83,.18,-.35,.2,.58,.27,-.27,-.57,-.48,.46,-.11,.04,.21,-.02,1,-.9,.8,-.35,.56
95,Nifty 50 Arbitrage,.1,.04,.03,0,.04,.09,0,0,.06,.02,.14,-.09,.04,.03,.07,-.07,.08,.02,-.05
96,Nifty Aditya Birla Group,.82,-.22,-.12,-.42,.27,.49,-.89,-.59,-.19,.6,-1.82,-.11,-.06,-.68,1.36,-.27,.68,.2,.14
97,Nifty 8-13 yr G-Sec,.02,-.05,.16,-.18,.14,-.12,-.04,-.01,.29,-.02,.23,.1,.07,.02,-.2,.02,-.01,.64,.04
98,Nifty 4-8 yr G-Sec Index,.05,-.05,.08,-.15,.22,-.06,-.01,.06,.16,.01,.09,.05,.02,0,-.11,.02,-.03,.3,.01
99,Nifty 11-15 yr G-Sec Index,.06,-.12,.17,-.16,.15,-.12,-.09,.11,.19,-.01,.42,.05,.05,.01,-.25,.02,.11,.83,.09
100,Nifty 15 yr and above G-Sec Index,-.02,-.06,.14,-.17,.05,-.19,-.12,.17,.28,.11,.2,.12,.07,.07,-.14,.02,.14,1.03,.09
101,Nifty Composite G-sec Index,.04,-.05,.12,-.16,.17,-.09,-.05,.03,.22,0,.21,.08,.05,.01,-.16,.02,.01,.57,.04
102,Nifty 10 yr Benchmark G-Sec,.04,-.09,.19,-.19,.15,-.12,-.05,-.05,.28,-.02,.21,.11,.08,.03,-.2,.02,0,.66,.09
103,Nifty 10 yr Benchmark G-Sec (Clean Price),.02,-.11,.18,-.21,.13,-.15,-.07,-.07,.26,-.04,.19,.09,.06,.01,-.23,0,-.02,.66,.07
104,Nifty 1D Rate Index,.02,.02,.02,.02,.05,.02,.02,.02,.02,.06,.02,.02,.02,.02,.07,.02,.02,.02,.07
105,Nifty50 USD,,.12,-.18,.21,.41,.32,-.53,-.78,-.5,.29,0,-.22,.33,-.29,1.09,-1.02,.95,-.24,.39
