,Index Name,ind_close_all_28032025.csv,ind_close_all_27032025.csv,ind_close_all_26032025.csv,ind_close_all_25032025.csv,ind_close_all_24032025.csv,ind_close_all_21032025.csv,ind_close_all_20032025.csv,ind_close_all_19032025.csv,ind_close_all_18032025.csv,ind_close_all_17032025.csv,ind_close_all_13032025.csv,ind_close_all_12032025.csv,ind_close_all_11032025.csv,ind_close_all_10032025.csv,ind_close_all_07032025.csv,ind_close_all_06032025.csv,ind_close_all_05032025.csv,ind_close_all_04032025.csv,ind_close_all_03032025.csv
45,Nifty Mahindra Group,,,,,,,,,,,,,,,,,,,
46,Nifty 50 Futures TR Index,-.57,.39,-.74,.06,1.42,.79,1.01,.36,1.4,.7,-.36,-.13,.24,-.54,.15,.82,1.15,-.29,-.03
47,Nifty Tata Group,,,,,,,,,,,,,,,,,,,
48,Nifty Tata Group 25% Cap,,,,,,,,,,,,,,,,,,,
49,Nifty Private Bank,.15,.27,-.9,.07,2.42,1.28,.61,.49,1.91,.94,-.14,.73,-1.38,-.58,-.13,.36,.54,-.08,-.41
50,Nifty Smallcap 250,-.05,.95,-1.41,-1.35,.98,2.14,.78,1.99,2.66,.33,-.69,-.27,-.65,-1.9,.69,1.49,2.71,1.15,-.64
51,Nifty Smallcap 50,-.15,.61,-.98,-1.47,.99,2.14,.49,1.99,2.86,.76,-1.07,-.19,-.62,-2.01,.05,1.32,3.23,.55,.19
52,Nifty MidSmallcap 400,-.2,.56,-.91,-1.11,1.07,1.62,.63,2.24,2.27,.61,-.65,-.43,.04,-1.59,.06,.88,2.53,.5,-.12
53,Nifty Midcap 150,-.29,.36,-.63,-.98,1.12,1.34,.55,2.37,2.06,.76,-.62,-.51,.42,-1.42,-.27,.55,2.43,.16,.16
54,Nifty Midcap Select,.26,.12,-.68,-1.01,1.67,1.25,.11,1.88,2.29,.64,-.8,-.82,.42,-1.46,-.65,.2,3.09,-.3,.89
55,NIFTY LargeMidcap 250,-.33,.51,-.67,-.59,1.22,1.02,.84,1.42,1.85,.64,-.48,-.3,.32,-.99,-.16,.77,1.89,.06,.16
56,NIFTY SME EMERGE,.73,-1.24,-.91,-1.33,1.6,1.9,1.35,2.79,1.23,-2.17,-1,-1.1,-1.21,-2.66,.93,2.12,2.18,.15,-3.04
57,Nifty Oil & Gas,-.03,1.36,-1.36,-1.34,1.46,1.84,1.59,1.06,.68,-.05,-.43,.36,1.21,-1.9,.55,2.59,2.26,.66,-.8
58,Nifty Financial Services 25/50,.01,.93,-1.02,-.13,1.89,1.12,.53,1.03,1.92,1.27,-.36,.24,.77,-.51,-.24,.68,.54,.3,.03
59,Nifty Healthcare Index,-.47,-.22,-1.28,-.76,.36,1.39,1.12,1.28,1.66,1.51,-.25,.58,.61,-.63,-.52,1.24,1.61,-.01,.42
60,Nifty500 Multicap 50:25:25,-.27,.65,-.86,-.7,1.18,1.24,.9,1.32,1.98,.54,-.5,-.24,.07,-1.1,.07,.98,1.95,.28,-.03
61,Nifty Microcap 250,-.96,.72,-1.69,-2.45,1.25,2.11,.88,2.21,3.01,-.5,-.92,-.71,-.73,-2.5,.92,2,2.89,1.58,-.82
62,Nifty Total Market,-.34,.63,-.79,-.54,1.24,1.01,.98,1.05,1.86,.52,-.45,-.21,.15,-.92,.02,.98,1.74,.16,.05
