,Index Name,ind_close_all_30062025.csv,ind_close_all_27062025.csv,ind_close_all_26062025.csv,ind_close_all_25062025.csv,ind_close_all_24062025.csv,ind_close_all_23062025.csv,ind_close_all_20062025.csv,ind_close_all_19062025.csv,ind_close_all_18062025.csv,ind_close_all_17062025.csv,ind_close_all_16062025.csv,ind_close_all_13062025.csv,ind_close_all_12062025.csv,ind_close_all_11062025.csv,ind_close_all_10062025.csv,ind_close_all_09062025.csv,ind_close_all_06062025.csv,ind_close_all_05062025.csv,ind_close_all_04062025.csv,ind_close_all_03062025.csv,ind_close_all_02062025.csv
77,NIFTY100 Alpha 30,.32,.25,1.29,.58,.42,.26,1.83,-.41,.08,-.83,1.19,-.74,-1.38,-.13,-.16,.74,1.31,.87,.57,-.36,-.02
78,NIFTY500 Value 50,.42,.53,1.47,.42,.59,.4,1.17,-1.23,-.22,-.92,.67,-.8,-1.81,.38,.3,1.25,1.27,-.04,.33,-.57,.31
79,Nifty100 Low Volatility 30,-.36,.48,.72,.89,.44,-.71,.76,-.02,-.29,-.36,.92,-.5,-.81,.3,.19,.47,.72,.38,.09,-.56,-.17
80,NIFTY Alpha Low-Volatility 30,-.23,.37,.55,.93,.65,-.62,.68,-.13,-.2,-.63,.79,-.44,-.74,-.03,.46,.45,.6,.64,.14,-.27,-.08
81,NIFTY Quality Low-Volatility 30,-.52,.29,.42,.65,.59,-.53,.58,-.22,-.28,-.31,.81,-.48,-.93,-.09,.23,.58,.76,.25,.22,-.37,-.01
82,NIFTY Alpha Quality Low-Volatility 30,-.19,.45,.39,.49,.38,-.4,.61,-.48,-.34,-.39,.77,-.34,-.94,-.24,.55,.8,.31,.37,.29,-.25,-.04
83,NIFTY Alpha Quality Value Low-Volatility 30,-.22,.31,.53,.35,.38,-.46,.87,-.45,-.36,-.36,.78,-.27,-1,.16,.33,.64,.68,.65,.12,-.41,.02
84,NIFTY200 Quality 30,.04,.51,.47,.48,.22,-.18,.95,-.86,-.48,-.06,.95,-.42,-1.44,.17,.53,.9,.55,.31,.27,-.51,.04
85,NIFTY Midcap150 Quality 50,.74,.74,.32,.33,.46,.32,.78,-1.48,-.53,-.11,.72,-.45,-1.31,-.28,.26,1,.45,.47,1.16,-.03,-.37
86,Nifty200 Momentum 30,.15,-.15,.53,.6,.04,.07,1.71,-.82,-.03,-.46,1.17,-.35,-1.49,-.16,.43,.7,.69,1.13,1,-.25,.02
87,Nifty100 ESG Sector Leaders,-.44,.44,1.25,.83,.39,-.41,1.33,-.2,-.14,-.51,.84,-.67,-1.05,.08,-.11,.38,1.14,.58,.27,-.7,-.07
88,Nifty200 Alpha 30,.68,.06,.99,.36,.37,.87,1.69,-1.1,.06,-.73,1.04,-.45,-1.9,-.68,.01,1.13,1.37,1.2,1.03,.07,.34
89,Nifty Midcap150 Momentum 50,.69,-.07,.33,.59,.57,.33,1.84,-1.61,-.54,-.2,.89,-.33,-1.75,-.48,.17,1.16,.89,.83,1.26,.05,.33
90,Nifty Smallcap250 Quality 50,.73,.42,.22,1.24,.87,.68,.5,-1.94,-.7,-.17,.54,-.54,-1.59,-.41,.36,1.44,0,1.2,.36,.02,1.28
91,NIFTY100 ESG,-.13,.35,1.1,.71,.55,-.36,1.21,-.52,-.15,-.56,.77,-.64,-1.2,.06,.1,.76,1.35,.32,.24,-.7,0
92,NIFTY100 Enhanced ESG,-.14,.35,1.1,.71,.56,-.35,1.2,-.52,-.15,-.57,.77,-.64,-1.2,.07,.1,.76,1.35,.31,.24,-.7,-.01
93,NIFTY50 Equal Weight,-.23,.37,1.08,.68,.4,-.23,1.14,-.15,-.11,-.62,.96,-.54,-1.14,.08,.26,.68,1.21,.43,.26,-.75,-.09
94,Nifty 50 Futures Index,-.53,.53,1.08,.7,.31,-.45,1.24,-.1,-.17,-.51,1.09,-.84,-1.09,.2,-.08,.34,.94,.53,.22,-.61,-.18
95,Nifty 50 Arbitrage,.05,-.01,.02,.06,-.01,-.03,.03,.02,.01,.09,-.09,.11,.06,-.03,.07,.05,.05,0,.09,-.03,.04
96,Nifty Aditya Birla Group,,,,,,,,,,,,,,,,,,,,,
97,Nifty 8-13 yr G-Sec,.08,-.19,.04,-.13,.27,.05,-.05,-.36,0,.11,.24,-.06,.1,-.06,-.05,-.39,-.23,.1,0,.12,.01
98,Nifty 4-8 yr G-Sec Index,.09,-.03,.03,-.15,.2,-.03,-.07,-.24,.07,.13,.13,-.04,-.01,-.31,-.2,-.25,.11,.07,-.02,.04,.06
99,Nifty 11-15 yr G-Sec Index,.1,-.21,.02,-.25,.35,.04,-.07,-.34,-.07,.09,.51,-.11,.08,-.22,-.34,-.82,-.59,.07,-.02,.06,-.05
100,Nifty 15 yr and above G-Sec Index,.16,-.15,0,-.45,.3,.11,.34,-.4,-.21,-.2,.36,-.28,-.15,-.23,-.22,-.65,-1,.07,-.09,.02,0
101,Nifty Composite G-sec Index,.1,-.15,.02,-.19,.26,.05,.03,-.34,-.03,.04,.28,-.09,.03,-.14,-.14,-.45,-.35,.09,-.03,.09,.02
102,Nifty 10 yr Benchmark G-Sec,-.03,-.26,.09,-.12,.34,.07,.01,-.36,.03,.11,.22,-.11,.1,-.04,-.03,-.34,-.25,.1,-.03,.14,0
103,Nifty 10 yr Benchmark G-Sec (Clean Price),-.04,-.28,.08,-.14,.33,.06,-.01,-.38,.01,.09,.21,-.13,.09,-.06,-.05,-.36,-.26,.08,-.05,.12,-.02
104,Nifty 1D Rate Index,.04,.02,.01,.01,.01,.04,.01,.01,.01,.01,.04,.01,.01,.01,.01,.04,.01,.02,.02,.02,.05
105,Nifty50 USD,,.6,1.66,.67,1.19,-.74,1.46,-.37,-.44,-.59,.96,-1.25,-1.11,.27,.03,.4,1.21,.64,-.05,-.95,.09
