SYMBOL,NAME OF COMPANY,sec_bhavdata_full_02122024.csv,sec_bhavdata_full_03122024.csv,sec_bhavdata_full_04122024.csv,sec_bhavdata_full_05122024.csv,sec_bhavdata_full_06122024.csv,sec_bhavdata_full_09122024.csv,sec_bhavdata_full_10122024.csv,sec_bhavdata_full_11122024.csv,sec_bhavdata_full_12122024.csv,sec_bhavdata_full_13122024.csv,sec_bhavdata_full_16122024.csv,sec_bhavdata_full_17122024.csv,sec_bhavdata_full_18122024.csv,sec_bhavdata_full_19122024.csv,sec_bhavdata_full_20122024.csv,sec_bhavdata_full_23122024.csv,sec_bhavdata_full_24122024.csv,sec_bhavdata_full_25122024.csv,sec_bhavdata_full_26122024.csv,sec_bhavdata_full_27122024.csv,sec_bhavdata_full_30122024.csv,sec_bhavdata_full_31122024.csv
20MICRONS,20 Microns Limited,,,,,,,,,,,,,,,,,,,,,,
SOTL,Savita Oil Technologies Limited,1.3521634615384617,0.5237671706690452,2.8902870625245636,3.3346072998280234,10.864539990753583,-0.016680567139286527,-1.676676676676669,-1.8240434376855859,-0.8123055651572839,0.5837253876982093,-1.2646167171935825,1.456268093692421,-2.4556852572416856,-0.23934048399962932,-1.7771459036786916,-2.7410891984802044,0.13952190493907546,0.13952190493907546,-1.1331971019877225,-0.8925216084178879,-1.194426011944273,1.7269500143912504
SOUTHBANK,The South Indian Bank Limited,-1.6893283889575612,2.179379715004189,4.224774405250209,0.9838646202282565,2.494154325798911,-0.1140684410646431,-0.9897221164826723,0.30757400999614876,-0.6132617861249526,0.19282684149633905,-0.5388760585065456,-1.2383900928792582,-0.19592476489028493,-0.9815469179426778,-0.8326724821570076,-0.07996801279489454,-0.7202881152460973,-0.7202881152460973,0.48367593712213225,0.1604492579221787,-0.6407689227072493,0.8464328899637278
SOUTHWEST,South West Pinnacle Exploration Limited,4.996127033307527,1.9328661010696981,4.993848158066155,1.0753429378920538,6.049239582622932,5.2604501607717085,-4.814271749755618,-4.743260590500651,-3.6789973721447398,2.1056313396292548,7.748698273499591,-4.431868760729954,-3.0339321357285445,7.170303279813359,-5.070747166912086,-2.637081000876776,5.022166805209198,5.022166805209198,1.9787612954290612,-1.2612379535605827,-1.6507271059871678,0.07326495271081235
SPAL,S. P. Apparels Limited,6.572875633089474,0.021121554546419417,-1.7738359201773908,0.193485972267018,-1.3571505203304342,2.5123715264560236,1.2572277332767516,-1.3935456831517137,0.47285091913717264,-0.22738088942943022,1.812592749629004,-3.4409161894846383,0.7331931640519656,-0.417447150120415,-1.950878701563925,1.3922385441789005,1.8650664936749919,1.8650664936749919,-1.3585947036034554,1.6570721471996532,-2.1169621593014027,-0.9462016761286834
SPANDANA,Spandana Sphoorty Financial Limited,-0.4416403785488959,1.4448669201520885,-1.086956521739122,0.6947075912593154,-2.8976417461113924,0.15501873143003897,1.3930091577453978,-2.111690624602471,-2.807017543859652,0.0,-0.48134777376654936,-2.257154373236592,-4.920962199312708,-1.807141824490386,-2.709069493521804,-3.4049636803874095,-2.475325082249719,-2.475325082249719,-0.6265060240963819,5.043646944713859,-0.9695290858725691,2.8749028749028747
SPARC,Sun Pharma Advanced Research Company Limited,0.3788053771885218,-0.4970316167333904,1.5031682160862125,-1.3214253166864147,0.10158847432582142,0.4889749976935152,0.35806096217407324,-0.704418625926261,-0.852220379583574,-1.5146587371648892,8.840873708543667,-3.2031554765723267,-2.382231775031342,-1.6100917431192618,-3.785724276190034,-1.4488540000969177,-1.0276330022617777,-1.0276330022617777,-0.7501614585920766,0.8509360296325902,-0.9330950962874704,0.47595190380762376
SPECIALITY,Speciality Restaurants Limited,0.5112407419545134,1.8389305510270577,-0.8004098098226293,-0.6713142266976453,-0.1299714062906087,2.5182196772514343,-1.7454776261504281,-0.4844961240310077,1.0321324245374714,-0.7388846054998569,-2.136060586445732,1.06488524373306,-1.4136125654450424,-0.5045140732873015,-1.6880170803309322,-1.784865965388528,1.2852404643449513,1.2852404643449513,0.027288852503746786,-1.111717364616011,-1.4138906131457418,-1.3082412200923497
SPENCERS,Spencer's Retail Limited,0.3622764987729371,2.4918490917559395,-0.3181095205635096,-0.5128789605652937,4.685530988658481,-1.0724447362661302,0.5752212389380487,2.914650241970954,-2.8641658651277044,-2.2004620970403783,-2.846214422319722,-0.995831403427512,-0.5964912280701814,-0.6941993175667599,-1.7654028436019062,-1.2664334820890089,0.06107989249938573,0.06107989249938573,0.17091930167256816,0.6825106642291314,-2.675220917564452,1.0696517412935316
SPIC,Southern Petrochemicals Industries Corporation  Limited,-0.5803456280629389,0.4540147879102274,0.3228305785123967,0.6693268116874708,-0.37079657332820876,-1.065195071868581,1.1934102996497622,-0.25637738751442485,-1.567921860943322,-1.5145580362971622,2.6514649343762424,2.3505101381893234,-1.905362776025243,-1.8394648829431341,-2.9222906565325695,-1.2284017278617665,1.7903512368457049,1.7903512368457049,0.34908700322232933,-1.217554187851213,-1.665989435188953,0.6336088154270083
SPLIL,SPL Industries Limited,1.0573756283584668,-0.6689536878216134,9.514764289414618,-1.939451277199628,6.1103071233317205,1.5305349295347859,-0.5671641791044708,-2.311618132692894,0.4456054087277293,-1.9121921370659323,0.15595757953835668,2.787293677981947,-2.120890774125141,-1.3929732239591373,-1.4911316904724576,-1.943913320586359,0.2274943126421849,0.2274943126421849,-1.7833981841763966,1.3700891383294789,-1.595831297834224,-0.46334602018864984
SPLPETRO,Supreme Petrochem Limited,0.0,4.913557779799821,1.5478017212622468,0.6964062807962773,-1.25269132902721,2.259663032705652,0.24552561865994407,-0.12246213341927754,-0.7743933918430563,-1.9706035379812668,-3.031911364691836,-2.7914614121510644,1.2317004504504505,-2.224848779809497,0.945744151319061,-2.1414482952944396,0.6838468183126979,0.6838468183126979,-0.729248587974551,-3.4857760172848464,-2.5147377061413194,1.8677281077770866
SPORTKING,Sportking India Limited,3.988661672403318,1.3921339563862993,1.2866058569370995,4.588112617309701,3.5439137134052356,1.7069327731092463,1.4114811945950605,-2.3593312399219224,-1.4602346805736572,0.7850401340742705,1.4178190092770788,6.95547117707974,-5.075036307890909,-0.6034849128771849,-4.2756969386009915,1.3846703591209553,-1.550797427086079,-1.550797427086079,-3.571108923297243,-0.8074995359197981,-4.407223729765143,1.928347689898198
SRD,Shankar Lal Rampal Dye-Chem Limited,,,,,,,,,,,,,,,,,,,,,,
SREEL,Sreeleathers Limited,0.381031269413964,0.837562404588027,1.4811783960720148,1.8466252721554648,1.5043547110055355,4.715288611544475,-1.854817684085075,-0.6033926606200809,-1.5806353084911586,1.0590425944603998,-0.08061110897853424,0.6646177487514258,3.1370453764836195,-1.0804810360777117,-2.0798264317510204,-3.66734155938419,3.3191894356981533,3.3191894356981533,-1.888385660551169,1.7408653469994477,-1.8841081247356501,-0.6309519144099953
SRF,SRF Limited,1.410596026490058,0.6225647053701728,0.9713358572201112,-0.5977632086386347,-1.0798577432913108,0.3333769120146464,1.791647664342954,-0.3050861921829703,-1.6114190331485645,-0.09135200974423019,0.42452214046240266,-1.1467840187300753,-0.3486842105263078,0.5237560793116188,-0.2780271021694831,0.3929574991218947,-0.3804858848483642,-0.3804858848483642,-0.689246438527551,0.10167318701234343,-0.41069575393582225,-0.7626987118373622
SRGHFL,SRG Housing Finance Limited,-1.3388259526261619,0.14912019087384432,0.5807027992852855,7.7128053293856444,-2.886201209455745,8.901783187093118,2.3261858349577618,0.5207010414020857,-0.9981048641819302,-2.8330781010719814,4.872603099553458,1.4151534126487106,-1.9387503087181936,-1.485958947235873,-2.5949124376837474,2.690288713910761,-3.143769968051121,-3.143769968051121,1.0423538725425487,-3.225385218072595,-0.12144110106597993,-3.2423669278573355
SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited,5.1955676231011925,-2.1834670387164254,1.2551704464413,-1.021270601493168,1.6508930477478152,7.455372768638433,-1.7133550488599318,-1.1334261284549703,0.3821399839098985,-0.38736392172577006,5.873281930941999,3.995947058451025,-2.916818901473638,5.111961362353385,-4.744002864303616,-1.6851469022113552,0.8474576271186411,0.8474576271186411,-0.6444683136412489,3.3831478537360917,-5.290028910623116,0.9027732675196378
SSDL,Saraswati Saree Depot Limited,0.5219878441187116,2.987622705932557,-2.0030390937974896,-2.0298844093600192,1.4316546762589994,-1.567487055819567,0.17293558149589933,0.25176233635447726,-2.669154050369519,-1.1426465167711104,5.689783743475015,-2.060255415226125,-2.6222894604135254,1.2280831545461457,-3.698019440181248,-2.876223723153985,0.11720581340833838,0.11720581340833838,-0.6868024662452162,-0.8487229862475428,0.11096140128398237,1.147969281925424
SSWL,Steel Strips Wheels Limited,0.8679784978053908,1.8676966704150946,1.7854571634269254,-1.3486113075871105,-0.18163567707088354,-0.7949049466073002,6.955640295409579,0.338478202003791,-3.4408311968695204,-2.26383454443824,-0.6910685349347006,-0.3743341171953741,-2.1147454116286983,-1.8602362204724416,0.8273994584294483,-0.8206097379022259,1.0831411092167411,1.0831411092167411,-1.5229685484671205,0.473527781975718,-1.7949360742040534,0.7760249144840873
STALLION,Stallion India Fluorochemicals Limited,,,,,,,,,,,,,,,,,,,,,,
STANLEY,Stanley Lifestyles Limited,-0.7268951194184917,2.603440260344023,0.18124150430448832,-0.5201266395296272,0.29552170947942974,1.4505893019039062,-1.8431635388739944,3.254808239444624,-1.4328226606414636,-0.5143687800514267,0.23603461841069,0.25790535994618397,-2.3263617045073333,-0.3091721058055573,-2.9864461291063633,0.059199621122424814,0.3313217370725304,0.3313217370725304,-0.5307229626135158,-0.6046952810054568,-1.2763926995109067,-0.43499275012083405
STAR,Strides Pharma Science Limited,-2.6018895037759475,0.1977649422400861,-6.149942040790757,-0.8512484977967687,,,,,,,,,,,-2.424025741866292,2.484244467243155,-1.6088666428316054,-1.6088666428316054,-1.5043604651162823,0.2582454069209769,-3.4515749190462075,0.5259547221586907
