,SYMBOL,NAME OF COMPANY,cm26JUN2024bhav.csv,cm25JUN2024bhav.csv,cm24JUN2024bhav.csv,cm21JUN2024bhav.csv,cm20JUN2024bhav.csv,cm19JUN2024bhav.csv,cm18JUN2024bhav.csv,cm14JUN2024bhav.csv,cm13JUN2024bhav.csv,cm12JUN2024bhav.csv,cm11JUN2024bhav.csv,cm10JUN2024bhav.csv,cm07JUN2024bhav.csv,cm06JUN2024bhav.csv,cm05JUN2024bhav.csv,cm04JUN2024bhav.csv,cm03JUN2024bhav.csv
81,ALLSEC,Allsec Technologies Limited,1110.6,1127.05,1140.35,1130.75,1165.7,1166.85,1204.0,1165.0,1149.05,1154.0,1075.15,1085.5,1100.45,1028.0,1007.0,945.9,1011.0
82,ALMONDZ,Almondz Global Securities Limited,139.0,136.9,135.95,133.0,133.0,134.85,132.0,135.0,132.55,136.35,128.5,123.42,111.55,110.05,108.8,106.55,119.75
83,ALOKINDS,Alok Industries Limited,28.6,27.98,28.37,28.3,28.46,29.58,27.38,27.54,27.79,27.74,27.2,26.65,26.0,25.55,24.4,24.5,25.7
84,ALPA,Alpa Laboratories Limited,87.69,88.3,89.65,89.0,85.25,84.0,86.0,87.4,86.7,87.85,87.01,85.35,84.0,80.75,80.5,74.8,81.1
85,ALPHAGEO,Alphageo (India) Limited,391.0,396.6,407.5,412.4,411.95,405.45,418.0,417.8,413.35,387.0,384.0,367.45,358.95,332.8,327.5,314.8,343.9
86,ALPSINDUS,Alps Industries Limited,,,,,,,,,,,,,,,,,
87,AMARAJABAT,Amara Raja Batteries Limited,,,,,,,,,,,,,,,,,
88,AMBER,Amber Enterprises India Limited,4260.0,4054.55,4099.0,3968.0,4000.0,3980.1,3980.0,4029.5,4069.0,4081.0,3857.0,3810.0,3750.0,3715.0,3638.0,3549.0,3735.0
89,AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,26.9,27.0,27.4,27.2,27.01,27.05,27.35,26.05,26.02,26.0,25.85,25.21,25.25,23.95,24.95,,
90,AMBIKCO,Ambika Cotton Mills Limited,1595.0,1599.5,1608.0,1597.0,1597.0,1595.0,1613.05,1633.0,1630.0,1635.0,1580.0,1582.75,1585.0,1520.0,1509.0,1475.0,1510.0
91,AMBUJACEM,Ambuja Cements Limited,654.0,650.0,662.4,656.0,658.0,666.0,674.0,673.6,663.8,667.9,641.0,638.3,622.1,610.0,600.9,562.8,674.0
92,AMDIND,AMD Industries Limited,72.55,72.82,72.5,72.0,73.3,72.56,73.55,78.0,68.45,68.0,66.65,69.0,68.95,66.2,59.25,57.9,59.8
93,AMIORG,Ami Organics Limited,1343.5,1312.4,1336.9,1356.1,1391.6,1368.25,1310.0,1299.0,1318.9,1327.0,1273.35,1230.0,1216.0,1211.95,1111.0,1105.35,1205.2
94,AMJLAND,Amj Land Holdings Limited,41.4,41.8,41.6,40.3,40.0,40.43,39.88,39.9,40.2,40.1,39.74,39.3,39.65,38.8,38.4,37.5,39.35
95,AMRUTANJAN,Amrutanjan Health Care Limited,755.95,750.5,759.25,750.05,758.5,760.0,760.0,750.25,753.0,750.0,748.05,730.0,724.0,722.25,709.0,672.05,687.0
96,ANANDRATHI,Anand Rathi Wealth Limited,3834.0,3885.95,3888.0,3935.0,4006.3,3990.0,4015.0,3997.7,3946.0,3922.55,3912.0,3859.9,3914.1,4000.0,4000.0,3830.0,4095.0
97,ANANTRAJ,Anant Raj Limited,442.0,442.0,448.8,440.95,440.5,442.0,443.0,425.0,414.0,419.0,423.2,400.0,388.0,378.0,355.0,339.95,398.0
98,ANDHRAPAP,ANDHRA PAPER LIMITED,557.65,557.0,562.0,556.4,565.0,551.1,565.0,560.5,540.0,530.5,532.5,522.4,508.0,491.0,483.5,483.0,498.6
99,ANDHRSUGAR,The Andhra Sugars Limited,117.25,118.5,119.15,121.25,123.65,123.2,121.45,125.0,124.7,113.8,115.4,114.5,107.95,104.5,103.0,95.65,99.45
100,ANDREWYU,Andrew Yule & Company Limited,,,,,,,,,,,,,,,,,
101,ANGELONE,Angel One Limited,2589.0,2575.0,2579.0,2625.8,2585.0,2608.0,2649.0,2599.5,2634.0,2639.0,2677.35,2626.0,2585.5,2524.0,2350.0,2317.0,2579.0
102,ANIKINDS,Anik Industries Limited,53.25,53.18,51.5,51.81,54.0,52.55,53.97,52.88,48.48,47.6,48.82,48.8,49.45,47.85,44.35,46.7,47.55
103,ANKITMETAL,Ankit Metal & Power Limited,,,,,,,,,,,,,,,,,
104,ANMOL,Anmol India Limited,,,,,,,,,,,,,,35.35,35.0,31.35,36.25
105,ANSALAPI,Ansal Properties & Infrastructure Limited,,,,,,,,,,,,,,,,,
106,ANTGRAPHIC,Antarctica Limited,1.49,1.49,1.51,1.5,1.51,1.54,1.59,1.55,1.53,1.48,1.48,1.45,1.5,1.5,1.55,1.55,1.6
107,ANUP,The Anup Engineering Limited,1800.0,1902.0,1911.0,1918.0,1925.0,1949.8,1995.0,1790.0,1810.0,1792.0,1800.0,1786.0,1770.0,1790.15,1742.0,1600.0,1746.5
108,ANURAS,Anupam Rasayan India Limited,767.5,768.6,771.5,778.0,781.85,777.45,790.0,785.5,781.0,778.0,775.0,772.0,768.0,771.0,761.0,745.0,771.0
109,APARINDS,Apar Industries Limited,8390.1,8510.0,8500.0,8326.0,8460.0,8380.85,8495.0,8345.35,8499.0,8130.0,8130.8,8219.95,8050.0,7677.0,7569.0,7500.0,7980.0
110,APCL,Anjani Portland Cement Limited,199.8,194.9,194.12,196.0,196.0,198.55,203.6,198.07,199.0,195.0,194.0,188.0,175.0,175.0,164.5,166.75,171.55
111,APCOTEXIND,Apcotex Industries Limited,442.8,460.0,446.0,451.0,443.7,441.7,438.0,442.0,451.7,461.25,423.55,424.95,411.1,399.0,396.5,390.0,402.25
112,APEX,Apex Frozen Foods Limited,226.4,229.0,231.0,232.01,234.49,235.5,231.94,230.0,232.28,232.62,234.82,242.9,233.5,218.0,209.2,200.0,205.9
113,APLAPOLLO,APL Apollo Tubes Limited,1590.0,1630.0,1622.0,1654.0,1584.2,1570.4,1584.0,1558.0,1542.0,1581.7,1630.0,1628.0,1614.35,1565.75,1477.0,1438.05,1561.1
114,APLLTD,Alembic Pharmaceuticals Limited,900.0,902.15,903.4,871.55,846.0,863.7,869.2,890.0,886.0,892.8,896.25,910.0,915.0,896.5,892.0,874.5,920.0
115,APOLLO,Apollo Micro Systems Limited,106.95,108.8,110.1,112.75,115.65,110.78,108.89,103.95,103.0,103.0,104.0,105.43,107.0,106.5,102.45,103.4,109.0
116,APOLLOHOSP,Apollo Hospitals Enterprise Limited,6136.95,6280.0,6257.85,6172.0,6165.0,6159.95,6240.0,6181.3,6205.0,6165.2,6107.25,6050.0,6015.0,5949.65,5919.15,5858.0,5862.0
117,APOLLOPIPE,Apollo Pipes Limited,637.0,632.5,639.0,644.35,654.0,649.5,663.0,669.75,666.05,669.1,666.35,662.0,658.5,659.95,665.0,650.0,690.0
118,APOLLOTYRE,Apollo Tyres Limited,516.85,519.65,499.05,500.05,495.25,484.3,485.85,476.6,476.9,479.0,482.9,486.9,485.0,472.0,468.8,452.4,479.75
119,APOLSINHOT,Apollo Sindoori Hotels Limited,1519.0,1550.0,1569.0,1567.15,1523.15,1553.0,1540.65,1547.0,1575.0,1570.0,1600.0,1588.0,1578.0,1545.0,1485.0,1479.0,1600.0
120,APTECHT,Aptech Limited,222.55,224.4,226.35,229.8,228.0,227.0,230.01,233.0,234.55,232.0,230.9,232.17,220.4,217.6,216.0,207.0,221.25
121,APTUS,Aptus Value Housing Finance India Limited,329.15,335.5,340.7,339.35,346.5,348.0,344.5,349.5,344.95,341.45,319.55,318.0,316.0,309.5,302.7,298.95,312.8
122,ARCHIDPLY,Archidply Industries Limited,,,,,,,,,,,,,,,,,
123,ARCHIES,Archies Limited,27.65,28.07,25.74,25.8,26.19,25.8,25.7,26.0,25.99,25.14,25.62,26.05,,,,,
124,ARENTERP,Rajdarshan Industries Limited,51.04,46.4,42.13,41.75,42.52,42.8,42.87,42.53,42.71,42.8,43.19,43.25,41.65,40.55,38.6,40.6,42.95
125,ARIES,Aries Agro Limited,264.1,258.11,261.85,272.9,276.5,269.98,267.5,244.8,243.0,244.7,244.72,239.0,236.0,228.6,223.0,204.15,220.0
126,ARIHANTCAP,Arihant Capital Markets Limited,70.0,71.39,73.1,73.99,74.3,74.12,74.0,69.3,66.65,66.95,68.0,66.74,66.8,63.85,61.0,58.05,65.6
127,ARIHANTSUP,Arihant Superstructures Limited,338.0,345.0,340.0,345.5,348.35,347.0,344.95,339.0,341.0,339.75,336.6,342.0,334.5,340.0,315.5,286.4,328.8
128,ARMANFIN,Arman Financial Services Limited,2128.0,2170.0,2340.0,2456.1,2416.0,2465.0,2409.35,2427.0,2416.15,2455.0,2250.2,2238.0,2260.0,2309.0,2041.0,1882.0,1955.8
129,AROGRANITE,Aro Granite Industries Limited,59.7,57.2,56.56,56.75,57.34,58.5,59.8,56.35,57.2,55.05,53.15,52.89,52.5,53.25,50.0,50.5,51.1
130,ARROWGREEN,Arrow Greentech Limited,554.55,533.6,551.45,552.0,569.0,560.0,560.5,581.0,566.0,573.6,598.1,592.0,609.0,560.8,559.0,504.0,562.55
131,ARSHIYA,Arshiya Limited,,,,,,,,,,,,,,,,,
132,ARSSINFRA,ARSS Infrastructure Projects Limited,,,,,,,,,,,,,,,,,
133,ARTEMISMED,Artemis Medicare Services Limited,178.85,176.83,176.0,180.95,181.63,173.81,178.0,180.0,182.0,180.0,178.5,180.92,175.0,174.05,174.25,165.1,173.0
134,ARTNIRMAN,Art Nirman Limited,62.3,63.05,67.1,65.0,66.15,64.8,63.0,65.5,66.0,68.9,69.71,61.42,58.9,57.65,56.0,54.9,53.65
135,ARVEE,Arvee Laboratories (India) Limited,,,,,,,,,,,,,,,,,
136,ARVIND,Arvind Limited,360.7,357.9,357.0,370.75,369.35,368.5,374.7,378.9,379.8,376.0,380.0,366.9,373.45,362.0,346.4,346.9,370.95
137,ARVINDFASN,Arvind Fashions Limited,552.0,523.9,512.6,507.85,489.05,485.0,481.95,479.0,480.7,469.95,471.4,470.0,470.0,462.0,446.85,430.0,438.5
138,ARVSMART,Arvind SmartSpaces Limited,741.9,690.0,685.0,687.65,689.0,677.5,682.0,679.0,698.8,696.7,695.0,674.0,677.2,635.0,581.55,555.0,641.0
139,ASAHIINDIA,Asahi India Glass Limited,684.3,702.0,710.0,677.05,675.3,671.7,673.0,620.05,622.7,615.0,618.25,605.0,601.0,591.65,579.0,580.0,596.9
140,ASAHISONG,Asahi Songwon Colors Limited,411.5,420.0,422.0,422.5,422.05,399.1,392.4,398.85,409.0,411.5,379.0,374.6,383.0,383.0,388.0,370.1,383.9
141,ASAL,Automotive Stampings and Assemblies Limited,1027.0,1008.0,1023.0,1035.0,1035.65,1023.5,1039.7,978.5,979.0,972.0,962.5,888.0,876.0,887.35,830.0,785.0,895.0
142,ASALCBR,Associated Alcohols & Breweries Ltd.,687.6,706.65,706.0,714.0,700.9,695.8,682.8,696.95,709.25,715.5,624.0,640.95,642.95,560.8,555.0,527.9,560.3
143,ASHAPURMIN,Ashapura Minechem Limited,428.5,430.0,407.6,412.1,406.25,384.4,398.0,421.05,412.2,402.9,391.45,357.5,352.75,347.5,344.0,330.6,384.1
144,ASHIANA,Ashiana Housing Limited,419.0,425.9,430.95,434.0,452.5,419.55,417.75,445.0,416.2,414.7,413.7,388.0,382.0,365.6,351.2,333.0,358.0
145,ASHIMASYN,Ashima Limited,40.91,39.08,38.16,37.2,37.91,39.1,38.58,36.71,35.95,36.24,36.85,37.84,34.4,31.35,29.85,27.15,30.4
146,ASHOKA,Ashoka Buildcon Limited,236.06,239.0,242.75,237.1,245.0,221.35,227.99,223.79,222.25,221.25,218.9,220.05,207.5,187.9,179.15,174.3,195.25
147,ASHOKLEY,Ashok Leyland Limited,240.16,241.7,241.0,235.7,236.4,234.2,238.88,239.05,237.0,237.97,238.83,231.0,231.3,225.9,223.45,210.0,236.0
148,ASIANENE,Asian Energy Services Limited,309.0,295.8,294.9,280.25,286.0,282.5,283.0,279.65,282.2,279.55,276.0,284.0,279.0,271.35,260.0,260.0,274.2
149,ASIANHOTNR,Asian Hotels (North) Limited,,,,,,,,,,,,,,,,,
150,ASIANPAINT,Asian Paints Limited,2865.6,2861.0,2896.0,2886.0,2914.8,2889.95,2920.0,2919.0,2913.0,2904.15,2901.0,2940.0,2933.0,2910.0,2960.0,2873.95,2875.0
151,ASIANTILES,Asian Granito India Limited,76.8,76.78,77.07,75.97,77.28,78.28,79.0,74.31,73.4,72.0,62.6,61.45,60.5,60.9,59.3,54.6,57.75
152,ASMS,Bartronics India Limited,19.19,18.82,18.46,18.1,17.75,17.34,17.48,17.84,18.2,18.4,18.92,18.57,19.0,18.7,19.0,19.35,19.75
