,Index Name,ind_close_all_29042024.csv,ind_close_all_26042024.csv,ind_close_all_25042024.csv,ind_close_all_24042024.csv,ind_close_all_23042024.csv,ind_close_all_22042024.csv,ind_close_all_19042024.csv,ind_close_all_18042024.csv,ind_close_all_16042024.csv,ind_close_all_15042024.csv,ind_close_all_12042024.csv,ind_close_all_10042024.csv,ind_close_all_09042024.csv,ind_close_all_08042024.csv,ind_close_all_05042024.csv,ind_close_all_04042024.csv,ind_close_all_03042024.csv,ind_close_all_02042024.csv,ind_close_all_01042024.csv
47,Nifty Tata Group,,-.4,.32,-.52,.58,.85,-.36,-.63,-.82,-1.56,-.04,.79,-.55,.07,-.51,1.06,.91,.26,.89
48,Nifty Tata Group 25% Cap,,-.29,.37,-.24,.61,.84,.11,-.71,-.46,-1.54,-.12,.79,-.42,.38,-.49,.86,.51,.59,.76
49,Nifty Private Bank,2.16,-.45,.13,.46,.11,.74,1.11,-.94,-.66,-1.66,-.79,.48,.45,.24,.9,1.12,-.15,-.07,1.03
50,Nifty Smallcap 250,.06,.48,.83,.8,.96,1.16,-.12,-.02,.64,-1.54,-.41,.6,.04,.25,.59,.62,1.05,.99,3.01
51,Nifty Smallcap 50,-.04,.34,.81,-.07,1.14,1.19,-.14,-.25,.96,-1.4,-.1,.91,.21,.84,.86,.64,1.08,1.23,2.86
52,Nifty MidSmallcap 400,.24,.65,.56,.81,.99,.85,-.34,-.24,.15,-1.42,-.46,.77,-.14,.22,.51,.25,.7,1.07,2.22
53,Nifty Midcap 150,.34,.75,.4,.82,1.01,.68,-.46,-.36,-.12,-1.36,-.49,.87,-.25,.21,.47,.04,.5,1.12,1.79
54,Nifty Midcap Select,.6,.84,.43,.51,.75,.32,-.73,-.12,-.39,-1.26,-.36,.97,.07,.01,.43,.04,.35,.82,1.56
55,NIFTY LargeMidcap 250,.62,.17,.55,.53,.59,.82,.02,-.46,-.27,-1.3,-.71,.7,-.19,.4,.31,.17,.25,.63,1.31
56,NIFTY SME EMERGE,.94,.84,.59,.94,.39,1.43,.51,1.34,1.11,-1.09,.05,.58,.04,.73,.05,.24,.94,1.62,3.36
57,Nifty Oil & Gas,.97,.37,.71,.67,-.73,.49,-.22,-1.1,.6,.41,-1.23,1.5,-.44,1.45,.08,-1.37,.04,1.3,.52
58,Nifty Financial Services 25/50,1.63,-.75,.67,.48,.02,.94,.84,-.76,-.33,-1.84,-.87,.03,.25,.22,.88,.33,.38,-.13,1.11
59,Nifty Healthcare Index,.37,.42,1.38,1.26,-.95,1.08,-.4,-1.75,.22,-1.37,-1.45,.07,.25,.2,-.03,0,-.24,-.18,1.07
60,Nifty500 Multicap 50:25:25,.54,.11,.66,.52,.58,.94,.11,-.37,-.07,-1.34,-.69,.64,-.12,.41,.34,.32,.39,.6,1.61
61,Nifty Microcap 250,.56,-.22,.52,.68,.94,2,-.12,.03,1.08,-1.72,-.89,.05,-.07,-.39,.45,.53,1.57,1.71,3.4
62,Nifty Total Market,.73,-.14,.66,.39,.4,.97,.28,-.46,-.23,-1.3,-.81,.58,-.13,.47,.25,.29,.22,.42,1.24
63,Nifty India Digital,.03,.39,.6,-.24,.72,.44,-.33,-.52,-1.53,-1.65,-1.09,.41,-.1,.85,.33,.85,.47,-.3,1.29
64,Nifty Mobility,.21,.48,1.06,.02,-.03,1.07,.29,-.6,-.09,-1.21,-.74,.67,-.21,1.14,.15,.18,-.65,.95,.35
65,Nifty India Defence,-.47,-.24,1.27,2.54,2.22,.69,1.01,-1.02,1.22,-.69,.5,.53,.06,.4,.65,-.63,1.88,2.69,3.43
66,Nifty Financial Services Ex-Bank,-.32,-1.52,.56,.17,.61,1.49,.1,.11,-.33,-2.2,-.63,.28,-.14,.14,.83,-.05,.74,.42,1.58
67,Nifty Housing,1.23,-.23,.46,.84,.65,.73,.35,-.76,-.46,-1.39,-1.01,.22,.06,.92,.04,.36,.01,.71,2.26
68,Nifty Transportation & Logistics,-.01,.3,1.15,-.03,.19,1.04,.51,-.73,-.04,-1.19,-.66,.33,-.08,1.35,.13,.43,-.51,1.01,.38
69,Nifty MidSmall Financial Services,-.34,.27,1.17,-.07,1.44,1.58,-.55,-.01,-.22,-1.48,-.66,.98,-.11,-.02,.77,.63,1.06,1.29,3.4
70,Nifty MidSmall Healthcare,.92,.92,.21,1.45,.23,.7,-1.02,-.96,.15,-1.24,-.43,.63,.07,.67,.24,-.01,.26,.21,.98
71,Nifty MidSmall IT & Telecom,.38,.34,.01,-.91,1.17,-1.64,-.98,-.42,-1.44,-1.85,-.61,-.27,-.23,-1.17,-.32,1.03,.97,.36,1.83
