,SYMBOL,cm19MAY2023bhav.csv,cm18MAY2023bhav.csv,cm17MAY2023bhav.csv,cm16MAY2023bhav.csv,cm15MAY2023bhav.csv,cm12MAY2023bhav.csv,cm11MAY2023bhav.csv,cm10MAY2023bhav.csv,cm09MAY2023bhav.csv,cm08MAY2023bhav.csv,cm05MAY2023bhav.csv,cm04MAY2023bhav.csv,cm03MAY2023bhav.csv,cm02MAY2023bhav.csv
1375,RBL,-0.32269138345348747,0.8098006644518305,1.403705783267827,-0.759211534443135,1.0700457585357301,-1.0656080234015848,0.38453471299727326,-0.31363256202955114,-0.9936516698868404,-0.6989173632999893,-0.130021213987536,3.8888098962036146,-1.7188373392957055,0.9380069116298718
1376,RBLBANK,1.3727560718056941,-1.7974421016246072,-3.211776513884231,-1.9678583142013775,3.4962661235573504,-2.191235059760945,0.13297872340424774,-0.6932981181908109,-0.6885245901639419,2.383350117489098,-4.1197296427421985,0.3228931223764934,0.16170763260025875,-4.449938195302853
1377,RCF,-1.0936757013789877,-1.8665422305179653,1.275992438563335,0.6181645268663732,-1.591015442208693,-0.835266821345713,2.132701421800948,0.42836744407425303,-2.911275415896493,-1.5468607825295748,-1.9625334522747446,1.6319129646418833,0.45537340619307837,0.7339449541284377
1378,RCOM,,,,,,,,,,,,,,
1379,RECLTD,0.23166023166024044,-2.704733283245676,0.3392385978137871,-2.713604693802705,2.6345502446368085,0.9498480243161094,0.11411182959300548,-0.378931413414172,-1.2350299401197649,0.982615268329541,-3.3601168736303832,0.5508630187293426,-0.21986075485524587,3.2538781687476224
1380,REDINGTON,-0.5294117647058857,-1.9890458345344415,-1.0553337136337837,-0.6235827664399061,0.6274957216200766,0.22870211549457156,0.7198387561186295,2.0870076425632047,-3.0216647662485814,0.5157593123209202,-0.17162471395881657,1.0696733159872926,0.7280139778683751,1.9596199524940516
1381,REFEX,19.997187456053993,1.5276984580239927,-3.579295154185022,-0.4385964912280764,0.1647446457990178,3.056027164685912,10.731630894563686,-1.6335336723686273,0.24718059632319214,5.4749877790451205,-1.397814910025696,0.8915545469281894,-2.048269291838676,-2.778635381290522
1382,REGENCERAM,,,,,,,,,,,,,,
1383,RELAXO,-0.8064054904203551,-0.6872657048733335,0.5310340889624825,-0.06847360912981715,-1.7216240466576966,-0.911313625250048,3.5562205086891443,3.0968201233981993,-0.08890996384328137,0.22574704449592792,-1.0638297872340505,0.8715242781763234,-0.9745787588798162,0.996145864215829
1384,RELCAPITAL,,,,,,,,,,,,,,
1385,RELCHEMQ,-0.3196745132229069,-0.20301624129930063,-0.08693132425384276,-1.428163381890888,-0.028555111364924588,-0.7369614512471719,-0.1415227851684121,1.8449120784087731,-0.45911047345768224,-0.2575844304521973,-0.08578781812982882,-0.455451181326508,-0.7627118644067765,-0.1128668171557498
1386,RELIANCE,0.3245619440849463,-0.2152256794982167,-0.5909202053957128,-1.4241237320477984,0.19723468915410838,0.16328669918960315,-0.6528879275814999,0.6876247706236909,0.30947853877584414,1.2347701443636774,-0.25531045751633985,1.1528449237634848,-0.8582372339771931,0.8489981408799909
1387,RELIGARE,0.20728457210541568,-0.3834808259587054,-0.17667844522968865,0.711743772242003,2.492401215805468,-1.1418269230769265,-1.9446081319976332,4.882571075401716,0.7471980074719907,0.31230480949406625,0.15639662183296843,-1.509550215650041,-1.93353474320241,4.022627278441235
1388,RELINFRA,1.1405445180279492,-0.8752735229759218,-2.6969481902058274,-2.2545959070412764,-1.6712141882673865,-0.8454514710855596,-0.6384408602150652,-0.998003992015968,-1.4102984585109724,-0.7486979166666704,-0.6146878032999139,0.5203252032520399,-0.7744433688286472,-1.6502697556331467
1389,REMSONSIND,-7.16988270904276,18.679838347552774,-0.7796836711962576,-0.6198804516271886,-0.9864094695309075,0.7731389441130992,3.6401098901098847,0.5524861878453118,-1.1604095563139984,-0.20435967302451802,-0.022701475595918896,0.20473157415832055,0.2051515842261304,-0.0683371298405493
1390,RENUKA,2.2016222479721965,0.7001166861143457,-0.6952491309385798,1.4101057579318483,-2.6315789473684337,-1.2429378531073383,-0.22547914317925913,-0.4489337822671061,-3.6756756756756817,-1.175213675213669,-2.2964509394572055,0.10449320794147784,1.0559662090813093,1.0672358591248665
1391,REPCOHOME,1.3103615627274876,-2.392231170061574,0.619637750238314,0.3827751196172303,3.006407097092161,-2.7091824502517405,1.459498905375821,0.9825595676737902,1.7750000000000057,4.46591799425438,-3.185840707964607,2.6739356178608547,1.1023622047244064,0.1314060446780552
1392,REPL,-1.352426412092289,-0.6585879873551106,2.6223303595566496,2.493765586034913,-0.6606110652353521,-0.5202628696604538,-0.6799020940984498,0.5743982494529447,-0.1638448935008099,0.8259911894273128,-1.5184381778741927,2.9305051632710017,-1.7009602194787348,-0.4914004914004945
1393,REPRO,2.4868443388219275,9.999066380356657,-5.463371579876442,13.45884237933106,19.995193463109825,0.7018393030009763,0.9405154513252634,1.5001239771882002,0.4858602217515855,2.8706907599641283,-1.2028361610534313,0.1013941698352287,2.8146989835809255,-0.7757951900698216
1394,RESPONIND,0.2534051314539155,-2.108527131782949,1.7671189649731849,0.47558655675332917,-3.1624194043598437,5.884265279583864,-1.315367340391391,-0.3516624040920789,3.268405414328172,-1.6239038648911983,-0.1621271076523995,0.4233148811461916,2.640374331550814,0.36900369003688893
1395,REVATHI,1.4301937681879384,-0.764219052650108,2.5942118004119012,-0.9342114682511405,3.1036646123187204,-1.2176005249535231,-1.8463520234729993,1.710521527095389,-3.164757709251108,4.496575090226114,0.6337323499981435,0.345853477129051,-2.6289107763615265,-1.6173851086569324
1396,RGL,-1.1904761904761874,0.11350737797957836,-0.16997167138810843,-0.507328072153329,0.2826455624646693,-0.16930022573362472,-0.16901408450704866,-0.6159014557670741,-1.2714206744057552,1.1179429849077696,1.3023782559456463,1.0875787063537525,-1.0198300283286184,1.4951121334100026
1397,RHFL,,,,,,,,,,,,,,
1398,RHIM,1.1475162313151175,-1.230333308478115,-1.505581668625147,1.6119402985074558,0.4648373069425735,-0.6332414512404082,1.3821752265860994,-0.794245466806527,-0.8837727441515106,0.8387628248333742,-1.6788159929312978,-0.0662251655629206,5.602610925479827,0.23366305787055064
1399,RHL,-1.0473815461346605,3.564049586776862,-3.3449825262106923,-2.2449975597852583,5.8367768595041385,-2.5666834423754374,-3.356031128404672,-0.5802707930367587,,,,,,
